# FILE DATA
ID : SDRW2100004205
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220212
topic : 원자력 발전소의 존폐 > 반: 원자력발전소 로 얻을수 있는 이득이 더 많다

# SPEAKER_INFO
id : SD2101499
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대졸

id : SD2101500
age : 30대
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 서울
education : 대학원 이상

# SETTING
relation  :  모임_동아리 지인


P0 	:원자력이라고 하는 부분은 /
	
P1 	:(()) /
	
P0 	:굉장히 심각하고 문제가 될 수 있는 단점을 나는 가지고 있다고 생각해 /
	
P1 	:(()) /
	
P0 	:가장 큰 -문- 문제점은 / 어 우리가 알고 있는 것처럼 방사선 물질이 생성이 되고 /
	
P1 	:(()) /(note : 발화겹침) (()) /
	
P0 	:원자로 정지 후에도 발열이 되고 /(note : 발화겹침) 원자 원전이 사고가 났을 때 일어날 수 있는 인명 피해나 환경 훼손 / 그리고 / 사용 후 핵연료에 대한 방사선 물질을 / 잔존에 대한 거를 해결할 수 있는 / 해결할 수 없는 현재에 가장 큰 문제를 가지고 있거든. /
	
P1 	:(()) / 어 그 부분은 이제 원자력 발전소를 존폐해야 된다고 하는 찬성 의견인 거 같은데 / 저는 그거에 대해서 / 완전 반대를 하고 있습니다 왜냐면은 / 어 물론 그런 {clearing} / 부정적인 부분들도 있지만 / 원자력 발전을 통해서 얻을 수 있는 이점이 더욱더 크고 공익에 더 많이 / 영향을 줄 수 있다라고 생각을 해서 / 저는 원자력 발전소는 / 계속 유지를 하고 더 발전시켜야 된다라고 생각을 하고 있습니다. /
	
P0 	:그 공익적인 부분이라고 하는 부분에 /
	
P1 	:(()) /
	
P0 	:가장 큰 /(note : 발화겹침) 대제목이 /
	
P1 	:(()) /
	
P0 	:현재로 봤을 때는 현재에 인류에 /
	
P1 	:(()) /
	
