# FILE DATA
ID : SDRW2100003595
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211026
topic : 방송/연예 > 넷플릭스 드라마, 오징어게임,한소희,돌싱글즈,일반인 참여 예능프로그램,나혼자산다,슈퍼맨이돌아왔다,드라마 플랫폼

# SPEAKER_INFO
id : SD2103547
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 대졸

id : SD2103548
age : 20대
occupation : 무직/취업준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
education : 대졸

# SETTING
relation  :  친구


P1 	:요새 넷플릭스 재밌는 거 많던데 니 요즘 뭐 보는 거 있나? /
	
P0 	:나는 안 본 게 없어서 볼 게 없다 난 디피도 봤고 / 이번 한소희 나온 마이네임도 봤고 / 그 / 뭐냐 킹덤 이런 거 일단 애초에 다 봤고 / 오징어 게임 당연히 봤고 닌 뭐 봐? /
	
P1 	:나 / 아 근데 나는 막 / 그 알제 넷플릭스 딱 들어가 가지고 / 뭐 봐야지 막 고르다가 이제 / 못 골라 가지고 다시 덮고 나오는 약간 그런 류라서 / 근데 요즘에 그거는 다 봤어 오징어 게임? /
	
P0 	:오징어 게임이 진짜 / 나 처음 봤을 때 와 이렇게 잘 만들 수가 있나 너무 탄탄한 거야. /
	
P1 	:나는 오징어 게임 볼 때 있잖아? /
	 스포 다 당하고 봤어. /
	 거짓말 안 치고 / 끝에 뭐 어떻게 되는지까지 다 / 보고 봤는데도 그래도 재밌긴 하더라. /
	 데 / 요새 보는 거는 그거 한소희 나오는 거 마이 네임 근데 / 그거 애들이 막 / 마지막에 막 막 / 재밌다고 뭐라고 하긴 하던데 아직 이 화까지밖에 안 봐 가지고 /
	
P0 	:이 화면은 재밌을 타임이 아닌데? /
	
P1 	:{laughing} / 그 약간 눈이 즐겁던데? /
	
P0 	:아 한소희한까 나와서? /
	
P1 	:{laughing} 어 /
	
