# FILE DATA
ID : SDRW2100003916
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220219
topic : 대중교통 > 불친절한 버스기사때문에 기분 나빴던 경험, 무질서한 운전자로 도로가 불편했던 경험

# SPEAKER_INFO
id : SD2102153
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 대구
education : 대졸

id : SD2102154
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 대구
education : 대졸

# SETTING
relation  :  친구


P0 	:대중교통 이용을 / 안 한지가 좀 됐지? /
	 어 / 긍까 / 버스? /
	 지하철을 / 어 언 한 / 이십 대 초반까지 많이 이용했던 거 같고 / 학생 때부터? /
	 그 또 초등학교 때는 이용을 거의 안 하지 않아 않았나? /
	
P1 	:무서워서 / 이용을 안 했던 거 같애. 나는 /
	
P0 	:그까 혼자서 뭔가를 해야 한다는 게 / 지금 흐름을 봐도 그래 버스 빨리 빨리 / 빨리 타고 빨리 내리고 / 나 그래서 어렸을 때 버스 타고 가다가 못 내린 적이 / 있거든 / 어 삐 눌러 누르고 / 거기 못 못 / 비집고 들어가서 작을 때는 / 그래서 /(note : 발화겹침) 약간 울 뻔 했던 적이 있어. /
	
P1 	:어 나도 그런 경험 있어. 그래서 / 눌 어 눌렀는데 안 내려 줘 가지고 / 그 말 못 하고 / 더 가 가지고 내렸는데 / 사람들이 긍까 어른들이 내릴 때 사이에 / 끼어서 겨우 내려왔는데 거기가 어딘지 몰랐던 거야. /
	 그래서 나는 진짜 / 그런 경험이 있어서 한동안 어릴 때 아예 / 버스 안 탔던 거 같애. /
	 응. 탈 시도도 안 했어. /
	
P0 	:그 이제 그거 아닐까? /
	 그 버스 기사의 / 버스 기사님들이 다 그렇다는 건 아니지만 / 약간 대부분의 / 혹은 그 어렸을 때는 많은 분들이 / 어 불친절하고 / 굉장히 / 그 어린이들이 느꼈을 때는 좀 / 어 / 무섭고? /
	 뭐라고 하면 얘기하면 화낼 거 같고? /
	 아 이 이런 거 때문에 / 더 약간 / 애기들 애기 때 움츠러들고 그랬던 거야. /
	
P1 	:맞아. 근데 / 예전에는 더 많이 불친절 하시고? /
	(note : 발화겹침) 그리고 막 오히려 화까지 내고 우리에게? /
	
P0 	:(()) /
	
P1 	:그랬는데 / 요즘에서는 휴대폰이랑 이런 것들이 너무 / 에스엔에스랑 발달 하다 보니까 / 그거 많이 / 자제가 되는 거 같은데도 아직 / 까지 여전히 보면 / 막 그 문구에는 / 내리기 전에 일어나세요라고 되어 있는데 /
	
P0 	:(()) /
	
P1 	:사실 우리 그렇게 / 하면 / 못 내리잖아요. /
	 그런 경우가 아직까지 있더라고요? /
	 에 어르신들이랑 / 기다렸다 내릴 때 물론 다 그렇지는 않지만 / 그 사실 그래서 좀 의문인게 / 똑같은 곳을 계속 / 도는 직업을 가지셨는데 / 뭐가 그렇게 급하고 / 바쁘고 하셔서 / 내릴 때 못 내리고 또 / 나는 이런 적도 있어. 내렸는데 /
	
P0 	:(()) /
	
