# FILE DATA
ID : SDRW2100003512
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211015
topic : 스포츠/레저 > 스포츠 관람, 물놀이,고령자 근력운동 등

# SPEAKER_INFO
id : SD2103505
age : 60대 이상
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 고졸

id : SD2103506
age : 20대
occupation : 무직/취업준비생
sex : 남성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
education : 고졸

# SETTING
relation  :  부모/자녀


P1 	:엄마 내가 축구 좀 좋아한 거 알고 있잖아. /
	
P0 	:그렇지 너 축구 너무 좋아하지. /
	
P1 	:근데 엄마는 뭐 축구 혹시 지나가면서 곁다리로 들은 거 그런 거 없어? /
	
P0 	:축구 뭐 한 번씩은 뭐 이렇게 그렇게 큰 경기 할 때 / 월드컵 같은 데 할 때 그럴 때 한 번씩 내가 보지 내가 / 한 엄마는 축구는 별로 잘 안 보잖아. /
	 니가 너무 좋아하고 축구도 / 뭐 축구에 대해서 잘 아는 거는 많다는 건 아는데 /
	
P1 	:엄마 근데 엄마는 운동은 꾸준히 한 거 같은데 / 스포츠엔 관심이 별로 없는 거 같더라고 /(note : 발화겹침) (()) 뭐 스포츠에 좀 관심 뒀던 적 없어? /
	
P0 	:그런데 어 여건 상 내가 뭐 / 한 스포츠를 계속 오래 이 년 삼 년 씩 할 수 있는 / 어 상이라든지 뭐 / 그런 게 안 됐던 게 있으니까 이제 (()) /(note : 발화겹침) 특히 아줌마들은 이제 걷기 걷기 그게 일 번이고 /
	
P1 	:근데 굳이 하는 것 만 아니라 보는 것도 있잖아. /
	 보는 건데 뭔가 좀 / 이것 좀 괜찮게 봤다 이런 거는 없었어? /
	
P0 	:그런데 내가 이렇게 / 이렇게 안 하니까 내 보는 것도 / 크게 재미를 내가 룰을 잘 모르고 / 거기에 빠져들지 않으니까는 / 크게 재미는 없어 그래서 빅 경기 같은 거는 / 큰 경기 같은 거는 원체 화제가 크니까는 / 한 번씩 보는데 / 근데 그것도 요즘은 그렇게 안 보고 싶어. /
	
P1 	:옛날에 그러면 엄마 어릴 때 배드민턴 같은 거는 좀 했지 않나? /
	
P0 	:배드민턴도 이렇게 많이 안 해서 아주 잠깐 잠깐 이렇게 했지. /
