# FILE DATA
ID : SDRW2100003413
category :  구어 > 사적대화 > 협력적대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211229
topic : 안락사·존엄사 법제화 > 안락사 선택 기준과 생명의 귀중함

# SPEAKER_INFO
id : SD2100889
age : 10대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 중졸

id : SD2100890
age : 40대
occupation : 주부
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 서울
education : 대졸

# SETTING
relation  :  부모/자녀


P0 	:엄마 / 엄마는 안락사에 대해서 어떻게 생각해? /
	
P1 	:엄마는 안락사 찬성 / 인 쪽이야. /
	
P0 	:음 나는 안락사에 대해서 반대인 쪽인데 엄마는 왜 찬성한다고 생각해? /
	
P1 	:엄마는 만약에 엄마가 너무 아파 / 너무 괴롭고 아픈데 / 그거를 연명하고 싶진 않아. /
	 그게 반대 이유야 / 아 찬성에 이유야. /
	
P0 	:그렇겠지 그렇지만 안락사 같은 경우에는 / 만약 병을 어떤 걸 -걸- 걸렸는데 / 충분히 살 수도 있는 병이기도 해 / 근데 그른 게 너무 좀 고통스럽다고 해 가지고 / 그 살 기회마저 쫌 없어지는 건 좀 아닌가 싶기도 해. /
	
P1 	:그럴 수도 있는데 / 만약에 / 엄마가 만약에 그런 병에 걸려서 / 너무 아프고 살 수는 있어. /
	 근데 그 과정이 너무 힘들어서 엄마가 만약에 포기한다면 / 그거는 / 찬성해 줘야 된다고 봐. /
	
P0 	:그래도 가족들 입장에서는 어떻게든이라도 / 더 좀 살리고 싶을 거 아니야 / 그래 가지고 나는 아무래도 일단 이거는 반대가 되어야 된다고 생각해. /
	
P1 	:엄마도 가족들 입장에서 생각해 보면 그럴 수는 있다고 생각은 해. /
	 근데 / 만약에 본인이라면 / 반성은 못하 아 반대는 할 수 없을 거 같아서 그래. /
	
P0 	:음 그렇다 해도 진짜 아프고 이렇게 괴로우면 / 그런 쫌 이성적인 판단이 안 될 수도 있잖아? /
	
P1 	:그렇지. /
	
P0 	:그걸로 그 홧김에 할 수 있지 않나 그런 쫌 생각이 들어 나는 /
	
P1 	:그럴 수도 있어 / 근데 만약에 / 아빠가 예전에 강아지를 키웠었어 / 근데 그 강아지를 십 년 동안 키웠어 / 십 년 동안 키웠는데 / 복부가 계속 팽창이 되는 거야. /
	 그래서 / 강아지가 너무 힘들어해서 안락사를 시켜 줬다고 하더라고. /
	
P0 	:그 강아지는 전혀 어떻게 할 수 없는 상황이었어? /
	
P1 	:그랬던 거 같아. /
	 그래서 온 가족이 너무 많이 슬퍼하고 / 힘들었다고 하더라고 /
	
P0 	:되게 쫌 힘들었겠네 / 하지만 그렇다 해도 / 만약 되게 쫌 길게 진행되는 병들이 있잖아? /
	 그럼 병들이 있을 때 / 막 치료비가 막 부가 부담되고 그런 경우가 진짜 많잖아? /
	
P1 	:그렇지. /
	 치료비도 한 몫은 하지. /
	
P0 	:기런 것 때문에 죽음을 선택하는 사람이 있을까 난 그게 쩨일 걱정돼. /
	
P1 	:그럴 수 있을 거 같애 / 내 엄마가 능력이 돼서 엄마가 내 능력에 맞춰서 / 그 병을 고칠 수 없으면 / 아들 자식들한테 그걸 다 떠맡겨야 되잖아? /
	 근데 치료비가 워낙 비싸면은 / 부담을 줄 순 없을 것 같애 / 엄마 입장에서는 자식한테 /
	
P0 	:그렇게 자식에게 일단 부담에 주는 게 너무 힘든 거잖아? /
	 근데 그렇다 하는데 하더라도 / 생명을 그렇게 포기해선 안 된다고 생각해. /
	 돈이랑 생명은 / 같다고 생각하지가 않아 전혀 / 절대 얼마가 되더라도 생명은 못 사잖아. /
	 (()) 것처럼 생명을 돈에 팔면 안 되지. /
	
P1 	:그치 그런 것도 있지. /
	 근데 / 만약에 / 엄마 아들이 아프다면 물론 당연히 치료를 하겠지만 / 엄마 입장이면은 치료를 안 할 꺼 같애 / 그게 참 힘들긴 하지. /
	
P0 	:(()) / (()) / 나도 찬성 측에 어느 정도 공감은 하지만 / 그래도 일단은 언제까지나 쫌 / 생명이잖아. /
	 생명에 관해선 그래도 희망을 가지고 싶어 / 그렇기 때문에 나는 / 그거 존엄사 안락사에 대해서 진짜 반대하는 편이야. /
	
P1 	:어떤 영화에서 봤는데 / 그 남자는 / 사고 전에 / 굉장히 레포츠도 좋아하고 / 어 회사에서도 성공하는 기업인이었는데 갑자기 / 오토바이 사고가 난 거야. /
	 그래서 / 사지를 못 쓰게 됐어. /
	 그러니까 그 사람은 너무 힘들어하더라고 / 그래서 안락사를 신청을 하고 / 몇 년을 / 생활하다가 그 날짜에 맞춰서 / 안락사를 했거든. /
	 난 근데 그 마음도 이해가 돼. /
	
P0 	:그렇지만 그 마음도 이해는 된다만 그 사람도 가족이 있고 / 주변 친구들이 있었을 꺼 아니야? /
	 너무 힘들고 괴롭겠지만 / 그걸로 주저 -앉- 앉을 수도 있겠지 / 하지만 그래도 언젠간 이겨내야 된다고 생각해 / 그 이겨낼 기회조차 주지 않는다는 건 / 쫌 잔인한 거 같애. /
	
P1 	:그래 그 기회도 있어야 되긴 하는데 / 그 사람은 너무 힘드니까 이 상황 자체가 / 자기는 앞으로 나아갈 길은 없고 / 항상 -이- 이 상황이어야 되니깐 / 죽을 수밖에 없는 거지. /
	 근데 엄마도 만약에 같은 경우면 그럴 꺼 같애. /
	
P0 	:하지만 그런 건 자살이랑 그게 그렇게 다름이 없잖아? /
	 아무리 그거 같은 경우에는 / 되게 아픈 것이 결국엔 / 방치했다간 죽음으로 이어갈 그럴 만한 그런 건 아니야 / 되게 정신적으로 힘든 거고 그런 거지. /
	 그런 거 같은 경우엔 차라리 / 정신개과 치료가 더 중요하다고 생각해 안락사보단 /
	
P1 	:그래 자살과 / 같을 수는 있어. /
	 근데 자살은 멀쩡한 상태에서 죽음을 선택하는 거지만 / 안락사 존엄사는 그게 아니잖아? /
	 몸이 너무 아프구 치료를 할 수가 없는 상황이면 / 연명하는 것보다는 / 그냥 여기서 끝내는 게 낫다 생각하는 거지. /
	
P0 	:몸이 불편한 사람들도 자살을 선택한 경우는 은근 많아. /
	 되게 힘들다던가 신체적으로 힘들어서 / 그것 때문에 정신마저도 힘들어서 / 그런 것 때문에 자살을 선택하는 경우도 많아 장애인들도 /
	
P1 	:그치. /
	
P0 	:하지만 그런 이유로 / 그런 몸이 아프다 / 진짜 결국엔 죽을 수 있는 수술 / 언젠가는 결국 죽게 될 그런 거면 / 안락사가 어쩔 수도 없다고 생각하긴 하지만 / 그래도 결국에는 사람 인생이라는 게 언젠간 죽잖아? /
	 ((xx지만)) 그래도 끝까지 발버둥은 쳐 봐야 된다고 생각해. /
	
P1 	:그래 아들 말도 맞아. /
	 그럴 수도 있을 것 같은데 / 엄마 생각은 / 그 사람 선택에 맞기는 게 좋을 꺼 같애 / 가족들을 위해서 내 생명을 연명하는 거는 병원에서 연명하고 싶지는 않아. /
	
P0 	:그렇다 한들 / 그 쫌 뉴스나 그런 데 보면 진짜 나쁜 가족들도 많잖아? /
	 그런 식으로 강요를 받는다던가 / 그런 식으로 내몰려 가지고 어쩔 수 없이 그런 선택을 하게 되는 건 아닌지 / 너무 쫌 / 너무 횟김으로 / 갑작스럽게 그런 걸 선택할 수 있지 않을지 / 그게 난 쩨일 걱정이 돼. /
	
P1 	:그럼 가족들하고 의논은 해야겠지 어느 정도는. /
	 근데 어느 정도는 의논해도 / 그 사람 본인 선택에 어느 정도는 맡겨야 될 것 같아 / 오직 힘들면 그러겠어? /
	
P0 	:맞는 말이지만 그렇다 해도 너무 이성적인 판단이 힘든 상태야 그런 사람들은 / 그런 사람들한테 뭐 판 / 판단에 그 백 퍼센트를 다 넘겨도 될까란 생각이 들어. /
	
P1 	:그래 그럴 수도 있을 것도 같다 / 너무 아픈 상황이니까 / (()) / 너무 아프니깐 죽고 싶은 거겠지 / 쫌 더 지켜보고 / 얘기를 많이 해 봐야 되겠지? /
	
P0 	:그래야겠지. /
	 결국엔 그래도 / 정신적이나 그런 치료가 일단 먼저 동반되어야 된다고 생각해. /
	 그런 상담이나 그런 거 있잖아? /
	 기런 게 가장 최우선이라고 생각해 나는. /
	
P1 	:상담이 효과가 있을까? /
	
P0 	:그래도 내 이야기를 들어 주고 공감해 준다는 상대가 있는 것만으로도 / 사람은 결국에 위안을 얻거든. /
	
P1 	:&name&이는 / 아들은 늘 반성이야? /
	 반대야? /
	
P0 	:늘 반대라고 할 순 없겠지. /
	 하지만 그렇다 해도 / 찬성을 하되 나는 언제까지나 일단 반대 입장이긴 해 / 찬성하는 의견도 물론 있지 / 하지만 그래도 / 언제까지나 일단은 반대야 나는. /
	
P1 	:엄마두 늘 찬성은 아니지만 / 반대보다는 찬성 쪽이 더 큰 거 같아. /
	
P0 	:나도 마찬가지야. /
	 항상 반대일 순 없지 / 하지만 그래도 그렇다 해도 반대야 나는. /
	
P1 	:만약에 엄마가 힘들어하면 아들은 / 연명하게 할 꺼야? /
	
P0 	:그렇다 해도 욕심은 한 번 부려 볼 꺼 같애 나 같으면 / 정말로 /
	
P1 	:가족이면은 다를 수 있겠지 / 남이라면은? /
	
P0 	:남이라고 한다면 어떻게든 그래도 더 살릴려고 하지 않을까? /
	 남이잖아. /
	 남이라고 해도 막 판단해도 되는 그런 건 아니야 결국엔 / 스스로의 생각도 중요하다고 생각하지만 / 그래도 눈앞에 살릴 수 있는 생명이 있다면 / 그래도 살리는 게 낫지 않을까? /
	 산 사람한테는 결국 기회가 오겠지만 / 죽은 사람한테는 기회가 없을 것 같애. /
	
P1 	:그렇지. /
	 살아 있으면 기회가 언제든 있을 수 있지. /
	
P0 	:그렇지 살아만 있다면 언젠간 기회는 오겠지. /
	
P1 	:그러면 동물과 사람은 다를까? /
	
P0 	:동물과 사람은 확실히 다르지. /
	 생각에 그 / 지능에 차이가 엄청 나오잖아. /
	
P1 	:만약에 아들이 키우는 강아지가 / 너무 힘들어하면은 / 찬성이야? /
	
