# FILE DATA
ID : SDRW2100004337
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220305
topic : 취직 > 대기업에서 일하고 있는데 중소기업 을 이직을 할지 고민

# SPEAKER_INFO
id : SD2102391
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 대졸

id : SD2102392
age : 60대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
education : 고졸

# SETTING
relation  :  부모/자녀


P0 	:내가 지금 / 회사를 다니고 있잖아. /
	 근데 이제 우리 회사가 / 어쨌든 대기업이지만 / 어~ 나는 / 여기서 이 년 정도만 근무를 하고 / 중소기업이나 / 중견기업 쪽으로 가서 / 더 연봉을 더 많이 받구 / 이제 이직을 하고 싶은데 더 높은 자리로 / 이직을 하고 싶은데 / 엄마는 / 내가 계속 대기업에서 남아서 / 어 월급을 더 / 적게 받더라도 / 지냈으면 좋겠는지 일을 했으면 좋겠는지 / 아니면 중소 말 내가 아까 말핸 했던 것처럼 / 중소기업으로 갔으면 좋겠는지. /
	
P1 	:나는 대기업도 좋지만은 / 어~ 무조건 대기업이 좋은 거는 아닌 거 같애 어쨌든 / 중소 요즘에는 나라에서 / 정부에서 많이 중소기업을 많이 발전시킬려고 / 노력하는 것들이 많이 있거든. /
	 그래서 / 나는 중소기업도 괜찮 / 고 추천하고 싶어 너네들한테. /
	 왜냐면 / 어 대기업 다닌다 그래서 뭐 / 특별하게 뭐 내 인생에 어떤 / 큰 저기는 없 / 큰 저기는 없다고 생각해. /
	 뭐 그릏다고 행복하구 막 이런 거 {clearing} / 어저 엊그저께 뉴스에 나오는데 {clearing} 현대 / 차 그 다니던 / 어 한 젊은이가 / 자살했더라구 대기업이잖아 현대도. /
	 근데 거기 자살했는데 그 너무 / 업무에 휩싸여 가지구 / 막 야간 하고 막 그런 것들이 너무 쌓여 갇꼬 / 압박감도 오고 막 디자이너실인데 그 사람은. /
	 압박감도 오고 막 인제 이 / 경쟁이 너무 심하다 보니까. /
	 그래서 / 나는 그냥 {clearing} / 너희는 너희들이 편한 직업이었음 좋겠어. /
	
P0 	:응 뭔 말인지는 이해했고 / 응 나는 근데 일단 지금 하는 일에는 만족을 하고 / 대기업의 장점이 있잖아. /
