# FILE DATA
ID : SDRW2100000545
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211013
topic : 건강/다이어트 > 탈모 등 걱정되는 건강상태, 건강유지 위한 노력들, 정신건강 유지 방법

# SPEAKER_INFO
id : SD2100495
age : 40대
occupation : 주부
sex : 여성
birthplace : 충남
principal_residence : 서울
current_residence : 서울
education : 대졸

id : SD2100496
age : 40대
occupation : 주부
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
education : 대졸

# SETTING
relation  :  친구


P1 	:자기는 요즘 다이어트에 관심 있어? /
	
P0 	:정말 많죠. /
	 갱년기도 다가오고 해서 지금 다이어트 하지 않으면 / 살이 많이 찔 수가 있대요. /
	 그리고 살 찌면 만병의 근원이잖아요 그래서 지금 다이어트 하는 중이에요. /
	(note : 발화겹침) 소식으로 /
	
P1 	:어떤 /(note : 발화겹침) 소식? /
	
P0 	:네. /
	
P1 	:그게 잘 가장 어렵던데 나는 소식이 어려운 거 같애 그래서 요즘에는 / 그래서 그 장운동을 하면은 살이 많이 빠진다고 그래서 유산균이라든가 이런 걸 많이 챙겨 먹고 있거든 근데 사실 살은 잘 안 빠지더라고 /
	
P0 	:옛날 같지 않죠 기초대사량이 젊었을 때 보다는 확실히 떨어지는 거 같아요 아무리 쪼금 더 운동을 한다고 해도 / 뱃살이 안 빠지더라고요 그래서 소식을 하면서 / 운동을 같이 병행해 줘야지만이 / 될 거 같고 젊을 때 보다는 두 배 세 배로 힘들게 노력을 해야 될 것 같아요. /
	
P1 	:아이고 그래서 나는 요즘 / 막 이것저것 많이 먹었든 사실 그 / 다이어트라기 보다도 그냥 / 좋다 하는 거 있잖아. /
	 머리털도 빠져서 머리 그 / 콜라겐이 있 좋다고 해서 또 콜라겐도 챙겨 먹고 / {laughing} 또 맥주 효모가 또 머리털 나는 데 좋다 그래서 맥주 효모도 먹고 하는데 / 별 차이가 없는 거 같애 그래서 /
	
P0 	:그 /
	
P1 	:걸어 다니기는 쫌 많이 걸어 다니는데 / 많이 걸 저녁에 많이 걸어 다니면은 잠이 잘 와서 또 그거는 좋은 거 같아. /
	
P0 	:그럼 요즘 고민이 탈모 걱정이셔요 건강에 있어서? /
	
P1 	:탈모도 그렇고 이제 배도 그렇지만은 난 또 아무래도 여자이다 보니까 / 머리가 쪼금 비워지는 게 보여 눈에 글고 그래서 / 사람들한테 어떻게 하면 요즘 어떻게 관리하느냐 / 이런 걸 많이 물어 보게 되지. /
	
P0 	:탈모는 / 이제 자연스럽게 나이가 드니까 모발이 얇아져서 인제 생기는 거 같던데요 그거를 예방하기 위해선 여러 가지 / 뭐 / 검은깨 검은콩 / 이런 거를 먹기도 하고 / 또 두피 마사지도 하고 또 약을 먹는 사람들도 있더라고요 근데 그게 과연 효과가 있을까 라고 저는 생각을 하고요. /
	 그래도 아무 노력 안 하는 거보다는 / 그렇게 꾸준히 지금 하시는 거 / 일 년 아닌 / 완전 수년 동안 하셔야 되는 부분이니까 꾸준히 한번 노력해 보셔서 / 원하시는 머리를 갖기를 /
	
P1 	:{laughing} /
	
P0 	:바랍니다. /
	
P1 	:아니 옛말에 머릿결이 / 머리 숱이 많은 사람이 오래 산다는 말이 있거든 {laughing} / 그니까 그 흰머리가 없는 사람이 오래 살고 / 어~ / 그런 표현들이 있어서 우리 어머님 보면은 흰머리도 없고 머리 숱이 나보다 더 많아. /
	 근데 그 친정 엄마가 팔십 구십 넘어서까지 사셨거든 그래서 / 아 그 말이 맞나 보다 라고 생각을 할 정도로 우리 어머님 머리숱이 굉장히 좋아. /
	 그래서 / 근데 나도 쫌 오래 살아야 오 쫌 이왕 살 것 쫌 건강하고 오래 살았으면 좋겠다 라는 생각이 들거든. /
	
P0 	:네. /
	 생명은 뭐 마음대로 할 수 없는 거니까 뭐 유전일 수도 있고 아니면 건강 관리를 잘 해서 / 오래 살 수도 있고 하니까 제일 중요한 건 인제 스트레스를 안 받는 게 중요한 거 같애요. /
	 저희 친정 식구들은 머리가 / 하얀색이 없어요 다 새치도 없고 그런데 / 저는 쫌 일찍 결혼하자마자 새치가 올라왔어요 근데 그게 남편 땜에 스트레스 / 였던 거 같은 거죠. /
	 근데 지금은 인제 새치 염색 하느라고 그것 때문에 머리가 쫌 빠지면 듯한 느낌 / 염색을 쫌 줄여야겠단 생각이 들더라고요 /
	
P1 	:자기는 이 이제서야 빠지는 느낌 들면은 참 늦게 빠지는 거다 {laughing} 어 나는 사십 대부터 그랬거든. /
	
P0 	:그런가요? /
	
P1 	:어. /
	
P0 	:일찍부터 그랬으니까 신경이 더 쓰이시겠네요. /
	
P1 	:그렇지 그서 / 머릿결도 그렇지만은 뭐 피부 탄력이라던가 쫌 이런 부분들도 쫌 남들보다 좀 / 빨리 왔던 거 같고 / 또 그리고 또 갱년기도 더 빨리 오고 그래서 또 약도 먹어야 되는데 / 나는 / 그 호르몬제를 그 갑상선 호르몬제도 먹어야 되고 / 또 그 자궁 그쪽 (()) 그 / 뭐지 호르몬제도 먹어야 되고 해서 / 살이 사실은 / 뭐라 할까. /
	(note : 발화겹침) 없어진다고 해야 되나 근력이 빠지는데 지방만 생기는 거 같애. /
	
P0 	:아 / 그렇구나 그럼 근력이라는 거는 운동을 해야지만 늘어나는 거니까 / 그죠? /
	 남들보다 좀 더 꾸준히 운동 많이 하셔야 되는 부분인데 어떤 운동 하셔요 주로? /
	
P1 	:나는 요즘 예전에는 애 아빠랑 한 두 시간 정도 자전거를 타고 그니까 청계천 / 그쪽 한강변 한강 그쪽으로 한강뷰를 보면서 /(note : 발화겹침) 자전거도 타고 다니고 했는데 이제는 인제 추워지니까 애 아빠랑 헬스를 끊었어 갖고 오늘부터 이제 다니기 했지. /
	
P0 	:아 정말 열심히 운동 하시네요 부러워요. /
	
P1 	:{laughing} /
	
P0 	:저는 아무 운동도 안 하고 지금 숨쉬기 운동 밖에 안 하고 있어서 / 최대한 이제 많이 걸으려고 노력하고 있어요 그거라도 해서 쫌 뱃살이라도 좀 빼야겠다. /
	 배에 살이 찌면은 병이 생긴다 그래 가지고 / 또 저희 나이가 인제 하나씩 하나씩 몸이 아파지는 나이잖아요. /
	
P1 	:그치. /
