# FILE DATA
ID : SDRW2100000254
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210827
topic : 관혼상제 > 코로나가 끼친 영향, 장례문화

# SPEAKER_INFO
id : SD2100253
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
education : 대재

id : SD2100254
age : 20대
occupation : 무직/취업준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 대졸

# SETTING
relation  :  연인


P1 	:음 얼마 전에 우리 외할머니가 돌아가셨잖아 그래서 / 장례식장에 / 나도 당연히 갔는데 / 가 보니까 생각보다 장례식이 돈이 많이 들더라고. /
	 그~ / 내가 알고 있는 것보다 뭐 그 모든 과정이 다 / 돈으로 이렇게 이루어진다는 사실을 좀 대해서 나는 조금 놀랐어. /
	
P0 	:근데 이번에 코로나 때문에 규모를 쫌 작게 / 했던 거 아니야 그런데도 / 돈이 많이 들었어? /
	
P1 	:아 근데 외할머니가 계신 곳은 시골이라서 / 그런 코로나에 대한 규제보다 규제에 별로 / 그렇게 걸리지 않아 가지고 그냥 사람들이 다 오기도 하고 / 여러 명에서 다 밥도 먹고 이런 식으로 진행했는데 / 그래서 그랬는지 / 뭔가 돈이 되게 많이 들더라고 근데 내가 조금 / 몰랐던 부분은 그런 것보다는 약간 그런 부분이었어 뭐 / 장례를 치르기 전에 -수의- 수의에 대해서 그 / 장례 지도사 분께서 이 수의를 어떤 걸로 하시겠느냐 / 근데 뭐 싼 거는 나일론이고 비싼 거는 삼배다 이제 / 이렇게 얘기하면서 근데 나일론으로 하시려면 하셔도 된다 이런 식으로 얘기를 하시는 거야 그래서 / 아니 이거는 왜 이렇게 / 죽은 근까 이미 돌아가신 분을 / 가지고 뭔가 그 유가족들에게 / 막 장사를 하고 있다 이런 생각이 들어서 나는 조금 / 이런 장례문화는 좀 바뀌'어야 되지 않을까 하고 생각했어. /
	
P0 	:그치 장례문화도 그렇고 다른 어떤 결혼식이나 / 차례 이런 전통적인 문화 중에서 사실 축제인데 / 이게 되게 허례허식 같다고 비판을 받는 경우도 많잖아 특히 / 결혼식 같은 경우도 / 막 진짜 / 연예인들 보면 억대의 결혼식을 올리는 거 보면 / 일반인으로서 보기엔 되게 / 부럽긴 한데 / 또 한편으론 박탈감도 느껴지고 그런 것 같아. /
	
P1 	:응 근데 결혼식도 나도 비슷하게 생각하는데 / 근데 결혼식은 또 그런 부분이 있는 거 같아 결혼식은 / 이제 내 가족이 / 다른 가족들의 결혼식에 참석해서 낸 / 축의금을 다시 돌려받는 형태 구조로 / 뭔가 우리나라는 이상하게 고정되어 있잖아 / 그래서 / 내가 뭔가 작게 하고 싶다는 생각을 해도 / 또 우리 가족 입장에서는 아니 내가 지금까지 내 / 친지들한테 돌린 축의금이 얼만데 / 하면서 이제 무조건 성대하게 해야 된다는 식으로 이제 / 자꾸만 이렇게 가니까 / 이걸 뭔가 타파할 수 있기가 쉽지 않을 거 같기도 해. /
	
