# FILE DATA
ID : SDRW2100001587
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210914
topic : 쇼핑 > 소비의 대해

# SPEAKER_INFO
id : SD2101587
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 경기
education : 대재

id : SD2101588
age : 20대
occupation : 학생
sex : 남성
birthplace : 부산
principal_residence : 부산
current_residence : 경기
education : 대재

# SETTING
relation  :  연인


P0 	:현명한 소비란. /
	
P1 	:현명한 소비? /
	 나는 / 요새 대학생 이잖아. 우리가 /
	
P0 	:그렇지. /
	
P1 	:돈이 우리가 / 막 직장인들처럼 많이 받을 수 있는 것도 아니고 / 긍까 사고 싶은 건 많은데 / 잘 못 사니까 / 쫌 / 쫌 / 아껴서 / 써야 될 거 같애. /
	
P0 	:맞아. /
	
P1 	:자기도 지금 돈 없잖아. /
	
P0 	:그렇지. /
	
P1 	:어. /
	
P0 	:최소 최소한으로 쫌 /(note : 발화겹침) 필요한 금액이 있다면 /
	
P1 	:응. /
	
P0 	:얼마 정도가 가장 최소한 필요한 금액 일까? /
	
P1 	:나는 내가 지금 / 사십만 원 받고 있는데 / 사십만 원도 / 뭐 그냥 / 밥 먹고 어디 이동하고 뭐 하다 보면 쫌 / 많이 부족하거든? /
	
P0 	:음. /
	
P1 	:그니깐 / 한 못 해도 한 / 칠십? 칠십만 원은 받아야 / 교통비도 뭐 십만 원이면 십만 원 빠지고 / 뭐 옷도 사야 되고 하니깐 /(note : 발화겹침) 한 칠십만 원 받아야 될 것 같애. /
	
P0 	:칠십만 원? /
	
P1 	:어 자긴 어떻게 생각해? /
	
P0 	:나도 그렇게 생각해. /
	(note : 발화겹침) 칠십은 있어야 /
	
P1 	:어. /
	
P0 	:뭐 또 사고 싶은 거 살 수 있고 /
	
P1 	:응. /
	
P0 	:사고 싶은 걸 이제 비싼 건 못 사더라도 /
	
P1 	:응. /
	
P0 	:최소한 한 십만 원 정도 여윳 돈이 있어야 /
	
P1 	:응. /
	
P0 	:본인이 / 쫌 더 생활이 안정적이지 않을까. /
	
P1 	:그러면은 / 돈을 벌잖아 만약에 칠십만 원 받았어. /
	 받으면은 뭘 뭘 제일 사고 싶어? /
	
P0 	:응. /
	(note : 발화겹침) 칠십만 원을 받으면? /
	
P1 	:응. /
	 까 여유가 있으면. /
	(note : 발화겹침) 뭐 만약에. /
	
P0 	:나는 피부를 관리하는 기기. /
	
P1 	:어떤 거 예를들면? /
	
P0 	:예를 들면 피부과에서 쓰는 그런 기기도 받고 싶고 /
	
P1 	:응. /
	
