# FILE DATA
ID : SDRW2100001285
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20220112
topic : 관혼상제 > 지인결혼이야기, 결혼은 본인의 선택, 장례식이야기

# SPEAKER_INFO
id : SD2103659
age : 40대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 광주
current_residence : 광주
education : 대졸

id : SD2103660
age : 40대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경기
principal_residence : 충남
current_residence : 광주
education : 대졸

# SETTING
relation  :  모임_동아리 지인


P0 	:그 쫌 전에 결혼 이야기 했잖아. /
	
P1 	:네 /
	
P0 	:근데 인제 어찌됐거나 인제 우리 딸들이 다가오니까 / 어 그런 생각을 많이 하게 되고 /
	
P1 	:그래서 근데 디게 빠르지 않아요? /
	 스물 /(note : 발화겹침) 다섯 살에 시 결혼을 하면 /
	
P0 	:어 근데 걔네 엄마두 스물셋인가 넷인가에 했었대. /
	
P1 	:아 엄마도 빠르고 /
	
P0 	:어 /
	
P1 	:딸도 빠르고 /
	
P0 	:그렇지. /
	
P1 	:그러면 /(note : 발화겹침) 손자와 손녀를 빨리 볼 가능성도 /
	
P0 	:오십 세 /(note : 발화겹침) 오십 살 이전에 {laughing} /
	
P1 	:아 저 이번에 면접 본 간 회사도 / 사장님이 오십 /
	
P0 	:어 /
	
P1 	:대였는데 /
	
P0 	:어 /
	
P1 	:아 자제분이 / 최근에 둘째를 낳다구 / 근데 그분이 저보다 아홉 살인가 열 살 많은 / 쉬운한 살이셨어요. /
	
P0 	:쉬운한 살? /
	
P1 	:네 /
	
P0 	:어 /(note : 발화겹침) 쉬운한 살에 그르믄 애기를 봤 아 손주를 봤대는 건가? /
	
P1 	:작년 일이니까 인제 올해 쉬운두 살이고 /
	
P0 	:어어 어응 /
	
P1 	:아들이 하나 있구 / 손자 손녀가 / 각각 한 명씩 총 두 명 /
	
P0 	:너도 분발해라. {laughing} /
	
P1 	:{laughing} 아니 분발 안 해도 될 거 같애요 아직 /(note : 발화겹침) 전 아직 /
	
P0 	:{laughing} /(note : 발화겹침) 어머 /
	
P1 	:큰애가 어려 가주구 / 근데 아마 하면 그렇게 되지 않을까요? /
	 만약에 제가 저도 일찍 했잖아요. /
	
P0 	:으응 /
	
P1 	:언니도 일찍 했죠? /
	
P0 	:나는 스물여섯에 했는데 애를 스물여덟에 낳았지. /
	
P1 	:그니까요 /
	
P0 	:어 /
	
P1 	:우리두 결혼은 좀 / 빨리 했어요. /
	
P0 	:근데 / 그 애가 지금 벌써 스물넷이잖아. /
	(note : 발화겹침) 은근히 빠른 거 같애. /
	
P1 	:아 너무 빨라요. /
	
P0 	:어 /
	
P1 	:근데 결혼은 식은 어디서 한대요? /
	
P0 	:어 교회에서 합니다. /
	
P1 	:아 교회에서 해요? /
	
P0 	:어 /
	
P1 	:아 두 분 다 /
	
P0 	:교회 목사님에 주례로 아 주례가 아니라 /
	
P1 	:네 /
	
P0 	:그 /
	
P1 	:사회? /
	
P0 	:사회가 아니라 중재 /
	
P1 	:아니 -그- 그거 예배 집도라고 하던데 /
	
P0 	:이런 걸로 /(note : 발화겹침) 응 /
	
P1 	:결혼 예배를 집 /(note : 발화겹침) -집- 집도는 이거 아닌가 이거 의사 선생님 /
	
P0 	:집 이거 / 소개를 하셨대 목사님이 소개를 하셨고 교회에서 결혼식을 할 거고. /
	
P1 	:아 네 / 그래서 교회에서 하는 거예요? /
	
P0 	:어 /
	
P1 	:그럼 일요일 날 / 안 하죠? /
	
P0 	:토요일 /
	
P1 	:왜냐면 / 교회에서 하는 예배는 / 주일에 / 예배드려야 돼 가주구 / 토요일 날에 해요. /
	
P0 	:날짜가 삼 월 이십일 일 / 얼마 남지 않아서 / ((xx에다가)) 이십오 평 집을 얻었대 이십삼 평인가 / 벌써 얻었어 근데 / 친구가 / 거기 밑에 그 가정 어린이집 / 선생님이야. /
	
