# FILE DATA
ID : SDRW2100003101
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211028
topic : 우정 > 친구와의 약속시간, 공통된 취미활동

# SPEAKER_INFO
id : SD2103051
age : 20대
occupation : 학생
sex : 남성
birthplace : 경기
principal_residence : 인천
current_residence : 인천
education : 대재

id : SD2103052
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
education : 대재

# SETTING
relation  :  친구


P1 	:너는 그 친구들 관계에서 / 가장 중요하게 생각하는 게 뭐야? /
	
P0 	:친구들 관계에서 가장 중요한 거는 당연히 신뢰라고 할 수 있지. /
	
P1 	:응 그니까 신뢰라는 게 뭐 약속 시간을 잘 지키다든가 아니면 뭐 / 약속을 하면은 / 뭐 그렇게 막 무조건 나와야 된다는 거 그런 걸 말하는 거야 아니면 따른 의미가 있는 거야? /
	
P0 	:어 일단 약속 시간은 당연히 지켜야 되고 / 약속 시간을 당연히 지켜야 되고 뭐 친구간에 / 어 당연히 믿음도 있어야 되고 / 그렇지 않을까 없으면은 / 친구 아니지. /
	
P1 	:그러면은 일단 약속 시간에 /(note : 발화겹침) 그 너가 지켜야 된다고 했는데 너는 약간 약속 시간을 잘 지키는 편이야 아니면은 약속 시간을 좀 안 지키는 편이야? /
	
P0 	:{laughing} / 그거는 {laughing} 너가 더 잘 알지 않을까? /
	 너가 더 잘 알지 않을까? /
	 나는 항상 약속을 지켰고 / 맨날 너랑 / &name1&이랑 만나면서 항상 나는 삼십 분씩 기다렸고 / 맞지? 난 항상 잘 지켰어 너가 안 지키지. /
	
P1 	:어 그 &name1&이는 걔가 우리 동네 친구잖아 근데 / 나는 그 그 신뢰가 중요하다 생각하는데 약간 나도 약간 같은 친한 친구다 보니까 쫌 가끔씩 쫌 무뎌지는 경우도 있고 / 약간 좀 대수롭지 않다고 생각하 약속 시간을 대수롭지 않다고 생각하는 경우도 많은데 / 약간 그런 점은 살짝 이해 줄 수는 없을까? /
	
P0 	:당연히 없지. /
	 왜냐면은 / 나는 약속을 지키기 위해 언제부터 언제까지는 {clearing} 뭘 하고 / 약속 끝나고 집에 와서 뭘하고 이런 거를 생각하는데 / 항상 너네가 그거를 늦어 가지고 나는 내 / 할 일을 못 해. /
	 그래가지고 신뢰가 중요하다 / 약속 시간 지켜야 된다 이거지. /
	
P1 	:어 그러니까 너는 그 신뢰라는 게 각자 이제 사정이 있는데 / 그니까 각자의 사정을 해야 될 일도 존중하기 위해서라면 서로 서로 이제 배려할 부분이 어느 정도 있다는 / 거지? 그렇기 위해서 이제 약속 시간을 지켜야 된다는 거지? /
	
P0 	:그치 무조건 지켜야지 이거는 늦으면 / 늦으면 그 사람에 대한 예의도 아니고 / 그 사람을 어 가볍게 생각하는 거야. /
	 그렇지 않을까? /
	
P1 	:어. /
	 그러면은 나도 이제부터 / 어 약속 잘 지키고 이제 우리가 이제 / 약속 하면은 만 열 시에 약속했다고 하면은 딱 이제 오 분 전에 나올 수 있도록 많이 노력하도록 할게. /
	
P0 	:확실해? /
	
P1 	:어 확실하지. /
	
P0 	:{laughing} /(note : 발화겹침) {laughing} 안 늦을 자신 있어? 나는 너 보면서 항상 / 항상 늦었는데 /
	
P1 	:어 / 다음에는 뭐 나도 솔직히 장담하지 못하지만은 / 백 퍼센트라고는 말 못하지만 그래도 / 최대한 노력을 해서 이제 일찍 나갈 수 있도록 할게. /
	
P0 	:{laughing} /
	
P1 	:어 그리고 너는 이제 친구들하고 만날 때 뭐 / 우리는 술을 자주 막 안 먹는 편이잖아. /
	 그니까 술을 자주 안 먹는다 보니까 이제 뭐 약간 좀 / 서로 나는 이제 술 잘 먹고 싶으면 먹고 싶은데 너희들 술 안 먹고 / 그니까 우리가 약간 좀 공통적으로 약간 좀 할 수 있는 게 있을까? /
	
P0 	:공통적으로 하는 거? /
	 그거는 / 어~ {laughing} / 야 술 어 먹으면 되지 어 나도 좋아해 어 / 아닌가 {laughing} /
	
P1 	:근데 약간 / &name1&이하 그 &name1&이가 우리 동네 친군데 &name1&이하고 너는 약간 좀 술 먹으면은 얼굴도 많이 빨개지고 근데 술도 막 건강에 좋은 건 아니니까 나도 뭐 이해하는데 / 그러면은 약간 뭐 / 무조건 음식을 먹으러 가는 가는 거보다는 좀 약간 여러가지 활동을 하는 게 우리 그 우정을 다지는 데도 좀 좋지 않을까? /
	
P0 	:근데 그거는 이유가 있어. /
	 내가 / 내가 대학교 친구들이랑은 술을 그래도 자주 먹는단 말이야. /
	 이게 너네랑 걔네랑 차이점이 대학교 친구들은 / 술을 좀 자제하면서 먹어. /
	(note : 발화겹침) 근데 너랑 &name1&은 /(note : 발화겹침) 너랑 &name1&은 / 그냥 죽을 때까지 먹이지. /
	 토할 때 까지 / 어 이러면 먹고 싶어질까? /
	
P1 	:어~ / 그니까 너는 / 대학교 친구들은 그래도 너가 이제 술에 대해서 / 어느 정도 이제 / 더 이상 너가 이제 마실 수 없을 때까지 마시는 게 아니라 어느 정도 그냥 너가 / 정도껏 마시는 거를 존중해 주는 데 우리는 무조건 그냥 마셔라 마셔라 이렇게 얘기하는 거니까 그게 싫다는 거잖아 그치? /
	
P0 	:{laughing} / 그치. /
	
P1 	:어 그러면은 뭐 어~ / 나도 이제 / 널 배려할 테니까 우리도 이제 술도 먹으러 가고 또 그리고 약간 좀 / 여러 가지 활동도 하고 근데 술 먹는 거보다는 그래도 뭐 여러가지 활동 있지 / 여러 가지 활동이 있지 않을까? /
	
