# FILE DATA
ID : SDRW2100001902
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211023
topic : 쇼핑 > 휴대폰과 악세사리 케이스 구매 후기

# SPEAKER_INFO
id : SD2101767
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
education : 중졸

id : SD2101768
age : 10대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 경기
current_residence : 경기
education : 중졸

# SETTING
relation  :  친구


P1 	:시월 이일 날 / 그 며칠 전에 엄마가 하고 나하고 / 같이 핸드폰 가게 가 가지고 아이폰 십삼을 예약을 했어. /
	 그 아이폰 십삼 다이렉트가 나온 게 구 월 십칠 일이었는데 / 한국 출시 / 그 추석이랑 겹쳐 가지고 이 주간 미뤄졌다는 얘기도 있는데 / 겨우 아이폰 십삼을 예약했더니 / 거의 이십일 일 정도 지나서야 받을 수 있었어. /
	
P0 	:음 그렇네. /
	 (()) 뭐지 구 월 달에 나와 갖고 / 막 그때 살 수 있겠다 했는데 / 이렇게 미뤄져 가지고 이 주간 미줘지고 이제야 / 겨우 예약을 했는데 / 이제 한 한 달 정도 기다린 거잖아. /
	 그러면은 진짜 너무 속상했겠다 / 나라도 막 와 나 아이폰 샀 / 어 나 예약했어 이러고 있는데 / 갑자기 / 막 기다리는데 안 와 {laughing} 안 오고 / 한 이십 일 / 뒤에서야 온다 하면은 되게 속상했을 거 같애. /
	
P1 	:케이스가 / 그 아이폰 보다 먼저 도착해 가지고 나도 / 속상했었어. /
	 왜냐하면 / 난 / 솔직히 케이스는 열흘 뒤에 주문을 했거든 / 아이폰 / 아이폰 그 예약한 뒤로 / 근데 케이스가 / 아이폰보다 먼저 도착해 가지고 나도 실망했었어. /
	
P0 	:응 근데 그렇지 약간 / 아이폰을 예약을 하고 / 그 뒤에 케이스를 이제 주문을 한 건데 / 보통 폰이 핸드폰이 오고 / -그- 그 뒤에 케이스가 와야 좀 탈부착도 하고 그런 맛이잖아. /
	 근데 약간 케이스가 더 빨리 오고 아이폰이 더 늦게 오니까 / 되게 일정에 차질이라기엔 좀 애매한데 / 그런 것도 있었을 거 같고 / 되게 속상했겠다 약간 / 음 /
	
P1 	:그 / 아이폰 / 그 / 십삼을 사용하는 / 그 사진이 계속 인스타그램에 올라오는 거야. /
	 그걸 보고서 / 아 나도 저런 폰으로 바꿔야 하는데 / 언제쯤 바꾸지라는 생각이 계속 드는 거야. /
	 계속 그 아이폰 십삼 프로로 바꾼 사람만 바꾼 그 / 사람들만 계속 눈에 띄고 / 그래서 나는 언제쯤 받을까 / 걱정이 됐을 무렵에 이제 / 오늘 전화가 오게 됐어. /
	
P0 	:음 맞아 약간 / 아이폰 되게 사람들이 많이 쓰잖아 아이폰도 많이 / 쓰고 삼성도 쓰고 하는데 난 솔직히 말하면 / 아이폰이 더 인기 많은 거 같더라고 / 그래서 막 / 인스타 유튜브나 다 아이폰 얘기야. /
	 이번에 여 아이 여기 애플 회사에서 / 이게 나온다 / 아이패드 얘기로도 막 / 되게 도배가 되고 / 아이폰 얘기 도배가 되고 그러는데 / 음 / 맞아 그러더라고 되게 / 만약에 내가 아이폰 십 / 그 너가 말한 그 기종이 예약을 했잖아 / 그럼 나는 나도 그 기종 계속 기다리면서 / 아 내 건 언제 오지 이 사람은 받았는데 이러면서 되게 / 여러가지 생각을 많이 했을 거 같애. /
	
P1 	:내 동생 같은 경우에도 / 그런 경험을 했었어. /
