# FILE DATA
ID : SDRW2100000436
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20210928
topic : 취직 > 희망하는 진로 방향, 취직시 고려하는 우선순위, 구직경험

# SPEAKER_INFO
id : SD2100435
age : 20대
occupation : 무직/취업준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
education : 고졸

id : SD2100436
age : 20대
occupation : 학생
sex : 남성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
education : 대재

# SETTING
relation  :  친구


P1 	:내가 체육학과를 다니고 있는데 / 취직을 어떻게 해야 될지 잘 모르겠어. /
	
P0 	:니가 하고 싶은 그 진로가 있을 거 아니야. /
	
P1 	:내가 하고 싶은 거 / 는 아 사실 난 잘 모르겠어. /
	
P0 	:체육학과는 근데 딱히 / 할 수 있는 게 크게 몇 개 없지 않아? /
	
P1 	:뭐 대부분은 선생님 쪽으로 빠지는데 / 사실 선생님이라고 할려면은 교육학과를 가야 돼. /
	
P0 	:교육학과 /
	
P1 	:내가 교육학과가 아니라 근데 선생님을 하기에는 시간이 좀 많이 걸리지. /
	
P0 	:그러면 일단 선생님은 일단 안 되고 아니면 약간 경호 이런 데도 약간 체육학과에서 뽑지 않아? /
	
P1 	:경호학과 근데 따로 있잖아. /
	
P0 	:근데 약간 체육학과도 약간 그 저 약한 빌릴 수 있을 만한 그런 쪽 아니야? /
	
P1 	:근데 내가 경호 쪽은 가고 싶지가 않아 선호하지도 않고 /
	
P0 	:그럼 일단 선생 아니고 / 경호 아니고 그럼 남은 나머지가 그럼 뭐 있지 나 체육학과에 대해선 잘 몰라. /
	
P1 	:그래서 이제 조금 전과를 할라고 생각 중이야. /
	
P0 	:예를 들어 어떤 거 /
	
P1 	:어 / 컴퓨터 공학 /
	
P0 	:컴퓨터 공학 / 컴퓨터공학이면 또 약간 또 나 하고 또 연관되어 있지. /
	 내가 지금 컴퓨터 요새 좀 배우고 있거든 / 근데 컴퓨터공학 그렇게 쉬운 게 아니야. /
	
P1 	:물론 알고 있지만 / 그 / 배우는 / 곳이 다르잖아. /
	 나는 대학에서 배우는 거고 / 너는 학원에서 배우는 거고 /
	
P0 	:약간 달르긴 한데 그래도 그래도 / 지식은 지금 너보단 많을 거 아니야. /
	 근데 컴퓨터 -공- 공학에서도 니 만약에 컴퓨터공학에 나왔어 / 그중에 또 니가 가고 싶은 곳이 있을 거 아냐. /
	
P1 	:나는 게임 제작 /
	
P0 	:아 게임 개발자 /
	
P1 	:응 /
	
P0 	:게임 개발자로 /
	
P1 	:응 /
	
P0 	:그 뭐 니 지금 하고 있는 거 있어? /
	
P1 	:지금 동네 애들이랑 쪼그맣게 게임 만들고 있어. /
	
P0 	:아 게임 /
	
P1 	:응 /
	
P0 	:근데 게임 개발자도 근데 웬만해서 근데 프로그래밍 언어 정도는 다 배워야 하거든 /(note : 발화겹침) 니 니가 니가 지금 여태까지 뭐 배운 게 하나 있어? /
	
P1 	:나는 별로 없는데 그 내 동네 애 중에 / 한 명이 이제 / 뿌 / 학교는 아닌데 / 뭐 다른 데서 컴퓨터를 쪼끔 배웠나 봐. /
	
P0 	:어 나하고 똑같네. /
	
P1 	:어 그래 가지고 이제 / 걔를 중점으로 / 우리가 이제 스토리를 말해주고 / 걔한테 이렇게 해 줘 해 줘 하면은 그 친구가 만들어 주긴 하는데 / 사실 그 친구도 잘 만들진 못 해 아직까지 그냥 / 위 아래 움직이는 거 / 그거 하나 만들었더라고. /
	
P0 	:아 진짜 /
	
P1 	:응 /
	
P0 	:근데 니가 개발자면 근데 너도 / 스토리만 짤 게 아니고 /(note : 발화겹침) 너도 왔다 갔다 좀 프로그래밍 해야 할 텐데? /
	
P1 	:나도 그래서 이제 내가 캐릭터 만들고 / 책 사서 이제 조금 보고 있거든 / 근데 나도 이제 엑스 와이 축 움직이는 걸 해 봤는데. /
	(note : 발화겹침) 상당히 쉽드라구. /
	
P0 	:아 진짜 /
	
P1 	:상당히 쉬운데 그 친구는 되게 생색을 많이 내드라. /
	
P0 	:어 /
	
P1 	:근데 내가 만들어 보니까 어제 재밌더라고 /
	
P0 	:혹시 너 근데 근데 그 프로그램 엔진도 또 있을 거 아니야 / 예를 들어 뭐 / -솟- 솟 소드 / 뭐 그런 것도 있을 거고 유니티 있을 거고 / 아니면 얼리어 얼리어 엔진 뭐 이런 것도 있을 거고 / 너 혹시 그 뭐 그 중에 뭐 하는데? /
	
P1 	:난 유니티 하고 있는데 / 어 일단 게임 개발 쪽으로 나가기 위해서는 / 대부분 사람들이 / 그쪽을 많이 선호한다고 하드라고. /
	 그리고 취직을 하기 위해서도 /
	
P0 	:응 /
	
P1 	:자기가 직접 만들어 본 게 있으면 좋다고는 하드라고. /
	
P0 	:어 확실히 근데 약간 개발자 쪽은 확실히 그게 쫌 필요하긴 하지. /
	 금 그럼 니가 원하는 회사 이런 것도 있어? /
	
P1 	:회사까지 아직 생각이 나는 / 내 회사를 만들고 싶은 게 일단은 제일 /(note : 발화겹침) 큰 목표고 /
	
P0 	:아 게임 회사 /
	
P1 	:어 /
	
P0 	:아 니 결국은 그러면 게임 회사를 하고 싶은 거야? /
	
P1 	:게임 회사지 어떻게 보면은 /
	
