# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.267
metadata : {}


# id : NWRW1800000044.267.1.1
대법 “진주의료원 주민투표 막은 경남도 위법”

대법	대법/NNG
“진주의료원	“/SS+진주의료원/NNP
주민투표	주민/NNG+투표/NNG
막은	막/VV+은/ETM
경남도	경남/NNP+도/JX
위법”	위법/NNG+”/SS


# id : NWRW1800000044.267.2.1
[한겨레] 진주의료원 재개업 여부를 묻는 주민투표 추진을 막은 경상남도의 처분은 위법하다는 대법원 판결이 나왔다.

[한겨레]	[/SS+한겨레/NNP+]/SS
진주의료원	진주의료원/NNP
재개업	재/XPN+개업/NNG
여부를	여부/NNG+를/JKO
묻는	묻/VV+는/ETM
주민투표	주민/NNG+투표/NNG
추진을	추진/NNG+을/JKO
막은	막/VV+은/ETM
경상남도의	경상남도/NNP+의/JKG
처분은	처분/NNG+은/JX
위법하다는	위법/NNG+하/XSV+다는/ETM
대법원	대/XPN+법원/NNG
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.3.1
대법원 3부(주심 김신 대법관)는 24일 백아무개씨 등 4명이 “주민투표 청구인 대표자 증명서를 교부하지 않은 처분은 부당하다”며 홍준표 경남도지사를 상대로 낸 소송에서 원고 승소 판결한 원심을 확정했다.

대법원	대/XPN+법원/NNG
3부(주심	3/SN+부/NNG+(/SS+주심/NNG
김신	김신/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
24일	24/SN+일/NNB
백아무개씨	백/NNP+아무개/NP+씨/NNB
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
“주민투표	“/SS+주민/NNG+투표/NNG
청구인	청구인/NNG
대표자	대표자/NNG
증명서를	증명서/NNG+를/JKO
교부하지	교부/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
처분은	처분/NNG+은/JX
부당하다”며	부당/NNG+하/XSA+다/EF+”/SS+며/EC
홍준표	홍준표/NNP
경남도지사를	경남/NNP+도지사/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
원고	원고/NNG
승소	승소/NNG
판결한	판결/NNG+하/XSV+ㄴ/ETM
원심을	원심/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.4.1
경남도는 지난해 5월 진주의료원을 폐업시켰다.

경남도는	경남도/NNP+는/JX
지난해	지난해/NNG
5월	5/SN+월/NNB
진주의료원을	진주의료원/NNP+을/JKO
폐업시켰다.	폐업/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.267.4.2
‘진주의료원 폐업 철회 경남진주시민대책위’는 그해 7월 재개원 찬반을 묻는 주민투표를 청구하기 위해 청구인 대표자 증명서를 교부해달라고 경남도에 신청했다.

‘진주의료원	‘/SS+진주의료원/NNP
폐업	폐업/NNG
철회	철회/NNG
경남진주시민대책위’는	경남진주시민대책위/NNP+’/SS+는/JX
그해	그해/NNG
7월	7/SN+월/NNB
재개원	재/XPN+개원/NNG
찬반을	찬반/NNG+을/JKO
묻는	묻/VV+는/ETM
주민투표를	주민/NNG+투표/NNG+를/JKO
청구하기	청구/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
청구인	청구인/NNG
대표자	대표자/NNG
증명서를	증명서/NNG+를/JKO
교부해달라고	교부/NNG+하/XSV+아/EC+달/VX+라고/EC
경남도에	경남도/NNP+에/JKB
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.4.3
그러나 경남도는 “주민투표를 할 사안에 해당하지 않는다.

그러나	그러나/MAJ
경남도는	경남도/NNP+는/JX
“주민투표를	“/SS+주민/NNG+투표/NNG+를/JKO
할	하/VV+ㄹ/ETM
사안에	사안/NNG+에/JKB
해당하지	해당/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000044.267.4.4
의료원은 재개업이 불가능하다”며 이를 거부했다.

의료원은	의료원/NNG+은/JX
재개업이	재/XPN+개업/NNG+이/JKS
불가능하다”며	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+며/EC
이를	이/NP+를/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.5.1
1심은 “진주의료원은 다수 주민을 위한 공공시설이기 때문에 폐업에 관한 사항은 주민투표 대상에 해당한다.

1심은	1심/NNG+은/JX
“진주의료원은	“/SS+진주의료원/NNP+은/JX
다수	다수/NNG
주민을	주민/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공공시설이기	공공시설/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
폐업에	폐업/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항은	사항/NNG+은/JX
주민투표	주민/NNG+투표/NNG
대상에	대상/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.267.5.2
경남도가 내세우는 사유는 주민투표 추진을 막을 정당한 사유라고 볼 수 없다”며 경남도의 처분을 취소하라고 판결했다.

경남도가	경남도/NNP+가/JKS
내세우는	내세우/VV+는/ETM
사유는	사유/NNG+는/JX
주민투표	주민/NNG+투표/NNG
추진을	추진/NNG+을/JKO
막을	막/VV+을/ETM
정당한	정당하/VA+ㄴ/ETM
사유라고	사유/NNG+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
경남도의	경남도/NNP+의/JKG
처분을	처분/NNG+을/JKO
취소하라고	취소/NNG+하/XSV+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.5.3
경남도는 항소심에서는 “폐업·해산 조례에 대한 무효 소송이 진행중이므로 관련 법에 따라 재판중인 사안은 주민투표 대상이 될 수 없다”고 주장했으나 받아들여지지 않았다.

경남도는	경남도/NNP+는/JX
항소심에서는	항소심/NNG+에서/JKB+는/JX
“폐업·해산	“/SS+폐업/NNG+·/SP+해산/NNG
조례에	조례/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무효	무효/NNG
소송이	소송/NNG+이/JKS
진행중이므로	진행/NNG+중/NNB+이/VCP+므로/EC
관련	관련/NNG
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
재판중인	재판/NNG+중/NNB+이/VCP+ㄴ/ETM
사안은	사안/NNG+은/JX
주민투표	주민/NNG+투표/NNG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했으나	주장/NNG+하/XSV+았/EP+으나/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.267.6.1
대법원도 “백씨 등이 발의한 사항이 주민투표 대상이 된다는 점은 분명하다”고 판단했다.

대법원도	대/XPN+법원/NNG+도/JX
“백씨	“/SS+백/NNP+씨/NNB
등이	등/NNB+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
사항이	사항/NNG+이/JKS
주민투표	주민/NNG+투표/NNG
대상이	대상/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
점은	점/NNG+은/JX
분명하다”고	분명/MAG+하/XSA+다/EF+”/SS+고/JKQ
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.267.7.1
이번 판결에 따라 경남도는 주민투표 청구인 대표자 증명서를 교부해야 한다.

이번	이번/NNG
판결에	판결/NNG+에/JKB
따라	따르/VV+아/EC
경남도는	경남도/NNP+는/JX
주민투표	주민/NNG+투표/NNG
청구인	청구인/NNG
대표자	대표자/NNG
증명서를	증명서/NNG+를/JKO
교부해야	교부/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.267.7.2
증명서가 교부되면 경남 지역 전체 유권자의 5%인 14만여명의 서명을 받아 진주의료원 재개원 여부를 묻는 주민투표를 추진할 수 있다.

증명서가	증명서/NNG+가/JKS
교부되면	교부/NNG+되/XSV+면/EC
경남	경남/NNP
지역	지역/NNG
전체	전체/NNG
유권자의	유권자/NNG+의/JKG
5%인	5/SN+%/SW+이/VCP+ㄴ/ETM
14만여명의	14/SN+만/NR+여/XSN+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
진주의료원	진주의료원/NNP
재개원	재/XPN+개원/NNG
여부를	여부/NNG+를/JKO
묻는	묻/VV+는/ETM
주민투표를	주민/NNG+투표/NNG+를/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


