# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.268
metadata : {}


# id : NWRW1800000024.268.1.1
“뉴욕서 박연차 돈받은 사람 더 있다”

“뉴욕서	“/SS+뉴욕/NNP+서/JKB
박연차	박연차/NNP
돈받은	돈/NNG+받/XSV+은/ETM
사람	사람/NNG
더	더/MAG
있다”	있/VA+다/EF+”/SS


# id : NWRW1800000024.268.2.1
박연차(64·구속 기소) 전 태광실업 회장의 돈심부름을 한 미국 뉴욕의 음식점 주인이 정치인 10여명에게 돈을 전달했다고 법정에서 증언했다.

박연차(64·구속	박연차/NNP+(/SS+64/SN+·/SP+구속/NNG
기소)	기소/NNG+)/SS
전	전/MMD
태광실업	태광실업/NNP
회장의	회장/NNG+의/JKG
돈심부름을	돈/NNG+심부름/NNG+을/JKO
한	하/VV+ㄴ/ETM
미국	미국/NNP
뉴욕의	뉴욕/NNP+의/JKG
음식점	음식점/NNG
주인이	주인/NNG+이/JKS
정치인	정치인/NNG
10여명에게	10/SN+여/XSN+명/NNB+에게/JKB
돈을	돈/NNG+을/JKO
전달했다고	전달/NNG+하/XSV+았/EP+다고/EC
법정에서	법정/NNG+에서/JKB
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.2.2
서울중앙지법 형사합의22부(재판장 이규진) 심리로 23일 열린 서갑원(47) 민주당 의원의 공판에 증인으로 나온 미국 뉴욕의 ㄱ회관 주인 곽아무개씨는 “서 의원 외에 박 전 회장의 돈을 건넨 정치인이 10명 이상이냐”는 변호인의 심문에 “그 정도는 된다”고 답했다.

서울중앙지법	서울중앙지법/NNP
형사합의22부(재판장	형사/NNG+합의/NNG+22/SN+부/NNG+(/SS+재판장/NNG
이규진)	이규진/NNP+)/SS
심리로	심리/NNG+로/JKB
23일	23/SN+일/NNB
열린	열리/VV+ㄴ/ETM
서갑원(47)	서갑원/NNP+(/SS+47/SN+)/SS
민주당	민주당/NNP
의원의	의원/NNG+의/JKG
공판에	공판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
나온	나오/VV+ㄴ/ETM
미국	미국/NNP
뉴욕의	뉴욕/NNP+의/JKG
ㄱ회관	ㄱ/NNG+회관/NNG
주인	주인/NNG
곽아무개씨는	곽/NNP+아무개/NP+씨/NNB+는/JX
“서	“/SS+서/NNP
의원	의원/NNG
외에	외/NNB+에/JKB
박	박/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
정치인이	정치인/NNG+이/JKS
10명	10/SN+명/NNB
이상이냐”는	이상/NNG+이/VCP+냐/EF+”/SS+는/ETM
변호인의	변호인/NNG+의/JKG
심문에	심문/NNG+에/JKB
“그	“/SS+그/MMD
정도는	정도/NNG+는/JX
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.268.2.3
서 의원의 변호인은 “기소는 2명(서갑원·이광재 민주당 의원)밖에 안 됐다.

서	서/NNP
의원의	의원/NNG+의/JKG
변호인은	변호인/NNG+은/JX
“기소는	“/SS+기소/NNG+는/JX
2명(서갑원·이광재	2/SN+명/NNB+(/SS+서갑원/NNP+·/SP+이광재/NNP
민주당	민주당/NNP
의원)밖에	의원/NNG+)/SS+밖에/JX
안	안/MAG
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.268.2.4
검찰이 조사할 때 나머지 여덟 명에 대해 묻지 않았느냐”고 하자, 곽씨는 “묻지 않았다”고 진술했다.

검찰이	검찰/NNG+이/JKS
조사할	조사/NNG+하/XSV+ㄹ/ETM
때	때/NNG
나머지	나머지/NNG
여덟	여덟/NR
명에	명/NNB+에/JKB
대해	대하/VV+아/EC
묻지	묻/VV+지/EC
않았느냐”고	않/VX+았/EP+느냐/EF+”/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
