# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.18
metadata : {}


# id : NWRW1800000056.18.1.1
현대기아차 5조·롯데마트 5천억…사드보복 장기화 피해액 ‘눈덩이’

현대기아차	현대기아차/NNP
5조·롯데마트	5/SN+조/NR+·/SP+롯데마트/NNP
5천억…사드보복	5/SN+천억/NR+…/SE+사드/NNG+보복/NNG
장기화	장기/NNG+화/XSN
피해액	피해액/NNG
‘눈덩이’	‘/SS+눈덩이/NNG+’/SS


# id : NWRW1800000056.18.2.1
[한겨레] “중국, 자국산업 보호목적” 분석도

[한겨레]	[/SS+한겨레/NNP+]/SS
“중국,	“/SS+중국/NNP+,/SP
자국산업	자국/NNG+산업/NNG
보호목적”	보호/NNG+목적/NNG+”/SS
분석도	분석/NNG+도/JX


# id : NWRW1800000056.18.3.1
경제계, 오늘 한·중 정상회담 주목

경제계,	경제/NNG+계/XSN+,/SP
오늘	오늘/NNG
한·중	한·중/NNP
정상회담	정상/NNG+회담/NNG
주목	주목/NNG


# id : NWRW1800000056.18.4.1
미국의 사드(고고도미사일방어체계) 한국 배치에 대한 중국의 경제보복이 새 정부 출범에도 장기화 국면으로 빠져들면서 한국 기업들의 피해가 눈덩이처럼 불어나고 있다.

미국의	미국/NNP+의/JKG
사드(고고도미사일방어체계)	사드/NNG+(/SS+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
한국	한국/NNP
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
경제보복이	경제/NNG+보복/NNG+이/JKS
새	새/MMA
정부	정부/NNG
출범에도	출범/NNG+에/JKB+도/JX
장기화	장기/NNG+화/XSN
국면으로	국면/NNG+으로/JKB
빠져들면서	빠져들/VV+면서/EC
기업들의	기업/NNG+들/XSN+의/JKG
피해가	피해/NNG+가/JKS
눈덩이처럼	눈덩이/NNG+처럼/JKB
불어나고	불어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.18.4.2
경제계는 문재인 대통령이 6일 독일 베를린에서 열리는 한-중 정상회담에서 현 갈등 국면을 타개할 매듭을 찾아낼 수 있을지 주목하고 있다.

경제계는	경제/NNG+계/XSN+는/JX
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
6일	6/SN+일/NNB
독일	독일/NNP
베를린에서	베를린/NNP+에서/JKB
열리는	열리/VV+는/ETM
한-중	한-중/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
현	현/MMD
갈등	갈등/NNG
국면을	국면/NNG+을/JKO
타개할	타개/NNG+하/XSV+ㄹ/ETM
매듭을	매듭/NNG+을/JKO
찾아낼	찾아내/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.18.5.1
5일 <한겨레>가 중국 진출 주요 기업들의 피해액을 집계한 결과, 매출 피해액이 올 상반기에만 수조원대에 이르는 것으로 나타났다.

5일	5/SN+일/NNB
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
중국	중국/NNP
진출	진출/NNG
주요	주요/NNG
기업들의	기업/NNG+들/XSN+의/JKG
피해액을	피해액/NNG+을/JKO
집계한	집계/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
매출	매출/NNG
피해액이	피해액/NNG+이/JKS
올	올/NNG
상반기에만	상반기/NNG+에/JKB+만/JX
수조원대에	수조/NR+원/NNB+대/XSN+에/JKB
