# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.57
metadata : {}


# id : NWRW1800000049.57.1.1
‘트럼프 性추행’ 폭로전에 정책검증 사라진 美대선

‘트럼프	‘/SS+트럼프/NNP
性추행’	性/SH+추행/NNG+’/SS
폭로전에	폭로전/NNG+에/JKB
정책검증	정책/NNG+검증/NNG
사라진	사라지/VV+ㄴ/ETM
美대선	美/SH+대선/NNG


# id : NWRW1800000049.57.2.1
NYT, 피해여성 2명 증언 보도 “비행기 옆좌석서 몸 더듬어” 트럼프 “절대 사실 아니다” 항의 美신문-방송, 성추문 기사로 ‘도배’

NYT,	NYT/SL+,/SP
피해여성	피해/NNG+여성/NNG
2명	2/SN+명/NNB
증언	증언/NNG
보도	보도/NNG
“비행기	“/SS+비행기/NNG
옆좌석서	옆/NNG+좌석/NNG+서/JKB
몸	몸/NNG
더듬어”	더듬/VV+어/EF+”/SS
트럼프	트럼프/NNP
“절대	“/SS+절대/MAG
사실	사실/NNG
아니다”	아니/VCN+다/EF+”/SS
항의	항의/NNG
美신문-방송,	美/SH+신문/NNG+-/SO+방송/NNG+,/SP
성추문	성/NNG+추문/NNG
기사로	기사/NNG+로/JKB
‘도배’	‘/SS+도배/NNG+’/SS


# id : NWRW1800000049.57.3.1
미국인 제시카 리즈(74)는 36년 전 뉴욕행 비행기 안에서 이코노미석에서 일등석으로 자리가 업그레이드되는 행운을 잡았지만 기쁨은 잠시뿐이었다.

미국인	미국인/NNG
제시카	제시카/NNP
리즈(74)는	리즈/NNP+(/SS+74/SN+)/SS+는/JX
36년	36/SN+년/NNB
전	전/NNG
뉴욕행	뉴욕행/NNG
비행기	비행기/NNG
안에서	안/NNG+에서/JKB
이코노미석에서	이코노미석/NNG+에서/JKB
일등석으로	일등석/NNG+으로/JKB
자리가	자리/NNG+가/JKS
업그레이드되는	업그레이드/NNG+되/XSV+는/ETM
행운을	행운/NNG+을/JKO
잡았지만	잡/VV+았/EP+지만/EC
기쁨은	기쁨/NNG+은/JX
잠시뿐이었다.	잠시/NNG+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.57.3.2
옆자리에 앉은 도널드 트럼프(70·현 공화당 대선 후보)가 이륙 후 45분이 지났을 때 좌석 팔걸이를 젖히더니 가슴을 만지고 스커트 속에 손을 집어넣으려 했다는 것이다.

옆자리에	옆자리/NNG+에/JKB
앉은	앉/VV+은/ETM
도널드	도널드/NNP
트럼프(70·현	트럼프/NNP+(/SS+70/SN+·/SP+현/MMD
공화당	공화당/NNP
대선	대선/NNG
후보)가	후보/NNG+)/SS+가/JKS
이륙	이륙/NNG
후	후/NNG
45분이	45/SN+분/NNB+이/JKS
지났을	지나/VV+았/EP+을/ETM
때	때/NNG
좌석	좌석/NNG
팔걸이를	팔걸이/NNG+를/JKO
젖히더니	젖히/VV+더니/EC
가슴을	가슴/NNG+을/JKO
만지고	만지/VV+고/EC
스커트	스커트/NNG
속에	속/NNG+에/JKB
손을	손/NNG+을/JKO
집어넣으려	집어넣/VV+으려/EC
했다는	하/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.57.3.3
놀란 그가 비행기 뒤편 좌석으로 옮기고서야 추행은 멈췄다.

놀란	놀라/VV+ㄴ/ETM
그가	그/NP+가/JKS
비행기	비행기/NNG
뒤편	뒤편/NNG
좌석으로	좌석/NNG+으로/JKB
옮기고서야	옮기/VV+고서/EC+야/JX
추행은	추행/NNG+은/JX
멈췄다.	멈추/VV+었/EP+다/EF+./SF


