# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.234
metadata : {}


# id : NWRW1800000037.234.1.1
유도계 대부 vs 첫 여성후보… 체육회장 선거 후보등록

유도계	유도/NNG+계/XSN
대부	대부/NNG
vs	vs/SL
첫	첫/MMN
여성후보…	여성/NNG+후보/NNG+…/SE
체육회장	체육회장/NNG
선거	선거/NNG
후보등록	후보/NNG+등록/NNG


# id : NWRW1800000037.234.2.1
김정행-이에리사 맞대결

김정행-이에리사	김정행/NNP+-/SO+이에리사/NNP
맞대결	맞대결/NNG


# id : NWRW1800000037.234.3.1
‘3수생의 역전승이냐, 최초의 여성 수장이냐.’

‘3수생의	‘/SS+3수/NNG+생/XSN+의/JKG
역전승이냐,	역전승/NNG+이/VCP+냐/EF+,/SP
최초의	최초/NNG+의/JKG
여성	여성/NNG
수장이냐.’	수장/NNG+이/VCP+냐/EF+./SF+’/SS


# id : NWRW1800000037.234.4.1
대한체육회장에 세 번째 도전장을 내 김정행 용인대 총장(70)과 사상 첫 여성 체육회장을 꿈꾸는 이에리사 새누리당 의원(59)이 7일 제38대 대한체육회장 후보로 등록했다.

대한체육회장에	대한체육회장/NNG+에/JKB
세	세/MMN
번째	번/NNB+째/XSN
도전장을	도전장/NNG+을/JKO
내	내/VV+어/EC
김정행	김정행/NNP
용인대	용인대/NNP
총장(70)과	총장/NNG+(/SS+70/SN+)/SS+과/JC
사상	사상/NNG
첫	첫/MMN
여성	여성/NNG
체육회장을	체육회장/NNG+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
이에리사	이에리사/NNP
새누리당	새누리당/NNP
의원(59)이	의원/NNG+(/SS+59/SN+)/SS+이/JKS
7일	7/SN+일/NNB
제38대	제/XPN+38/SN+대/NNB
대한체육회장	대한체육회장/NNG
후보로	후보/NNG+로/JKB
등록했다.	등록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.234.4.2
출마를 준비하던 이연택 전 대한체육회장은 이날 마감시간을 2분 넘겨 등록서류를 제출하는 바람에 후보 등록을 하지 못했다.

출마를	출마/NNG+를/JKO
준비하던	준비/NNG+하/XSV+던/ETM
이연택	이연택/NNP
전	전/MMD
대한체육회장은	대한체육회장/NNG+은/JX
이날	이날/NNG
마감시간을	마감/NNG+시간/NNG+을/JKO
2분	2/SN+분/NNB
넘겨	넘기/VV+어/EC
등록서류를	등록/NNG+서류/NNG+를/JKO
제출하는	제출/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
후보	후보/NNG
