# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.188
metadata : {}


# id : NWRW1800000037.188.1.1
[시동 꺼! 반칙운전/2부]“스쿨존 등굣길은 살벌한 전쟁터”

[시동	[/SS+시동/NNG
꺼!	끄/VV+어/EF+!/SF
반칙운전/2부]“스쿨존	반칙/NNG+운전/NNG+//SP+2/SN+부/NNB+]/SS+“/SS+스쿨존/NNG
등굣길은	등굣길/NNG+은/JX
살벌한	살벌/NNG+하/XSA+ㄴ/ETM
전쟁터”	전쟁터/NNG+”/SS


# id : NWRW1800000037.188.2.1
제한속도 30km도 아이들엔 위험

제한속도	제한/NNG+속도/NNG
30km도	30/SN+km/SW+도/JX
아이들엔	아이/NNG+들/XSN+에/JKB+ㄴ/JX
위험	위험/NNG


# id : NWRW1800000037.188.3.1
눈이 쏟아질수록, 혹은 여름 폭우가 쏟아질수록 자리를 지켜야 한다.

눈이	눈/NNG+이/JKS
쏟아질수록,	쏟아지/VV+ㄹ수록/EC+,/SP
혹은	혹은/MAG
여름	여름/NNG
폭우가	폭우/NNG+가/JKS
쏟아질수록	쏟아지/VV+ㄹ수록/EC
자리를	자리/NNG+를/JKO
지켜야	지키/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.188.3.2
돈을 받고 하는 일이라면 하루 이틀 빠질 법도 하다.

돈을	돈/NNG+을/JKO
받고	받/VV+고/EC
하는	하/VV+는/ETM
일이라면	일/NNG+이/VCP+라면/EC
하루	하루/NNG
이틀	이틀/NNG
빠질	빠지/VV+ㄹ/ETM
법도	법/NNB+도/JX
하다.	하/VV+다/EF+./SF


# id : NWRW1800000037.188.3.3
하지만 보수도 휴일도 없다.

하지만	하지만/MAJ
보수도	보수/NNG+도/JX
휴일도	휴일/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.188.3.4
아이들을 지키겠다는 엄마의 마음이 없다면 좀처럼 해내기 힘든 일이다.

아이들을	아이/NNG+들/XSN+을/JKO
지키겠다는	지키/VV+겠/EP+다는/ETM
엄마의	엄마/NNG+의/JKG
마음이	마음/NNG+이/JKS
없다면	없/VA+다면/EC
좀처럼	좀처럼/MAG
해내기	해내/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.3.5
궂은 날일수록 노란 깃발 옆으로 안전하게 길을 건넌 아이들이 “고맙습니다”라고 한마디 건네면 환하게 웃는 이들은 녹색어머니다.

궂은	궂/VA+은/ETM
날일수록	날/NNG+이/VCP+ㄹ수록/EC
노란	노랗/VA+ㄴ/ETM
깃발	깃발/NNG
옆으로	옆/NNG+으로/JKB
안전하게	안전/NNG+하/XSA+게/EC
길을	길/NNG+을/JKO
건넌	건너/VV+ㄴ/ETM
아이들이	아이/NNG+들/XSN+이/JKS
“고맙습니다”라고	“/SS+고맙/VA+습니다/EF+”/SS+라고/JKQ
한마디	한마디/NNG
건네면	건네/VV+면/EC
환하게	환하/VA+게/EC
웃는	웃/VV+는/ETM
이들은	이/NNB+들/XSN+은/JX
녹색어머니다.	녹색/NNG+어머니/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.4.1
녹색어머니회는 지난해 11월 25일 45번째 생일을 맞았다.

녹색어머니회는	녹색어머니회/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
25일	25/SN+일/NNB
45번째	45/SN+번/NNB+째/XSN
생일을	생일/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.4.2
전국에서 약 52만 명이 활동하고 있다.

전국에서	전국/NNG+에서/JKB
약	약/MMA
52만	52/SN+만/NR
명이	명/NNB+이/JKS
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.188.4.3
초등생 등하굣길 교통지도를 비롯해 교통사고 피해 아동 돕기, 안전운전 캠페인 등 학교 앞 반칙운전을 막기 위한 활동이 이들의 주 임무다.

초등생	초등/NNG+생/XSN
등하굣길	등하굣길/NNG
교통지도를	교통/NNG+지도/NNG+를/JKO
비롯해	비롯하/VV+아/EC
교통사고	교통사고/NNG
피해	피해/NNG
아동	아동/NNG
돕기,	돕/VV+기/ETN+,/SP
안전운전	안전/NNG+운전/NNG
캠페인	캠페인/NNG
등	등/NNB
학교	학교/NNG
앞	앞/NNG
반칙운전을	반칙/NNG+운전/NNG+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
활동이	활동/NNG+이/JKS
이들의	이/NP+들/XSN+의/JKG
주	주/MMA
임무다.	임무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.4.4
지난달 29일 서울녹색어머니회 회원들을 인터뷰했다.

지난달	지난달/NNG
29일	29/SN+일/NNB
서울녹색어머니회	서울녹색어머니회/NNP
회원들을	회원/NNG+들/XSN+을/JKO
인터뷰했다.	인터뷰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.5.1
녹색어머니들이 본 스쿨존은 ‘전쟁터’다.

녹색어머니들이	녹색/NNG+어머니/NNG+들/XSN+이/JKS
본	보/VV+ㄴ/ETM
스쿨존은	스쿨존/NNG+은/JX
‘전쟁터’다.	‘/SS+전쟁터/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.5.2
올해 7년째 활동 중인 김영례 씨(45·서울녹색어머니회장)는 제한속도(시속 30km)가 너무 빠르다고 분통을 터뜨렸다.

올해	올해/NNG
7년째	7/SN+년/NNB+째/XSN
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김영례	김영례/NNP
씨(45·서울녹색어머니회장)는	씨/NNB+(/SS+45/SN+·/SP+서울녹색어머니회장/NNG+)/SS+는/JX
제한속도(시속	제한/NNG+속도/NNG+(/SS+시속/NNG
30km)가	30/SN+km/SW+)/SS+가/JKS
너무	너무/MAG
빠르다고	빠르/VA+다고/EC
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.188.5.3
교통지도 중에 휙 하고 지나가는 남편 차량을 보고 따졌더니 “그게 시속 30km였는데…”라는 답이 돌아왔다.

교통지도	교통/NNG+지도/NNG
중에	중/NNB+에/JKB
휙	휙/MAG
하고	하/VV+고/EC
지나가는	지나가/VV+는/ETM
남편	남편/NNG
차량을	차량/NNG+을/JKO
보고	보/VV+고/EC
따졌더니	따지/VV+었/EP+더니/EC
“그게	“/SS+그거/NP+이/JKS
시속	시속/NNG
30km였는데…”라는	30/SN+km/SW+이/VCP+었/EP+는데/EC+…/SE+”/SS+이/VCP+라는/ETM
답이	답/NNG+이/JKS
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.5.4
느리게만 보였던 숫자가 실제로는 얼마나 위협적인지 실감했다.

느리게만	느리/VA+게/EC+만/JX
보였던	보이/VV+었/EP+던/ETM
숫자가	숫자/NNG+가/JKS
실제로는	실제로/MAG+는/JX
얼마나	얼마나/MAG
위협적인지	위협/NNG+적/XSN+이/VCP+ㄴ지/EC
실감했다.	실감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.5.5
김 씨는 “아이들에게 시속 30km는 살인적인 속도”라고 지적했다.

김	김/NNP
씨는	씨/NNB+는/JX
“아이들에게	“/SS+아이/NNG+들/XSN+에게/JKB
시속	시속/NNG
30km는	30/SN+km/SW+는/JX
살인적인	살인/NNG+적/XSN+이/VCP+ㄴ/ETM
속도”라고	속도/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.6.1
불법 주차도 아이들에겐 위험 요소다.

불법	불법/NNG
주차도	주차/NNG+도/JX
아이들에겐	아이/NNG+들/XSN+에게/JKB+ㄴ/JX
위험	위험/NNG
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.6.2
올해 녹색어머니 활동 9년째인 권혜영 씨(43·서울녹색어머니회 부회장)는 인도와 도로에 걸쳐 ‘개구리 주차’된 차들을 볼 때마다 분통이 터진다.

올해	올해/NNG
녹색어머니	녹색/NNG+어머니/NNG
활동	활동/NNG
9년째인	9/SN+년/NNB+째/XSN+이/VCP+ㄴ/ETM
권혜영	권혜영/NNP
씨(43·서울녹색어머니회	씨/NNB+(/SS+43/SN+·/SP+서울녹색어머니회/NNP
부회장)는	부회장/NNG+)/SS+는/JX
인도와	인도/NNG+와/JC
도로에	도로/NNG+에/JKB
걸쳐	걸치/VV+어/EC
‘개구리	‘/SS+개구리/NNG
주차’된	주차/NNG+’/SS+되/XSV+ㄴ/ETM
차들을	차/NNG+들/XSN+을/JKO
볼	보/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
분통이	분통/NNG+이/JKS
터진다.	터지/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.188.6.3
인도의 반을 차지한 차들을 피해 아이들은 차도로 내려온다.

인도의	인도/NNG+의/JKG
반을	반/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
차들을	차/NNG+들/XSN+을/JKO
피해	피하/VV+아/EC
아이들은	아이/NNG+들/XSN+은/JX
차도로	차도/NNG+로/JKB
내려온다.	내려오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.188.6.4
쌩쌩 달리는 차와 불법 주차된 차 사이로 인도와 차도를 오가는 아이들.

쌩쌩	쌩쌩/MAG
달리는	달리/VV+는/ETM
차와	차/NNG+와/JC
불법	불법/NNG
주차된	주차/NNG+되/XSV+ㄴ/ETM
차	차/NNG
사이로	사이/NNG+로/JKB
인도와	인도/NNG+와/JC
차도를	차도/NNG+를/JKO
오가는	오가/VV+는/ETM
아이들.	아이/NNG+들/XSN+./SF


# id : NWRW1800000037.188.6.5
권 씨는 이런 장면을 볼 때면 잠시 차도를 막아선 채 아이들이 안전하게 등교하도록 돕는다.

권	권/NNP
씨는	씨/NNB+는/JX
이런	이런/MMD
장면을	장면/NNG+을/JKO
볼	보/VV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
잠시	잠시/MAG
차도를	차도/NNG+를/JKO
막아선	막아서/VV+ㄴ/ETM
채	채/NNB
아이들이	아이/NNG+들/XSN+이/JKS
안전하게	안전/NNG+하/XSA+게/EC
등교하도록	등교/NNG+하/XSV+도록/EC
돕는다.	돕/VV+는다/EF+./SF


# id : NWRW1800000037.188.7.1
6년째 활동 중인 오현경 씨(43·서울녹색어머니회 부회장)는 자녀 학교 바로 옆에 왕복 12차로 대형 도로가 있어 육교 설치를 여러 번 건의했다.

6년째	6/SN+년/NNB+째/XSN
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
오현경	오현경/NNP
씨(43·서울녹색어머니회	씨/NNB+(/SS+43/SN+·/SP+서울녹색어머니회/NNP
부회장)는	부회장/NNG+)/SS+는/JX
자녀	자녀/NNG
학교	학교/NNG
바로	바로/MAG
옆에	옆/NNG+에/JKB
왕복	왕복/NNG
12차로	12/SN+차로/NNG
대형	대형/NNG
도로가	도로/NNG+가/JKS
있어	있/VA+어/EC
육교	육교/NNG
설치를	설치/NNG+를/JKO
여러	여러/MMN
번	번/NNB
건의했다.	건의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.7.2
하지만 구청 담당자는 “육교가 사라지는 추세라 없애기는 해도 새로 짓지는 않는다”라는 대답만 되풀이했다.

하지만	하지만/MAJ
구청	구청/NNG
담당자는	담당자/NNG+는/JX
“육교가	“/SS+육교/NNG+가/JKS
사라지는	사라지/VV+는/ETM
추세라	추세/NNG+이/VCP+라/EC
없애기는	없애/VV+기/ETN+는/JX
해도	하/VX+아도/EC
새로	새로/MAG
짓지는	짓/VV+지/EC+는/JX
않는다”라는	않/VX+는다/EF+”/SS+이/VCP+라는/ETM
대답만	대답/NNG+만/JX
되풀이했다.	되풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.7.3
단속카메라를 설치해 달라고 거듭 요청한 끝에 1대를 설치했지만 그마저 실제 단속이 필요한 지점이 아닌 한가한 곳에 설치됐다.

단속카메라를	단속/NNG+카메라/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
거듭	거듭/MAG
요청한	요청/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
1대를	1/SN+대/NNB+를/JKO
설치했지만	설치/NNG+하/XSV+았/EP+지만/EC
그마저	그/NP+마저/JX
실제	실제/NNG
단속이	단속/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
지점이	지점/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
한가한	한가하/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
설치됐다.	설치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.188.8.1
녹색어머니들은 운전자들의 편견과 무시에 상처받기도 한다.

녹색어머니들은	녹색/NNG+어머니/NNG+들/XSN+은/JX
운전자들의	운전자/NNG+들/XSN+의/JKG
편견과	편견/NNG+과/JC
무시에	무시/NNG+에/JKB
상처받기도	상처/NNG+받/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.188.8.2
“이거 하면 얼마 받아요?”라고 묻는 운전자도 있다.

“이거	“/SS+이거/NP
하면	하/VV+면/EC
얼마	얼마/NNG
받아요?”라고	받/VV+아요/EF+?/SF+”/SS+라고/JKQ
묻는	묻/VV+는/ETM
운전자도	운전자/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.188.8.3
돈을 받지 않는다고, 봉사라고 말해도 “그럴 리가 있나.

돈을	돈/NNG+을/JKO
받지	받/VV+지/EC
않는다고,	않/VX+는다고/EC+,/SP
봉사라고	봉사/NNG+이/VCP+라고/EC
말해도	말/NNG+하/XSV+아도/EC
“그럴	“/SS+그렇/VA+ㄹ/ETM
리가	리/NNB+가/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000037.188.8.4
유니폼도 입었구먼”이라며 비아냥대기도 한다.

유니폼도	유니폼/NNG+도/JX
입었구먼”이라며	입/VV+었/EP+구먼/EF+”/SS+이/VCP+라며/EC
비아냥대기도	비아냥대/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.188.8.5
서울시에서 매년 약 1500만 원이 지원되지만 이들에게 지급되는 돈은 한 푼도 없다.

서울시에서	서울시/NNP+에서/JKB
매년	매년/MAG
약	약/MMA
1500만	1500/SN+만/NR
원이	원/NNB+이/JKS
지원되지만	지원/NNG+되/XSV+지만/EC
이들에게	이/NP+들/XSN+에게/JKB
지급되는	지급/NNG+되/XSV+는/ETM
돈은	돈/NNG+은/JX
한	한/MMN
푼도	푼/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.188.8.6
모두 깃발과 어깨띠 구입 등에 쓰인다.

모두	모두/MAG
깃발과	깃발/NNG+과/JC
어깨띠	어깨띠/NNG
구입	구입/NNG
등에	등/NNB+에/JKB
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.188.8.7
앞으로 내민 깃발을 그냥 치고 가는 운전자도 있다고 한다.

앞으로	앞/NNG+으로/JKB
내민	내밀/VV+ㄴ/ETM
깃발을	깃발/NNG+을/JKO
그냥	그냥/MAG
치고	치/VV+고/EC
가는	가/VV+는/ETM
운전자도	운전자/NNG+도/JX
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.188.9.1
어려움이 많지만 이들의 힘으로 학교 주변은 조금씩 바뀌고 있다.

어려움이	어려움/NNG+이/JKS
많지만	많/VA+지만/EC
이들의	이/NP+들/XSN+의/JKG
힘으로	힘/NNG+으로/JKB
학교	학교/NNG
주변은	주변/NNG+은/JX
조금씩	조금/NNG+씩/XSN
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.188.9.2
올해 6년째 활동 중인 우동숙 씨(43·서울녹색어머니회 감사)는 경찰에 거듭 요청한 끝에 학교 주변 일부 도로를 등하교 시간에는 일방통행으로 운영하도록 바꾸게 했다.

올해	올해/NNG
6년째	6/SN+년/NNB+째/XSN
활동	활동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
우동숙	우동숙/NNP
씨(43·서울녹색어머니회	씨/NNB+(/SS+43/SN+·/SP+서울녹색어머니회/NNP
감사)는	감사/NNG+)/SS+는/JX
경찰에	경찰/NNG+에/JKB
거듭	거듭/MAG
요청한	요청/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
학교	학교/NNG
주변	주변/NNG
일부	일부/NNG
도로를	도로/NNG+를/JKO
등하교	등하교/NNG
시간에는	시간/NNG+에/JKB+는/JX
일방통행으로	일방통행/NNG+으로/JKB
운영하도록	운영/NNG+하/XSV+도록/EC
바꾸게	바꾸/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.188.10.1
이들은 동아일보의 ‘시동 꺼! 반칙운전’ 시리즈가 큰 힘이 된다고 했다.

이들은	이/NP+들/XSN+은/JX
동아일보의	동아일보/NNP+의/JKG
‘시동	‘/SS+시동/NNG
꺼!	끄/VV+어/EF+!/SF
반칙운전’	반칙/NNG+운전/NNG+’/SS
시리즈가	시리즈/NNG+가/JKS
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
된다고	되/VV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.188.10.2
김영례 씨는 “교통안전에 이렇게 관심을 가져 주는 언론은 지금까지 동아일보가 처음”이라며 “기사 한 건이 녹색어머니 100명의 역할을 하는 셈이다.

김영례	김영례/NNP
씨는	씨/NNB+는/JX
“교통안전에	“/SS+교통안전/NNG+에/JKB
이렇게	이렇/VA+게/EC
관심을	관심/NNG+을/JKO
가져	가지/VV+어/EC
주는	주/VX+는/ETM
언론은	언론/NNG+은/JX
지금까지	지금/NNG+까지/JX
동아일보가	동아일보/NNP+가/JKS
처음”이라며	처음/NNG+”/SS+이/VCP+라며/EC
“기사	“/SS+기사/NNG
한	한/MMN
건이	건/NNB+이/JKS
녹색어머니	녹색/NNG+어머니/NNG
100명의	100/SN+명/NNB+의/JKG
역할을	역할/NNG+을/JKO
하는	하/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.188.10.3
모든 운전자가 ‘시동 꺼! 반칙운전’을 읽고 아이들을 배려하는 운전을 했으면 좋겠다”라고 말했다.

모든	모든/MMN
운전자가	운전자/NNG+가/JKS
‘시동	‘/SS+시동/NNG
꺼!	끄/VV+어/EF+!/SF
반칙운전’을	반칙/NNG+운전/NNG+’/SS+을/JKO
읽고	읽/VV+고/EC
아이들을	아이/NNG+들/XSN+을/JKO
배려하는	배려/NNG+하/XSV+는/ETM
운전을	운전/NNG+을/JKO
했으면	하/VV+았/EP+으면/EC
좋겠다”라고	좋/VA+겠/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


