# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.156
metadata : {}


# id : NWRW1800000029.156.1.1
입 닥쳐!… 佛 사르코지 대통령, 英 캐머런 총리에 막말 파문

입	입/NNG
닥쳐!…	닥치/VV+어/EF+!/SF+…/SE
佛	佛/SH
사르코지	사르코지/NNP
대통령,	대통령/NNG+,/SP
英	英/SH
캐머런	캐머런/NNP
총리에	총리/NNG+에/JKB
막말	막말/NNG
파문	파문/NNG


# id : NWRW1800000029.156.2.1
EU정상회의서…“유로 싫어한다면서 간섭 지겹다”

EU정상회의서…“유로	EU/SL+정상/NNG+회의/NNG+서/JKB+…/SE+“/SS+유로/NNG
싫어한다면서	싫어하/VV+ㄴ다면서/EC
간섭	간섭/NNG
지겹다”	지겹/VA+다/EF+”/SS


# id : NWRW1800000029.156.3.1
“닥쳐(Shut up)!”

“닥쳐(Shut	“/SS+닥치/VV+어/EF+(/SS+Shut/SL
up)!”	up/SL+)/SS+!/SF+”/SS


# id : NWRW1800000029.156.4.1
니콜라 사르코지 프랑스 대통령이 23일 벨기에 브뤼셀에서 열린 유럽연합(EU) 정상회의 도중 데이비드 캐머런 영국 총리에게 무례한 표현을 해 파문이 일고 있다고 텔레그래프 등 영국 언론이 24일 일제히 보도했다.

니콜라	니콜라/NNP
사르코지	사르코지/NNP
프랑스	프랑스/NNP
대통령이	대통령/NNG+이/JKS
23일	23/SN+일/NNB
벨기에	벨기에/NNP
브뤼셀에서	브뤼셀/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
정상회의	정상/NNG+회의/NNG
도중	도중/NNG
데이비드	데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리에게	총리/NNG+에게/JKB
무례한	무례/NNG+하/XSA+ㄴ/ETM
표현을	표현/NNG+을/JKO
해	하/VV+아/EC
파문이	파문/NNG+이/JKS
일고	일/VV+고/EC
있다고	있/VX+다고/EC
텔레그래프	텔레그래프/NNP
등	등/NNB
언론이	언론/NNG+이/JKS
24일	24/SN+일/NNB
일제히	일제히/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.156.5.1
회의에 참석한 EU 관리들에 따르면 사르코지 대통령은 캐머런 총리가 유럽 단일 화폐에 대해 이러쿵저러쿵하는 것에 대해 인내심을 잃고 “닥쳐”라고 한 뒤 “당신이 우리(유로존 국가)를 비판하고 이래라저래라 하는 말 지겹다”고 했다는 것.

회의에	회의/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
EU	EU/SL
관리들에	관리/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
캐머런	캐머런/NNP
총리가	총리/NNG+가/JKS
유럽	유럽/NNP
단일	단일/NNG
화폐에	화폐/NNG+에/JKB
대해	대하/VV+아/EC
이러쿵저러쿵하는	이러쿵저러쿵/MAG+하/XSV+는/ETM
것에	것/NNB+에/JKB
인내심을	인내심/NNG+을/JKO
잃고	잃/VV+고/EC
“닥쳐”라고	“/SS+닥치/VV+어/EF+”/SS+라고/JKQ
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
“당신이	“/SS+당신/NP+이/JKS
우리(유로존	우리/NP+(/SS+유로존/NNG
국가)를	국가/NNG+)/SS+를/JKO
비판하고	비판/NNG+하/XSV+고/EC
이래라저래라	이러/VV+어라/EF+저러/VV+어라/EF
하는	하/VV+는/ETM
말	말/NNG
지겹다”고	지겹/VA+다/EF+”/SS+고/JKQ
했다는	하/VV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.156.5.2
그는 또 “당신은 유로를 싫어한다고 말하고 이제는 우리의 모임에 간섭하기를 원하는 거냐”고 물었다.

그는	그/NP+는/JX
또	또/MAG
“당신은	“/SS+당신/NP+은/JX
유로를	유로/NNG+를/JKO
싫어한다고	싫어하/VV+ㄴ다고/EC
말하고	말/NNG+하/XSV+고/EC
이제는	이제/NNG+는/JX
우리의	우리/NP+의/JKG
모임에	모임/NNG+에/JKB
간섭하기를	간섭/NNG+하/XSV+기/ETN+를/JKO
원하는	원/NNG+하/XSV+는/ETM
거냐”고	거/NNB+이/VCP+냐/EF+”/SS+고/JKQ
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.156.6.1
이에 대해 캐머런 총리가 어떤 반응을 보였는지는 알려지지 않았다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
캐머런	캐머런/NNP
총리가	총리/NNG+가/JKS
어떤	어떤/MMD
반응을	반응/NNG+을/JKO
보였는지는	보이/VV+었/EP+는지/EC+는/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.156.7.1
사르코지 대통령은 앙겔라 메르켈 독일 총리와 유럽재정안정기금(EFSF) 재원 확충 방안 등을 놓고 대립하고 있는 가운데 영국 총리와도 충돌한 것이다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리와	총리/NNG+와/JC
유럽재정안정기금(EFSF)	유럽재정안정기금/NNP+(/SS+EFSF/SL+)/SS
재원	재원/NNG
확충	확충/NNG
방안	방안/NNG
등을	등/NNB+을/JKO
놓고	놓/VV+고/EC
대립하고	대립/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
영국	영국/NNP
총리와도	총리/NNG+와/JKB+도/JX
충돌한	충돌/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.156.8.1
사르코지 대통령은 특히 26일 열리는 정상회의 대상을 EU 27개국으로 할지, 유로존 사용국(17개국)으로 국한할지를 놓고 캐머런 총리와 갈등을 빚고 있다.

사르코지	사르코지/NNP
대통령은	대통령/NNG+은/JX
특히	특히/MAG
26일	26/SN+일/NNB
열리는	열리/VV+는/ETM
정상회의	정상/NNG+회의/NNG
대상을	대상/NNG+을/JKO
EU	EU/SL
27개국으로	27/SN+개국/NNB+으로/JKB
할지,	하/VV+ㄹ지/EC+,/SP
유로존	유로존/NNG
사용국(17개국)으로	사용국/NNG+(/SS+17/SN+개국/NNB+)/SS+으로/JKB
국한할지를	국한/NNG+하/XSV+ㄹ지/EC+를/JKO
놓고	놓/VV+고/EC
캐머런	캐머런/NNP
총리와	총리/NNG+와/JC
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.156.9.1
