# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.285
metadata : {}


# id : NWRW1800000040.285.1.1
“스파이가 전술 전달” “이번에도 고춧가루”

“스파이가	“/SS+스파이/NNG+가/JKS
전술	전술/NNG
전달”	전달/NNG+”/SS
“이번에도	“/SS+이번/NNG+에/JKB+도/JX
고춧가루”	고춧가루/NNG+”/SS


# id : NWRW1800000040.285.2.1
핸드볼 코리아리그 7일 개막

핸드볼	핸드볼/NNG
코리아리그	코리아/NNP+리그/NNG
7일	7/SN+일/NNB
개막	개막/NNG


# id : NWRW1800000040.285.3.1
남자부 두산은 ‘공공의 적’이었다.

남자부	남자부/NNG
두산은	두산/NNP+은/JX
‘공공의	‘/SS+공공/NNG+의/JKG
적’이었다.	적/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.285.3.2
다른 팀 감독들은 ‘타도 두산’을 외쳤다.

다른	다른/MMD
팀	팀/NNG
감독들은	감독/NNG+들/XSN+은/JX
‘타도	‘/SS+타도/NNG
두산’을	두산/NNP+’/SS+을/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.285.3.3
전력이 평준화한 여자부 감독들은 몸을 낮추고 칼을 숨겼다.

전력이	전력/NNG+이/JKS
평준화한	평준/NNG+화/XSN+하/XSV+ㄴ/ETM
여자부	여자부/NNG
감독들은	감독/NNG+들/XSN+은/JX
몸을	몸/NNG+을/JKO
낮추고	낮추/VV+고/EC
칼을	칼/NNG+을/JKO
숨겼다.	숨기/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.285.4.1
2013 에스케이(SK) 코리아핸드볼리그 개막을 하루 앞둔 6일 서울 방이동 올림픽파크텔에서 열린 미디어데이.

2013	2013/SN
에스케이(SK)	에스케이/NNP+(/SS+SK/SL+)/SS
코리아핸드볼리그	코리아/NNP+핸드볼/NNG+리그/NNG
개막을	개막/NNG+을/JKO
하루	하루/NNG
앞둔	앞두/VV+ㄴ/ETM
6일	6/SN+일/NNB
서울	서울/NNP
방이동	방이동/NNP
올림픽파크텔에서	올림픽파크텔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미디어데이.	미디어데이/NNG+./SF


# id : NWRW1800000040.285.4.2
