# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.194
metadata : {}


# id : NWRW1800000054.194.1.1
이별 통보한 연예인 여친에 "사생활 폭로" 협박, 돈 뜯어낸 커피업체 대표

이별	이별/NNG
통보한	통보/NNG+하/XSV+ㄴ/ETM
연예인	연예인/NNG
여친에	여친/NNG+에/JKB
"사생활	"/SS+사생활/NNG
폭로"	폭로/NNG+"/SS
협박,	협박/NNG+,/SP
돈	돈/NNG
뜯어낸	뜯어내/VV+ㄴ/ETM
커피업체	커피/NNG+업체/NNG
대표	대표/NNG


# id : NWRW1800000054.194.2.1
서울중앙지검 조사1부(부장 이진동)는 교제하던 여자 연예인이 헤어지자고 하자 사생활을 폭로하겠다고 협박해 1억6000만원과 시계, 귀금속 등을 빼앗은 혐의(공갈)로 커피 프랜차이즈 업체 대표 손모(48)씨를 재판에 넘겼다고 11일 밝혔다.

서울중앙지검	서울중앙지검/NNP
조사1부(부장	조사/NNG+1/SN+부/NNG+(/SS+부장/NNG
이진동)는	이진동/NNP+)/SS+는/JX
교제하던	교제/NNG+하/XSV+던/ETM
여자	여자/NNG
연예인이	연예인/NNG+이/JKS
헤어지자고	헤어지/VV+자고/EC
하자	하/VV+자/EC
사생활을	사생활/NNG+을/JKO
폭로하겠다고	폭로/NNG+하/XSV+겠/EP+다고/EC
협박해	협박/NNG+하/XSV+아/EC
1억6000만원과	1/SN+억/NR+6000/SN+만/NR+원/NNB+과/JC
시계,	시계/NNG+,/SP
귀금속	귀금속/NNG
등을	등/NNB+을/JKO
빼앗은	빼앗/VV+은/ETM
혐의(공갈)로	혐의/NNG+(/SS+공갈/NNG+)/SS+로/JKB
커피	커피/NNG
프랜차이즈	프랜차이즈/NNG
업체	업체/NNG
대표	대표/NNG
손모(48)씨를	손/NNP+모/NP+(/SS+48/SN+)/SS+씨/NNB+를/JKO
재판에	재판/NNG+에/JKB
넘겼다고	넘기/VV+었/EP+다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.194.3.1
검찰에 따르면 연기자 김모씨는 손씨와 2013년부터 교제했다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
