# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.79
metadata : {}


# id : NWRW1800000044.79.1.1
탄광참사, 전국 시위·총파업으로 번져

탄광참사,	탄광/NNG+참사/NNG+,/SP
전국	전국/NNG
시위·총파업으로	시위/NNG+·/SP+총파업/NNG+으로/JKB
번져	번지/VV+어/EF


# id : NWRW1800000044.79.2.1
[한겨레] 앙카라·이스탄불 등서 반정부시위

[한겨레]	[/SS+한겨레/NNP+]/SS
앙카라·이스탄불	앙카라/NNP+·/SP+이스탄불/NNP
등서	등/NNB+서/JKB
반정부시위	반/XPN+정부/NNG+시위/NNG


# id : NWRW1800000044.79.3.1
노조 “광업 민영화가 소마학살 주범”

노조	노조/NNG
“광업	“/SS+광업/NNG
민영화가	민영/NNG+화/XSN+가/JKS
소마학살	소마/NNP+학살/NNG
주범”	주범/NNG+”/SS


# id : NWRW1800000044.79.4.1
대선 출마 노리던 에르도안 위기

대선	대선/NNG
출마	출마/NNG
노리던	노리/VV+던/ETM
에르도안	에르도안/NNP
위기	위기/NNG


# id : NWRW1800000044.79.5.1
터키 역사상 최악의 탄광 참사로 반정부 시위와 총파업 선언이 번지는 등 레제프 타이이프 에르도안 총리와 집권 정의개발당이 최대 정치위기에 직면했다.

터키	터키/NNP
역사상	역사/NNG+상/XSN
최악의	최악/NNG+의/JKG
탄광	탄광/NNG
참사로	참사/NNG+로/JKB
반정부	반/XPN+정부/NNG
시위와	시위/NNG+와/JC
총파업	총파업/NNG
선언이	선언/NNG+이/JKS
번지는	번지/VV+는/ETM
등	등/NNB
레제프	레제프/NNP
타이이프	타이이프/NNP
에르도안	에르도안/NNP
총리와	총리/NNG+와/JC
집권	집권/NNG
정의개발당이	정의개발당/NNP+이/JKS
최대	최대/NNG
정치위기에	정치/NNG+위기/NNG+에/JKB
직면했다.	직면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.5.2
현 정부는 권위주의 통치와 잇단 부패·축재 스캔들로 반발을 산데다 국민 안전을 담보로 수익극대화만 좇는 신자유주의적 경제개발로 참사를 낳았다.

현	현/MMD
정부는	정부/NNG+는/JX
권위주의	권위주의/NNG
통치와	통치/NNG+와/JC
잇단	잇달/VV+ㄴ/ETM
부패·축재	부패/NNG+·/SP+축재/NNG
스캔들로	스캔들/NNG+로/JKB
반발을	반발/NNG+을/JKO
산데다	사/VV+ㄴ/ETM+데/NNB+다/JX
국민	국민/NNG
안전을	안전/NNG+을/JKO
담보로	담보/NNG+로/JKB
수익극대화만	수익/NNG+극대/NNG+화/XSN+만/JX
좇는	좇/VV+는/ETM
신자유주의적	신/XPN+자유주의/NNG+적/XSN
경제개발로	경제/NNG+개발/NNG+로/JKB
참사를	참사/NNG+를/JKO
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.6.1
<로이터>는 15일 “역사상 최악의 탄광 참사로 기록될 사고가 터지면서 여러 도시에서 동시다발적으로 저항 시위가 일어났다”며 “격분한 터키인들이 에르도안 총리에게 야유를 퍼붓고 있다”고 전했다.

<로이터>는	</SS+로이터/NNP+>/SS+는/JX
15일	15/SN+일/NNB
“역사상	“/SS+역사/NNG+상/XSN
최악의	최악/NNG+의/JKG
탄광	탄광/NNG
참사로	참사/NNG+로/JKB
기록될	기록/NNG+되/XSV+ㄹ/ETM
사고가	사고/NNG+가/JKS
터지면서	터지/VV+면서/EC
여러	여러/MMN
도시에서	도시/NNG+에서/JKB
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
저항	저항/NNG
시위가	시위/NNG+가/JKS
일어났다”며	일어나/VV+았/EP+다/EF+”/SS+며/EC
“격분한	“/SS+격분/NNG+하/XSV+ㄴ/ETM
터키인들이	터키인/NNG+들/XSN+이/JKS
에르도안	에르도안/NNP
총리에게	총리/NNG+에게/JKB
야유를	야유/NNG+를/JKO
퍼붓고	퍼붓/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.79.6.2
참사 다음날인 14일 소마 도심은 물론 수도 앙카라와 이스탄불 등에서 수천명의 시위대가 몰려나와 경찰과 충돌을 빚었다.

참사	참사/NNG
