# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.85
metadata : {}


# id : NWRW1800000032.85.1.1
애플 상대 ‘치킨게임’ 가나…삼성, 일본·호주서도 소송

애플	애플/NNP
상대	상대/NNG
‘치킨게임’	‘/SS+치킨게임/NNG+’/SS
가나…삼성,	가/VV+나/EF+…/SE+삼성/NNP+,/SP
일본·호주서도	일본/NNP+·/SP+호주/NNP+서/JKB+도/JX
소송	소송/NNG


# id : NWRW1800000032.85.2.1
삼성전자가 애플을 상대로 한 아이폰4에스(S) 판매금지 가처분소송 무대를 확대하며 반격에 나섰다.

삼성전자가	삼성전자/NNP+가/JKS
애플을	애플/NNP+을/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
아이폰4에스(S)	아이폰4에스/NNP+(/SS+S/SL+)/SS
판매금지	판매/NNG+금지/NNG
가처분소송	가/XPN+처분/NNG+소송/NNG
무대를	무대/NNG+를/JKO
확대하며	확대/NNG+하/XSV+며/EC
반격에	반격/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.85.3.1
삼성전자는 일본 도쿄법원과 오스트레일리아(호주) 뉴사우스웨일스법원에 애플의 아이폰4에스에 대한 판매금지 가처분 소송을 제기했다고 17일 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
일본	일본/NNP
도쿄법원과	도쿄법원/NNP+과/JC
오스트레일리아(호주)	오스트레일리아/NNP+(/SS+호주/NNP+)/SS
뉴사우스웨일스법원에	뉴사우스웨일스법원/NNP+에/JKB
애플의	애플/NNP+의/JKG
아이폰4에스에	아이폰4에스/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
판매금지	판매/NNG+금지/NNG
가처분	가/XPN+처분/NNG
소송을	소송/NNG+을/JKO
제기했다고	제기/NNG+하/XSV+았/EP+다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.85.3.2
이로써 삼성전자가 애플을 상대로 판매금지 가처분 소송을 낸 나라는 프랑스와 이탈리아에 이어 4개국으로 확대됐다.

이로써	이/NP+로써/JKB
삼성전자가	삼성전자/NNP+가/JKS
애플을	애플/NNP+을/JKO
상대로	상대/NNG+로/JKB
판매금지	판매/NNG+금지/NNG
가처분	가/XPN+처분/NNG
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
나라는	나라/NNG+는/JX
프랑스와	프랑스/NNP+와/JC
이탈리아에	이탈리아/NNP+에/JKB
이어	잇/VV+어/EC
4개국으로	4/SN+개국/NNB+으로/JKB
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.85.3.3
삼성전자는 특히 일본에서는 아이폰4에스뿐만 아니라 아이폰4와 아이패드2에 대한 판매금지 가처분 소송도 함께 제기했다.

삼성전자는	삼성전자/NNP+는/JX
특히	특히/MAG
일본에서는	일본/NNP+에서/JKB+는/JX
아이폰4에스뿐만	아이폰4에스/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
아이폰4와	아이폰4/NNP+와/JC
아이패드2에	아이패드2/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
판매금지	판매/NNG+금지/NNG
가처분	가/XPN+처분/NNG
소송도	소송/NNG+도/JX
함께	함께/MAG
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.85.4.1
제소 내용은 일본과 호주에서 차이가 난다.

제소	제소/NNG
내용은	내용/NNG+은/JX
일본과	일본/NNP+과/JC
호주에서	호주/NNP+에서/JKB
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.85.4.2
호주에서는 광대역코드분할다중접속(WCDMA)과 고속패킷접속(HSPA) 등 통신표준에 관련된 특허 3건이, 일본에서는 고속패킷접속 표준특허 1건과 휴대전화 사용자 환경(UI) 관련 상용특허 3건이 침해 사례로 제시됐다.

호주에서는	호주/NNP+에서/JKB+는/JX
광대역코드분할다중접속(WCDMA)과	광대역/NNG+코드/NNG+분할/NNG+다중/NNG+접속/NNG+(/SS+WCDMA/SL+)/SS+과/JC
고속패킷접속(HSPA)	고속/NNG+패킷/NNG+접속/NNG+(/SS+HSPA/SL+)/SS
등	등/NNB
통신표준에	통신/NNG+표준/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
특허	특허/NNG
3건이,	3/SN+건/NNB+이/JKS+,/SP
일본에서는	일본/NNP+에서/JKB+는/JX
고속패킷접속	고속/NNG+패킷/NNG+접속/NNG
표준특허	표준/NNG+특허/NNG
1건과	1/SN+건/NNB+과/JC
휴대전화	휴대/NNG+전화/NNG
사용자	사용자/NNG
환경(UI)	환경/NNG+(/SS+UI/SL+)/SS
