# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.168
metadata : {}


# id : NWRW1800000029.168.1.1
“한국사 연구영역 시공간 확대해야”

“한국사	“/SS+한국사/NNG
연구영역	연구/NNG+영역/NNG
시공간	시공간/NNG
확대해야”	확대/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000029.168.2.1
한민족학회 27,28일 학술대회

한민족학회	한민족학회/NNP
27,28일	27/SN+,/SP+28/SN+일/NNB
학술대회	학술/NNG+대회/NNG


# id : NWRW1800000029.168.3.1
인접학문과 연계연구 등 모색

인접학문과	인접/NNG+학문/NNG+과/JKB
연계연구	연계/NNG+연구/NNG
등	등/NNB
모색	모색/NNG


# id : NWRW1800000029.168.4.1
역사학자들이 근대 이후 100여 년간 전개돼 온 한국사 연구를 반성하고 새로운 연구방식을 모색하는 학술대회를 연다.

역사학자들이	역사학자/NNG+들/XSN+이/JKS
근대	근대/NNG
이후	이후/NNG
100여	100/SN+여/XSN
년간	년/NNB+간/XSN
전개돼	전개/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
한국사	한국사/NNG
연구를	연구/NNG+를/JKO
반성하고	반성/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
연구방식을	연구/NNG+방식/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
학술대회를	학술/NNG+대회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.168.5.1
한민족학회(회장 윤명철 동국대 교수)가 27, 28일 서울 중구 태평로 한국프레스센터 19층에서 개최하는 ‘근대 100년 한국 역사학 연구의 반성과 제언’.

한민족학회(회장	한민족/NNG+학회/NNG+(/SS+회장/NNG
윤명철	윤명철/NNP
동국대	동국대/NNP
교수)가	교수/NNG+)/SS+가/JKS
27,	27/SN+,/SP
28일	28/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
태평로	태평로/NNP
한국프레스센터	한국프레스센터/NNP
19층에서	19/SN+층/NNG+에서/JKB
개최하는	개최/NNG+하/XSV+는/ETM
‘근대	‘/SS+근대/NNG
100년	100/SN+년/NNB
한국	한국/NNP
역사학	역사학/NNG
연구의	연구/NNG+의/JKG
반성과	반성/NNG+과/JC
제언’.	제언/NNG+’/SS+./SF


# id : NWRW1800000029.168.6.1
지금까지 한국사는 공간적으로는 한국사의 영역을 한반도로 한정짓고, 시간적으로 고조선에 대해서 제대로 조명을 하지 못한 채 삼국시대 이후에만 초점을 맞추어 왔다는 문제의식이 대회 개최 배경이다.

지금까지	지금/NNG+까지/JX
한국사는	한국사/NNG+는/JX
공간적으로는	공간/NNG+적/XSN+으로/JKB+는/JX
한국사의	한국사/NNG+의/JKG
영역을	영역/NNG+을/JKO
한반도로	한반도/NNP+로/JKB
한정짓고,	한정/NNG+짓/VV+고/EC+,/SP
시간적으로	시간/NNG+적/XSN+으로/JKB
고조선에	고조선/NNP+에/JKB
대해서	대하/VV+아서/EC
제대로	제대로/MAG
조명을	조명/NNG+을/JKO
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
삼국시대	삼국/NNG+시대/NNG
이후에만	이후/NNG+에/JKB+만/JX
초점을	초점/NNG+을/JKO
맞추어	맞추/VV+어/EC
왔다는	오/VX+았/EP+다는/ETM
문제의식이	문제의식/NNG+이/JKS
대회	대회/NNG
개최	개최/NNG
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.168.6.2
역사학 학술대회로는 처음으로 고대사부터 근현대사까지 전체 역사를 그 대상으로 했다.

역사학	역사학/NNG
학술대회로는	학술/NNG+대회/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
고대사부터	고대사/NNG+부터/JX
근현대사까지	근현대사/NNG+까지/JX
전체	전체/NNG
역사를	역사/NNG+를/JKO
그	그/MMD
대상으로	대상/NNG+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.168.6.3
국가로서의 한국사 5000년은 물론 그 이전 70만 년 선사시대 역사까지를 포괄한다.

국가로서의	국가/NNG+로서/JKB+의/JKG
한국사	한국사/NNG
5000년은	5000/SN+년/NNB+은/JX
물론	물론/MAG
그	그/MMD
이전	이전/NNG
70만	70/SN+만/NR
년	년/NNB
