# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.264
metadata : {}


# id : NWRW1800000030.264.1.1
[만물상] 학자와 논문

[만물상]	[/SS+만물상/NNG+]/SS
학자와	학자/NNG+와/JC
논문	논문/NNG


# id : NWRW1800000030.264.2.1
학자는 강의와 논문과 저서로 존재가치를 말한다.

학자는	학자/NNG+는/JX
강의와	강의/NNG+와/JC
논문과	논문/NNG+과/JC
저서로	저서/NNG+로/JKB
존재가치를	존재/NNG+가치/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.264.2.2
그중에서도 논문은 학자로서 자질과 능력, 성실도를 뚜렷하게 보여주는 징표다.

그중에서도	그중/NNG+에서/JKB+도/JX
논문은	논문/NNG+은/JX
학자로서	학자/NNG+로서/JKB
자질과	자질/NNG+과/JC
능력,	능력/NNG+,/SP
성실도를	성실도/NNG+를/JKO
뚜렷하게	뚜렷하/VA+게/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
징표다.	징표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.3
모든 대학 교수들이 임용계약서에 서명하면서 듣는 첫 경구(警句)가 "논문을 쓰지 않으면 도태된다(Publish or perish)"이다.

모든	모든/MMN
대학	대학/NNG
교수들이	교수/NNG+들/XSN+이/JKS
임용계약서에	임용/NNG+계약서/NNG+에/JKB
서명하면서	서명/NNG+하/XSV+면서/EC
듣는	듣/VV+는/ETM
첫	첫/MMN
경구(警句)가	경구/NNG+(/SS+警句/SH+)/SS+가/JKS
"논문을	"/SS+논문/NNG+을/JKO
쓰지	쓰/VV+지/EC
않으면	않/VX+으면/EC
도태된다(Publish	도태/NNG+되/XSV+ㄴ다/EF+(/SS+Publish/SL
or	or/SL
perish)"이다.	perish/SL+)/SS+"/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.4
논문은 많이 쓰는 것이 우선 중요하다.

논문은	논문/NNG+은/JX
많이	많이/MAG
쓰는	쓰/VV+는/ETM
것이	것/NNB+이/JKS
우선	우선/MAG
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.264.2.5
학자로서 왕성한 에너지를 갖고 있다는 증거가 된다.

학자로서	학자/NNG+로서/JKB
왕성한	왕성/NNG+하/XSA+ㄴ/ETM
에너지를	에너지/NNG+를/JKO
갖고	갖/VV+고/EC
있다는	있/VX+다는/ETM
증거가	증거/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.264.2.6
▶다작(多作) 못지않게 중요한 건 질(質)이다.

▶다작(多作)	▶/SW+다작/NNG+(/SS+多作/SH+)/SS
못지않게	못지않/VA+게/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
질(質)이다.	질/NNG+(/SS+質/SH+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.7
1953년 DNA의 이중나선(二重螺旋) 구조를 밝혀 생명과학에 혁명을 일으킨 왓슨과 크릭의 논문은 그림 하나와 참고문헌 6개가 딸린 한 쪽 남짓한 분량이었다.

1953년	1953/SN+년/NNB
DNA의	DNA/SL+의/JKG
이중나선(二重螺旋)	이중/NNG+나선/NNG+(/SS+二重螺旋/SH+)/SS
구조를	구조/NNG+를/JKO
밝혀	밝히/VV+어/EC
생명과학에	생명/NNG+과학/NNG+에/JKB
혁명을	혁명/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
왓슨과	왓슨/NNP+과/JC
크릭의	크릭/NNP+의/JKG
논문은	논문/NNG+은/JX
그림	그림/NNG
하나와	하나/NR+와/JC
참고문헌	참고/NNG+문헌/NNG
6개가	6/SN+개/NNB+가/JKS
딸린	딸리/VV+ㄴ/ETM
한	한/MMN
쪽	쪽/NNG
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
분량이었다.	분량/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.264.2.8
20세기를 뒤흔든 아인슈타인의 공식 'E=mc²'은 특수상대성이론 논문 뒤편에 한 달 뒤 덧붙인 세 쪽짜리 부록에 들어 있다.

20세기를	20/SN+세기/NNG+를/JKO
뒤흔든	뒤흔들/VV+ㄴ/ETM
아인슈타인의	아인슈타인/NNP+의/JKG
공식	공식/NNG
'E=mc²'은	'/SS+E/SL+=/SW+mc/SL+²/SN+'/SS+은/JX
특수상대성이론	특수/NNG+상대/NNG+성/XSN+이론/NNG
논문	논문/NNG
뒤편에	뒤편/NNG+에/JKB
한	한/MMN
달	달/NNB
뒤	뒤/NNG
덧붙인	덧붙이/VV+ㄴ/ETM
세	세/MMN
쪽짜리	쪽/NNG+짜리/XSN
부록에	부록/NNG+에/JKB
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.264.2.9
▶논문의 질은 어떤 학술지에 실렸느냐와 다른 논문에 얼마나 자주 인용됐느냐로 평가된다.

▶논문의	▶/SW+논문/NNG+의/JKG
질은	질/NNG+은/JX
어떤	어떤/MMD
학술지에	학술지/NNG+에/JKB
실렸느냐와	실리/VV+었/EP+느냐/EF+와/JKB
다른	다른/MMD
논문에	논문/NNG+에/JKB
얼마나	얼마나/MAG
자주	자주/MAG
인용됐느냐로	인용/NNG+되/XSV+었/EP+느냐/EF+로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.264.2.10
과학기술 논문은 8000여개의 SCI(과학논문인용색인)급 학술지에 실려야 기본 수준을 인정받는다.

과학기술	과학/NNG+기술/NNG
논문은	논문/NNG+은/JX
8000여개의	8000/SN+여/XSN+개/NNB+의/JKG
SCI(과학논문인용색인)급	SCI/SL+(/SS+과학/NNG+논문/NNG+인용/NNG+색인/NNG+)/SS+급/NNG
학술지에	학술지/NNG+에/JKB
실려야	실리/VV+어야/EC
기본	기본/NNG
수준을	수준/NNG+을/JKO
인정받는다.	인정/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000030.264.2.11
노벨 물리학상 수상자들의 논문이 평생 인용되는 횟수가 평균 5500회, 화학상 논문이 4800회에 그칠 만큼 좋은 논문 쓰기가 쉽지 않다.

노벨	노벨/NNP
물리학상	물리학상/NNG
수상자들의	수상자/NNG+들/XSN+의/JKG
논문이	논문/NNG+이/JKS
평생	평생/NNG
인용되는	인용/NNG+되/XSV+는/ETM
횟수가	횟수/NNG+가/JKS
평균	평균/NNG
5500회,	5500/SN+회/NNB+,/SP
화학상	화학상/NNG
4800회에	4800/SN+회/NNB+에/JKB
그칠	그치/VV+ㄹ/ETM
만큼	만큼/NNB
좋은	좋/VA+은/ETM
논문	논문/NNG
쓰기가	쓰/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000030.264.2.12
인문사회 분야 학자·저자의 피(被)인용 랭킹은 마르크스·레닌·셰익스피어·성경기록자·아리스토텔레스·플라톤·프로이트·촘스키·헤겔·키케로 순이다.

인문사회	인문/NNG+사회/NNG
분야	분야/NNG
학자·저자의	학자/NNG+·/SP+저자/NNG+의/JKG
피(被)인용	피/XPN+(/SS+被/SH+)/SS+인용/NNG
랭킹은	랭킹/NNG+은/JX
마르크스·레닌·셰익스피어·성경기록자·아리스토텔레스·플라톤·프로이트·촘스키·헤겔·키케로	마르크스/NNP+·/SP+레닌/NNP+·/SP+셰익스피어/NNP+·/SP+성경/NNG+기록자/NNG+·/SP+아리스토텔레스/NNP+·/SP+플라톤/NNP+·/SP+프로이트/NNP+·/SP+촘스키/NNP+·/SP+헤겔/NNP+·/SP+키케로/NNP
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.13
▶2009년 SCI급 과학기술 논문을 많이 생산한 나라는 미국(34만1000건) 중국(12만7000) 영국(9만2000) 독일(8만9000) 순이다.

▶2009년	▶/SW+2009/SN+년/NNB
SCI급	SCI/SL+급/NNG
과학기술	과학/NNG+기술/NNG
논문을	논문/NNG+을/JKO
많이	많이/MAG
생산한	생산/NNG+하/XSV+ㄴ/ETM
나라는	나라/NNG+는/JX
미국(34만1000건)	미국/NNP+(/SS+34/SN+만/NR+1000/SN+건/NNB+)/SS
중국(12만7000)	중국/NNP+(/SS+12/SN+만/NR+7000/SN+)/SS
영국(9만2000)	영국/NNP+(/SS+9/SN+만/NR+2000/SN+)/SS
독일(8만9000)	독일/NNP+(/SS+8/SN+만/NR+9000/SN+)/SS
순이다.	순/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.14
한국은 3만8651건으로 양에서는 11위지만 편당 5년간 피인용 횟수는 3.47회로 30위다.

한국은	한국/NNP+은/JX
3만8651건으로	3/SN+만/NR+8651/SN+건/NNB+으로/JKB
양에서는	양/NNG+에서/JKB+는/JX
11위지만	11/SN+위/NNB+이/VCP+지만/EC
편당	편/NNG+당/XSN
5년간	5/SN+년/NNB+간/XSN
피인용	피/XPN+인용/NNG
횟수는	횟수/NNG+는/JX
3.47회로	3/SN+./SP+47/SN+회/NNB+로/JKB
30위다.	30/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.264.2.15
한국연구재단이 국내 인문사회 논문 5만6030건을 분석했더니 77%가 필자 자신의 후속 논문에서조차 단 한 번도 인용되지 않았다.

한국연구재단이	한국연구재단/NNP+이/JKS
국내	국내/NNG
인문사회	인문/NNG+사회/NNG
논문	논문/NNG
5만6030건을	5/SN+만/NR+6030/SN+건/NNB+을/JKO
분석했더니	분석/NNG+하/XSV+았/EP+더니/EC
77%가	77/SN+%/SW+가/JKS
필자	필자/NNG
자신의	자신/NNG+의/JKG
후속	후속/NNG
논문에서조차	논문/NNG+에서/JKB+조차/JX
단	단/MMA
한	한/MMN
번도	번/NNB+도/JX
인용되지	인용/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.264.2.16
▶영남대 전기공학과 박주현 교수가 2000년부터 SCI급 논문을 170편이나 써 대학평가기관 QS의 '2011 수학분야 세계 대학평가'에서 영남대를 서울대와 나란히 150위 안에 올려놓았다.

▶영남대	▶/SW+영남대/NNP
전기공학과	전기/NNG+공학과/NNG
박주현	박주현/NNP
교수가	교수/NNG+가/JKS
2000년부터	2000/SN+년/NNB+부터/JX
SCI급	SCI/SL+급/NNG
논문을	논문/NNG+을/JKO
170편이나	170/SN+편/NNB+이나/JX
써	쓰/VV+어/EC
대학평가기관	대학/NNG+평가/NNG+기관/NNG
QS의	QS/SL+의/JKG
'2011	'/SS+2011/SN
수학분야	수학/NNG+분야/NNG
세계	세계/NNG
대학평가'에서	대학/NNG+평가/NNG+'/SS+에서/JKB
영남대를	영남대/NNP+를/JKO
서울대와	서울대/NNP+와/JKB
나란히	나란히/MAG
150위	150/SN+위/NNB
안에	안/NNG+에/JKB
올려놓았다.	올려놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.264.2.17
지난 5년 피인용 횟수도 1288회에 이른다.

지난	지나/VV+ㄴ/ETM
5년	5/SN+년/NNB
피인용	피/XPN+인용/NNG
횟수도	횟수/NNG+도/JX
1288회에	1288/SN+회/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.264.2.18
