# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.40
metadata : {}


# id : NWRW1800000025.40.1.1
소송 덫 걸려… 재개발-재건축 ‘올스톱’ 속출

소송	소송/NNG
덫	덫/NNG
걸려…	걸리/VV+어/EC+…/SE
재개발-재건축	재/XPN+개발/NNG+-/SO+재/XPN+건축/NNG
‘올스톱’	‘/SS+올스톱/NNG+’/SS
속출	속출/NNG


# id : NWRW1800000025.40.2.1
지난달 24일 서울행정법원은 서울 왕십리뉴타운 1구역 조합원 4명이 성동구청과 재개발조합을 상대로 낸 조합설립 인가 무효 소송에서 원고 승소 판결을 내렸다.

지난달	지난달/NNG
24일	24/SN+일/NNB
서울행정법원은	서울행정법원/NNP+은/JX
서울	서울/NNP
왕십리뉴타운	왕십리/NNP+뉴타운/NNG
1구역	1/SN+구역/NNG
조합원	조합원/NNG
4명이	4/SN+명/NNB+이/JKS
성동구청과	성동구청/NNP+과/JC
재개발조합을	재/XPN+개발/NNG+조합/NNG+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
조합설립	조합/NNG+설립/NNG
인가	인가/NNG
무효	무효/NNG
소송에서	소송/NNG+에서/JKB
원고	원고/NNG
승소	승소/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.40.2.2
조합설립 인가 때 제출한 주민 동의서 644장 가운데 59장이 내용이 없는 ‘백지 동의서’로 조합설립 당시 인가 기준인 동의율 80%를 채우지 못한다고 재판부는 밝혔다.

조합설립	조합/NNG+설립/NNG
인가	인가/NNG
때	때/NNG
제출한	제출/NNG+하/XSV+ㄴ/ETM
주민	주민/NNG
동의서	동의서/NNG
644장	644/SN+장/NNB
가운데	가운데/NNG
59장이	59/SN+장/NNB+이/JKS
내용이	내용/NNG+이/JKS
없는	없/VA+는/ETM
‘백지	‘/SS+백지/NNG
동의서’로	동의서/NNG+’/SS+로/JKB
당시	당시/NNG
기준인	기준/NNG+이/VCP+ㄴ/ETM
동의율	동의/NNG+율/XSN
80%를	80/SN+%/SW+를/JKO
채우지	채우/VV+지/EC
못한다고	못하/VX+ㄴ다고/EC
재판부는	재판부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.40.3.1
이에 따라 3, 4월로 예정됐던 분양 일정은 대법원 확정 판결 때까지 미뤄졌으며 앞으로 상급 법원의 판결에 따라 조합설립을 새로 하거나 시공사를 다시 선정해야 할 수도 있어 사업 차질은 불가피할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
3,	3/SN+,/SP
4월로	4/SN+월/NNB+로/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
분양	분양/NNG
일정은	일정/NNG+은/JX
대법원	대/XPN+법원/NNG
확정	확정/NNG
판결	판결/NNG
때까지	때/NNG+까지/JX
미뤄졌으며	미루/VV+어/EC+지/VX+었/EP+으며/EC
앞으로	앞/NNG+으로/JKB
상급	상급/NNG
법원의	법원/NNG+의/JKG
판결에	판결/NNG+에/JKB
조합설립을	조합/NNG+설립/NNG+을/JKO
새로	새로/MAG
하거나	하/VV+거나/EC
시공사를	시공사/NNG+를/JKO
다시	다시/MAG
선정해야	선정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
수도	수/NNB+도/JX
있어	있/VA+어/EC
사업	사업/NNG
차질은	차질/NNG+은/JX
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.40.3.2
조합설립 인가 무효 소송을 낸 조합원 4명은 조합 측에 10억여 원의 추가 보상비를 요구하는 것으로 알려졌다.

조합설립	조합/NNG+설립/NNG
인가	인가/NNG
무효	무효/NNG
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
조합원	조합원/NNG
4명은	4/SN+명/NNB+은/JX
조합	조합/NNG
측에	측/NNB+에/JKB
10억여	10/SN+억/NR+여/XSN
원의	원/NNB+의/JKG
추가	추가/NNG
보상비를	보상비/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.40.4.1
주택담보대출 규제 강화, 분양가 상한제 등으로 신규 아파트 분양시장이 얼어붙으면서 건설사들이 수도권 도심 재건축·재개발 사업에 속속 뛰어들고 있지만 전국의 재건축·재개발 사업장들이 ‘소송 대란’에 빠지면서 사업에 차질을 빚고 있다.

주택담보대출	주택/NNG+담보/NNG+대출/NNG
규제	규제/NNG
강화,	강화/NNG+,/SP
분양가	분양/NNG+가/XSN
상한제	상한/NNG+제/XSN
등으로	등/NNB+으로/JKB
신규	신규/NNG
아파트	아파트/NNG
분양시장이	분양/NNG+시장/NNG+이/JKS
얼어붙으면서	얼어붙/VV+으면서/EC
건설사들이	건설사/NNG+들/XSN+이/JKS
수도권	수도/NNG+권/XSN
도심	도심/NNG
재건축·재개발	재/XPN+건축/NNG+·/SP+재/XPN+개발/NNG
사업에	사업/NNG+에/JKB
속속	속속/MAG
뛰어들고	뛰어들/VV+고/EC
있지만	있/VX+지만/EC
전국의	전국/NNG+의/JKG
사업장들이	사업장/NNG+들/XSN+이/JKS
‘소송	‘/SS+소송/NNG
대란’에	대란/NNG+’/SS+에/JKB
빠지면서	빠지/VV+면서/EC
차질을	차질/NNG+을/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.5.1
특히 최근 법원이 절차상의 문제로 재건축·재개발 사업 추진위원회 및 조합설립 인가 소송에서 잇달아 무효 판결을 내리면서 재건축·재개발 현장은 혼란에 빠진 상황이다.

특히	특히/MAG
최근	최근/NNG
법원이	법원/NNG+이/JKS
절차상의	절차/NNG+상/XSN+의/JKG
문제로	문제/NNG+로/JKB
재건축·재개발	재/XPN+건축/NNG+·/SP+재/XPN+개발/NNG
사업	사업/NNG
추진위원회	추진/NNG+위원회/NNG
및	및/MAG
조합설립	조합/NNG+설립/NNG
인가	인가/NNG
소송에서	소송/NNG+에서/JKB
잇달아	잇달/VV+아/EC
무효	무효/NNG
판결을	판결/NNG+을/JKO
내리면서	내리/VV+면서/EC
현장은	현장/NNG+은/JX
혼란에	혼란/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.40.5.2
법원 판결에도 불구하고 사업을 강행하려는 조합 측과 이에 반대하는 비상대책위원회가 갈등을 겪는 곳도 늘고 있다.

법원	법원/NNG
판결에도	판결/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
사업을	사업/NNG+을/JKO
강행하려는	강행/NNG+하/XSV+려는/ETM
조합	조합/NNG
측과	측/NNB+과/JKB
이에	이/NP+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
비상대책위원회가	비상/NNG+대책/NNG+위원회/NNG+가/JKS
갈등을	갈등/NNG+을/JKO
겪는	겪/VV+는/ETM
곳도	곳/NNG+도/JX
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.40.5.3
부동산 전문가들은 “절차상 요건을 100% 제대로 갖춘 조합이나 추진위원회가 많지 않기 때문에 소송에 들어가면 상당수 사업장이 사업이 지연되거나 최악의 경우 취소될 수도 있다”며 “재건축·재개발에 투자할 때는 이를 주의해야 한다”고 말했다.

부동산	부동산/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“절차상	“/SS+절차/NNG+상/XSN
요건을	요건/NNG+을/JKO
100%	100/SN+%/SW
제대로	제대로/MAG
갖춘	갖추/VV+ㄴ/ETM
조합이나	조합/NNG+이나/JC
추진위원회가	추진/NNG+위원회/NNG+가/JKS
많지	많/VA+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
소송에	소송/NNG+에/JKB
들어가면	들어가/VV+면/EC
상당수	상당수/NNG
사업장이	사업장/NNG+이/JKS
사업이	사업/NNG+이/JKS
지연되거나	지연/NNG+되/XSV+거나/EC
최악의	최악/NNG+의/JKG
경우	경우/NNG
취소될	취소/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“재건축·재개발에	“/SS+재/XPN+건축/NNG+·/SP+재/XPN+개발/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
이를	이/NP+를/JKO
주의해야	주의/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.40.6.1
○ 일부 사업장 사업 자체 불투명

○	○/SW
일부	일부/NNG
사업장	사업장/NNG
사업	사업/NNG
자체	자체/NNG
불투명	불/XPN+투명/NNG


# id : NWRW1800000025.40.7.1
9일 부동산정보업체 부동산114와 서울시 등에 따르면 현재 서울에서 소송이 진행되는 재개발·재건축 사업장은 40여 곳이다.

9일	9/SN+일/NNB
부동산정보업체	부동산/NNG+정보업체/NNG
부동산114와	부동산/NNG+114/SN+와/JC
서울시	서울시/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
서울에서	서울/NNP+에서/JKB
소송이	소송/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업장은	사업장/NNG+은/JX
40여	40/SN+여/XSN
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.40.7.2
주민 세입자 시공사 등 사업 주체들의 경제적 이해관계에 따라 각종 분쟁이 늘어난 데다 조합을 불신하는 주민들이 잇달아 소송을 내는 추세다.

주민	주민/NNG
세입자	세입자/NNG
시공사	시공사/NNG
등	등/NNB
사업	사업/NNG
주체들의	주체/NNG+들/XSN+의/JKG
경제적	경제/NNG+적/XSN
이해관계에	이해관계/NNG+에/JKB
따라	따르/VV+아/EC
각종	각종/NNG
분쟁이	분쟁/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
데다	데/NNB+다/JX
조합을	조합/NNG+을/JKO
불신하는	불신/NNG+하/XSV+는/ETM
주민들이	주민/NNG+들/XSN+이/JKS
잇달아	잇달/VV+아/EC
소송을	소송/NNG+을/JKO
내는	내/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.40.8.1
송파구 가락시영아파트 재건축 사업은 2000년 9월 20일 안전진단을 통과한 뒤 10년째 지지부진한 상태다.

송파구	송파구/NNP
가락시영아파트	가락시영아파트/NNP
재건축	재/XPN+건축/NNG
사업은	사업/NNG+은/JX
2000년	2000/SN+년/NNB
9월	9/SN+월/NNB
20일	20/SN+일/NNB
안전진단을	안전/NNG+진단/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
10년째	10/SN+년/NNB+째/XSN
지지부진한	지지부진/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.40.8.2
지난해 10월 조합원 4명이 서울고등법원에 낸 사업시행계획 승인 결의 무효 확인 소송에서 승소하면서 사업 자체가 불투명해졌다.

지난해	지난해/NNG
10월	10/SN+월/NNB
조합원	조합원/NNG
4명이	4/SN+명/NNB+이/JKS
서울고등법원에	서울고등법원/NNP+에/JKB
낸	내/VV+ㄴ/ETM
사업시행계획	사업/NNG+시행/NNG+계획/NNG
승인	승인/NNG
결의	결의/NNG
무효	무효/NNG
