# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.109
metadata : {}


# id : NWRW1800000029.109.1.1
“젊음-아이디어 있다면 세계 시장으로”

“젊음-아이디어	“/SS+젊음/NNG+-/SO+아이디어/NNG
있다면	있/VA+다면/EC
세계	세계/NNG
시장으로”	시장/NNG+으로/JKB+”/SS


# id : NWRW1800000029.109.2.1
美 MIT 워크숍 주최한 서울대 학생벤처네트워크

美	美/SH
MIT	MIT/SL
워크숍	워크숍/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
서울대	서울대/NNP
학생벤처네트워크	학생/NNG+벤처/NNG+네트워크/NNG


# id : NWRW1800000029.109.3.1
“청년 벤처사업가를 꿈꾸는 우리나라의 대학생 창업자들은 우수한 기술과 아이디어가 있어도 해외로 진출하기 어렵습니다.

“청년	“/SS+청년/NNG
벤처사업가를	벤처/NNG+사업가/NNG+를/JKO
꿈꾸는	꿈꾸/VV+는/ETM
우리나라의	우리나라/NNG+의/JKG
대학생	대학/NNG+생/XSN
창업자들은	창업자/NNG+들/XSN+은/JX
우수한	우수/NNG+하/XSA+ㄴ/ETM
기술과	기술/NNG+과/JC
아이디어가	아이디어/NNG+가/JKS
있어도	있/VA+어도/EC
해외로	해외/NNG+로/JKB
진출하기	진출/NNG+하/XSV+기/ETN
어렵습니다.	어렵/VA+습니다/EF+./SF


# id : NWRW1800000029.109.3.2
해외에 인적 네트워크가 없기 때문입니다.”

해외에	해외/NNG+에/JKB
인적	인/NNG+적/XSN
네트워크가	네트워크/NNG+가/JKS
없기	없/VA+기/ETN
때문입니다.”	때문/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000029.109.4.1
세계 대학생 벤처 창업자들의 행사인 ‘MIT 글로벌스타트업워크숍(GSW)’이 지난달 23일부터 25일까지 사흘간 서울 강남구 역삼동 리츠칼튼호텔에서 열렸다.

세계	세계/NNG
대학생	대학/NNG+생/XSN
벤처	벤처/NNG
창업자들의	창업자/NNG+들/XSN+의/JKG
행사인	행사/NNG+이/VCP+ㄴ/ETM
‘MIT	‘/SS+MIT/SL
글로벌스타트업워크숍(GSW)’이	글로벌/NNG+스타트업/NNG+워크숍/NNG+(/SS+GSW/SL+)/SS+’/SS+이/JKS
지난달	지난달/NNG
23일부터	23/SN+일/NNB+부터/JX
25일까지	25/SN+일/NNB+까지/JX
사흘간	사흘/NNG+간/XSN
서울	서울/NNP
강남구	강남구/NNP
역삼동	역삼동/NNP
리츠칼튼호텔에서	리츠칼튼호텔/NNP+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.109.4.2
행사 공동위원장인 양영석 서울대 창업 동아리 ‘학생벤처네트워크’ 회장(21·경영학과)은 “우리나라 학생 창업자들의 해외 진출을 돕기 위해 이 행사를 꼬박 1년간 준비했다”며 이같이 말했다.

행사	행사/NNG
공동위원장인	공동/NNG+위원장/NNG+이/VCP+ㄴ/ETM
양영석	양영석/NNP
서울대	서울대/NNP
창업	창업/NNG
동아리	동아리/NNG
‘학생벤처네트워크’	‘/SS+학생/NNG+벤처/NNG+네트워크/NNG+’/SS
회장(21·경영학과)은	회장/NNG+(/SS+21/SN+·/SP+경영학과/NNG+)/SS+은/JX
“우리나라	“/SS+우리나라/NNG
학생	학생/NNG
창업자들의	창업자/NNG+들/XSN+의/JKG
해외	해외/NNG
진출을	진출/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
이	이/MMD
행사를	행사/NNG+를/JKO
꼬박	꼬박/MAG
1년간	1/SN+년/NNB+간/XSN
준비했다”며	준비/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.109.5.1
이 행사는 미국 매사추세츠공대(MIT) 대학생들이 주관하는 행사로 매년 한 차례씩 개최국을 달리해 열린다.

이	이/MMD
행사는	행사/NNG+는/JX
미국	미국/NNP
매사추세츠공대(MIT)	매사추세츠공대/NNP+(/SS+MIT/SL+)/SS
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
주관하는	주관/NNG+하/XSV+는/ETM
행사로	행사/NNG+로/JKB
매년	매년/MAG
한	한/MMN
차례씩	차례/NNG+씩/XSN
개최국을	개최국/NNG+을/JKO
달리해	달리/MAG+하/XSV+아/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.109.6.1
우리나라에서 열린 15회 행사에는 일본 후쿠시마 원전 사고, 북한의 연평도 포격 도발 사건 등으로 동북아 상황이 좋지 않았지만 37개국에서 300여 명이 참석했다.

우리나라에서	우리나라/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
15회	15/SN+회/NNB
행사에는	행사/NNG+에/JKB+는/JX
일본	일본/NNP
후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고,	사고/NNG+,/SP
북한의	북한/NNP+의/JKG
연평도	연평도/NNP
포격	포격/NNG
도발	도발/NNG
사건	사건/NNG
등으로	등/NNB+으로/JKB
동북아	동북아/NNP
상황이	상황/NNG+이/JKS
좋지	좋/VA+지/EC
않았지만	않/VX+았/EP+지만/EC
37개국에서	37/SN+개국/NNB+에서/JKB
300여	300/SN+여/XSN
명이	명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.109.6.2
매출 1조 원이 넘는 인도의 이동통신회사 테자스네트웍스의 산자이 나야크 사장부터 벤처 창업을 꿈꾸는 한국의 고등학생까지 참여한 사람도 다양했다.

매출	매출/NNG
1조	1/SN+조/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
인도의	인도/NNP+의/JKG
이동통신회사	이동/NNG+통신/NNG+회사/NNG
테자스네트웍스의	테자스네트웍스/NNP+의/JKG
산자이	산자이/NNP
나야크	나야크/NNP
사장부터	사장/NNG+부터/JX
벤처	벤처/NNG
창업을	창업/NNG+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
한국의	한국/NNP+의/JKG
고등학생까지	고등학생/NNG+까지/JX
참여한	참여/NNG+하/XSV+ㄴ/ETM
사람도	사람/NNG+도/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.109.7.1
학생벤처네트워크 학생들은 이번 워크숍을 통해 해외의 벤처 환경을 피부로 느꼈다고 입을 모았다.

학생벤처네트워크	학생/NNG+벤처/NNG+네트워크/NNG
학생들은	학생/NNG+들/XSN+은/JX
이번	이번/NNG
워크숍을	워크숍/NNG+을/JKO
통해	통하/VV+아/EC
해외의	해외/NNG+의/JKG
벤처	벤처/NNG
환경을	환경/NNG+을/JKO
피부로	피부/NNG+로/JKB
느꼈다고	느끼/VV+었/EP+다고/EC
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.109.7.2
GSW 부위원장이기도 한 김유리 씨(26)는 “MIT나 스탠퍼드대 등에는 학생들의 창업을 지원하는 기관이 이미 수십 년 전부터 있었다는 사실에 놀랐다”며 “지원을 받을 수 있는 곳을 다양하게 알게 돼 사업에 실질적인 도움이 될 것”이라고 말했다.

GSW	GSW/SL
부위원장이기도	부위원장/NNG+이/VCP+기/ETN+도/JX
한	하/VX+ㄴ/ETM
김유리	김유리/NNP
씨(26)는	씨/NNB+(/SS+26/SN+)/SS+는/JX
“MIT나	“/SS+MIT/SL+나/JC
스탠퍼드대	스탠퍼드대/NNP
등에는	등/NNB+에/JKB+는/JX
학생들의	학생/NNG+들/XSN+의/JKG
창업을	창업/NNG+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
기관이	기관/NNG+이/JKS
이미	이미/MAG
수십	수십/NR
년	년/NNB
전부터	전/NNG+부터/JX
있었다는	있/VA+었/EP+다는/ETM
사실에	사실/NNG+에/JKB
놀랐다”며	놀라/VV+았/EP+다/EF+”/SS+며/EC
“지원을	“/SS+지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
곳을	곳/NNG+을/JKO
다양하게	다양/NNG+하/XSA+게/EC
알게	알/VV+게/EC
돼	되/VV+어/EC
사업에	사업/NNG+에/JKB
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.109.7.3
양영석 회장도 “워크숍에서 창업 아이디어와 파트너를 둘 다 얻었다”며 “해외 벤처 지원 기관들과 한국의 청년 벤처 사업가를 연계해주는 일을 기획하고 있다”고 말했다.

양영석	양영석/NNP
회장도	회장/NNG+도/JX
“워크숍에서	“/SS+워크숍/NNG+에서/JKB
창업	창업/NNG
아이디어와	아이디어/NNG+와/JC
파트너를	파트너/NNG+를/JKO
둘	둘/NR
다	다/MAG
얻었다”며	얻/VV+었/EP+다/EF+”/SS+며/EC
“해외	“/SS+해외/NNG
벤처	벤처/NNG
지원	지원/NNG
기관들과	기관/NNG+들/XSN+과/JKB
한국의	한국/NNP+의/JKG
청년	청년/NNG
사업가를	사업가/NNG+를/JKO
연계해주는	연계/NNG+하/XSV+아/EC+주/VX+는/ETM
일을	일/NNG+을/JKO
기획하고	기획/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.109.8.1
홍국선 서울대 재료공학부 교수는 “청년 벤처를 물질적으로 지원하는 것도 중요하지만 학생들이 두려움 없이 창의성과 도전정신을 살릴 수 있도록 사회 분위기를 바꾸는 게 중요하다”고 말했다.

홍국선	홍국선/NNP
서울대	서울대/NNP
재료공학부	재료/NNG+공학부/NNG
교수는	교수/NNG+는/JX
“청년	“/SS+청년/NNG
벤처를	벤처/NNG+를/JKO
물질적으로	물질/NNG+적/XSN+으로/JKB
지원하는	지원/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
학생들이	학생/NNG+들/XSN+이/JKS
두려움	두려움/NNG
없이	없이/MAG
창의성과	창의/NNG+성/XSN+과/JC
도전정신을	도전/NNG+정신/NNG+을/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사회	사회/NNG
분위기를	분위기/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
게	거/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
