# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.28
metadata : {}


# id : NWRW1800000048.28.1.1
올 공동주택 공시가격 3.1% 올랐다

올	올/NNG
공동주택	공동/NNG+주택/NNG
공시가격	공시/NNG+가격/NNG
3.1%	3/SN+./SP+1/SN+%/SW
올랐다	오르/VV+았/EP+다/EF


# id : NWRW1800000048.28.2.1
지난해 0.4% 상승서 껑충 뛰어

지난해	지난해/NNG
0.4%	0/SN+./SP+4/SN+%/SW
상승서	상승/NNG+서/JKB
껑충	껑충/MAG
뛰어	뛰/VV+어/EF


# id : NWRW1800000048.28.3.1
대구 12%로 가장 많이 올라

대구	대구/NNP
12%로	12/SN+%/SW+로/JKB
가장	가장/MAG
많이	많이/MAG
올라	오르/VV+아/EF


# id : NWRW1800000048.28.4.1
단독주택 1~5위 모두 삼성 집안

단독주택	단독/NNG+주택/NNG
1~5위	1/SN+~/SO+5/SN+위/NNB
모두	모두/MAG
삼성	삼성/NNP
집안	집안/NNG


# id : NWRW1800000048.28.5.1
올해 재산세와 종합부동산세 부과 기준이 되는 공동주택 공시가격이 지난해보다 평균 3.1% 올랐다.

올해	올해/NNG
재산세와	재산세/NNG+와/JC
종합부동산세	종합/NNG+부동산세/NNG
부과	부과/NNG
기준이	기준/NNG+이/JKC
되는	되/VV+는/ETM
공동주택	공동/NNG+주택/NNG
공시가격이	공시/NNG+가격/NNG+이/JKS
지난해보다	지난해/NNG+보다/JKB
평균	평균/NNG
3.1%	3/SN+./SP+1/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.28.5.2
가장 많이 오른 지역은 대구시였다.

가장	가장/MAG
많이	많이/MAG
오른	오르/VV+ㄴ/ETM
지역은	지역/NNG+은/JX
대구시였다.	대구시/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.28.5.3
단독 주택도 지난해보다 3.96% 올랐는데, 비싼 단독 주택 5위까지는 모두 삼성 집안의 주택이 차지했다.

단독	단독/NNG
주택도	주택/NNG+도/JX
지난해보다	지난해/NNG+보다/JKB
3.96%	3/SN+./SP+96/SN+%/SW
올랐는데,	오르/VV+았/EP+는데/EC+,/SP
비싼	비싸/VA+ㄴ/ETM
주택	주택/NNG
5위까지는	5/SN+위/NNB+까지/JX+는/JX
모두	모두/MAG
삼성	삼성/NNP
집안의	집안/NNG+의/JKG
주택이	주택/NNG+이/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.28.6.1
29일 국토교통부가 발표한 ‘2015년 주택 공시가격’을 보면, 아파트, 연립주택, 다세대주택 등 공동주택은 지난해보다 평균 3.1% 올라 지난해의 상승 폭 0.4%보다 커졌다.

29일	29/SN+일/NNB
국토교통부가	국토/NNG+교통부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2015년	‘/SS+2015/SN+년/NNB
주택	주택/NNG
공시가격’을	공시/NNG+가격/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
아파트,	아파트/NNG+,/SP
연립주택,	연립/NNG+주택/NNG+,/SP
다세대주택	다세대/NNG+주택/NNG
등	등/NNB
공동주택은	공동/NNG+주택/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
평균	평균/NNG
3.1%	3/SN+./SP+1/SN+%/SW
올라	오르/VV+아/EC
지난해의	지난해/NNG+의/JKG
상승	상승/NNG
폭	폭/NNG
0.4%보다	0/SN+./SP+4/SN+%/SW+보다/JKB
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.28.7.1
지역 별로는 지방 광역 시·도가 5.1% 올라 가장 높은 편이었으며, 지방 시·군 지역이 3.6%, 수도권이 2.5% 올랐다.

지역	지역/NNG
별로는	별/XSN+로/JKB+는/JX
지방	지방/NNG
광역	광역/NNG
시·도가	시·도/NNG+가/JKS
5.1%	5/SN+./SP+1/SN+%/SW
올라	오르/VV+아/EC
가장	가장/MAG
높은	높/VA+은/ETM
편이었으며,	편/NNB+이/VCP+었/EP+으며/EC+,/SP
시·군	시·군/NNG
지역이	지역/NNG+이/JKS
3.6%,	3/SN+./SP+6/SN+%/SW+,/SP
수도권이	수도/NNG+권/XSN+이/JKS
2.5%	2/SN+./SP+5/SN+%/SW
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.28.7.2
