# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.365
metadata : {}


# id : NWRW1800000041.365.1.1
재계 “低성과 정규직 해고기준 명확히 세우자”, 노동계 “정규직까지 해고 불안… 총파업 불사”

재계	재계/NNG
“低성과	“/SS+低/SH+성과/NNG
정규직	정규직/NNG
해고기준	해고/NNG+기준/NNG
명확히	명확히/MAG
세우자”,	세우/VV+자/EF+”/SS+,/SP
노동계	노동/NNG+계/XSN
“정규직까지	“/SS+정규직/NNG+까지/JX
해고	해고/NNG
불안…	불안/NNG+…/SE
총파업	총파업/NNG
불사”	불사/NNG+”/SS


# id : NWRW1800000041.365.2.1
정부 노동시장 개혁 추진 파장 朴대통령 “일부 대기업 노조… 이기주의로 사회통합 가로막아”

정부	정부/NNG
노동시장	노동/NNG+시장/NNG
개혁	개혁/NNG
추진	추진/NNG
파장	파장/NNG
朴대통령	朴/SH+대통령/NNG
“일부	“/SS+일부/NNG
대기업	대/XPN+기업/NNG
노조…	노조/NNG+…/SE
이기주의로	이기주의/NNG+로/JKB
사회통합	사회/NNG+통합/NNG
가로막아”	가로막/VV+아/EF+”/SS


# id : NWRW1800000041.365.3.1
정부가 업무 성과가 현저히 떨어지는 정규직 직원에 대한 ‘일반해고’ 기준을 구체화하는 작업을 노사정위원회를 통해 추진키로 하면서 재계와 노동계가 대립하기 시작했다.

정부가	정부/NNG+가/JKS
업무	업무/NNG
성과가	성과/NNG+가/JKS
현저히	현저히/MAG
떨어지는	떨어지/VV+는/ETM
정규직	정규직/NNG
직원에	직원/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘일반해고’	‘/SS+일반/NNG+해고/NNG+’/SS
기준을	기준/NNG+을/JKO
구체화하는	구체/NNG+화/XSN+하/XSV+는/ETM
작업을	작업/NNG+을/JKO
노사정위원회를	노사정/NNG+위원회/NNG+를/JKO
통해	통하/VV+아/EC
추진키로	추진/NNG+하/XSV+기/ETN+로/JKB
하면서	하/VV+면서/EC
재계와	재계/NNG+와/JC
노동계가	노동/NNG+계/XSN+가/JKS
