# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.276
metadata : {}


# id : NWRW1800000022.276.1.1
스승의 날 '작은 선물'도 거절한 담임선생님;현직 교사인 학부모가 본 '교원평가 시범학교'

스승의	스승/NNG+의/JKG
날	날/NNG
'작은	'/SS+작/VA+은/ETM
선물'도	선물/NNG+'/SS+도/JX
거절한	거절/NNG+하/XSV+ㄴ/ETM
담임선생님;현직	담임/NNG+선생/NNG+님/XSN+;/SP+현직/NNG
교사인	교사/NNG+이/VCP+ㄴ/ETM
학부모가	학부모/NNG+가/JKS
본	보/VV+ㄴ/ETM
'교원평가	'/SS+교원/NNG+평가/NNG
시범학교'	시범/NNG+학교/NNG+'/SS


# id : NWRW1800000022.276.2.1
딸이 전교 부회장됐는데 엄마는 학교에 못오게…;"작은 일도 최선 다하는 선생님이 대우받아야죠"

딸이	딸/NNG+이/JKS
전교	전교/NNG
부회장됐는데	부회장/NNG+되/XSV+었/EP+는데/EC
엄마는	엄마/NNG+는/JX
학교에	학교/NNG+에/JKB
못오게…;"작은	못/MAG+오/VV+게/EC+…/SE+;/SP+"/SS+작/VA+은/ETM
일도	일/NNG+도/JX
최선	최선/NNG
다하는	다/MAG+하/XSV+는/ETM
선생님이	선생/NNG+님/XSN+이/JKS
대우받아야죠"	대우/NNG+받/XSV+아야지/EF+요/JX+"/SS


# id : NWRW1800000022.276.3.1
서울 동대문구에 사는 이정희(42)씨는 서울 장원중 3학년 담임교사(음악)이자, 집 근처 전곡초등학교에 6·4학년 두 딸을 보내는 '학부모'이기도 하다.

서울	서울/NNP
동대문구에	동대문구/NNP+에/JKB
사는	살/VV+는/ETM
이정희(42)씨는	이정희/NNP+(/SS+42/SN+)/SS+씨/NNB+는/JX
장원중	장원중/NNP
3학년	3/SN+학년/NNG
담임교사(음악)이자,	담임/NNG+교사/NNG+(/SS+음악/NNG+)/SS+이/VCP+자/EC+,/SP
집	집/NNG
근처	근처/NNG
전곡초등학교에	전곡초등학교/NNP+에/JKB
6·4학년	6/SN+·/SP+4/SN+학년/NNG
두	두/MMN
딸을	딸/NNG+을/JKO
보내는	보내/VV+는/ETM
'학부모'이기도	'/SS+학부모/NNG+'/SS+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000022.276.3.2
2007년 말 남편 직장을 따라 부산에서 이사 오면서 두 아이를 이 학교로 전학시켰다.

2007년	2007/SN+년/NNB
말	말/NNB
남편	남편/NNG
직장을	직장/NNG+을/JKO
따라	따르/VV+아/EC
부산에서	부산/NNP+에서/JKB
이사	이사/NNG
오면서	오/VV+면서/EC
두	두/MMN
아이를	아이/NNG+를/JKO
이	이/MMD
학교로	학교/NNG+로/JKB
전학시켰다.	전학/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.276.4.1
