# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.17
metadata : {}


# id : NWRW1800000037.17.1.1
“금융사 해킹사고땐 경영진 책임 엄격히 묻겠다”

“금융사	“/SS+금융사/NNG
해킹사고땐	해킹/NNG+사고/NNG+때/NNG+ㄴ/JX
경영진	경영진/NNG
책임	책임/NNG
엄격히	엄격히/MAG
묻겠다”	묻/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000037.17.2.1
최수현 금감원장, IT보안 투자 주문

최수현	최수현/NNP
금감원장,	금감원장/NNG+,/SP
IT보안	IT/SL+보안/NNG
투자	투자/NNG
주문	주문/NNG


# id : NWRW1800000037.17.3.1
최수현 금융감독원장(사진)은 5일 서울 마포구 도화동 서울가든호텔에서 열린 ‘금융정보보호 세미나’에서 “정보기술(IT) 보안대책을 소홀히 한 탓에 보안사고가 발생하면 경영진의 책임을 엄격히 묻겠다”고 말했다.

최수현	최수현/NNP
금융감독원장(사진)은	금융/NNG+감독원장/NNG+(/SS+사진/NNG+)/SS+은/JX
5일	5/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
도화동	도화동/NNP
서울가든호텔에서	서울가든호텔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘금융정보보호	‘/SS+금융/NNG+정보/NNG+보호/NNG
세미나’에서	세미나/NNG+’/SS+에서/JKB
“정보기술(IT)	“/SS+정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
보안대책을	보안/NNG+대책/NNG+을/JKO
소홀히	소홀히/MAG
한	하/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
보안사고가	보안/NNG+사고/NNG+가/JKS
발생하면	발생/NNG+하/XSV+면/EC
경영진의	경영진/NNG+의/JKG
책임을	책임/NNG+을/JKO
엄격히	엄격히/MAG
묻겠다”고	묻/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.17.4.1
그는 이어 “(보안사고를 낸) 해당 금융회사의 홈페이지에 사고의 내용과 원인 등을 1개월간 공시하도록 하겠다”고 밝혔다.

그는	그/NP+는/JX
이어	이어/MAG
“(보안사고를	“/SS+(/SS+보안/NNG+사고/NNG+를/JKO
낸)	내/VV+ㄴ/ETM+)/SS
해당	해당/NNG
금융회사의	금융/NNG+회사/NNG+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
사고의	사고/NNG+의/JKG
내용과	내용/NNG+과/JC
원인	원인/NNG
등을	등/NNB+을/JKO
1개월간	1/SN+개월/NNB+간/XSN
공시하도록	공시/NNG+하/XSV+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.17.4.2
최 원장은 IT 보안을 위해 금융회사 스스로 적극적인 투자에 나설 것을 주문했다.

최	최/NNP
원장은	원장/NNG+은/JX
IT	IT/SL
보안을	보안/NNG+을/JKO
위해	위하/VV+아/EC
금융회사	금융/NNG+회사/NNG
스스로	스스로/MAG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
투자에	투자/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.17.4.3
그는 “IT 보안 강화를 위해서는 인력과 설비에 지출을 늘릴 수밖에 없지만 이는 ‘비용’이라기보다 영업 인프라를 구축하는 ‘투자’의 개념으로 인식해야 한다”고 강조했다.

그는	그/NP+는/JX
“IT	“/SS+IT/SL
보안	보안/NNG
강화를	강화/NNG+를/JKO
위해서는	위하/VV+아서/EC+는/JX
인력과	인력/NNG+과/JC
설비에	설비/NNG+에/JKB
지출을	지출/NNG+을/JKO
늘릴	늘리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없지만	없/VA+지만/EC
이는	이/NP+는/JX
‘비용’이라기보다	‘/SS+비용/NNG+’/SS+이/VCP+라기/ETN+보다/JKB
영업	영업/NNG
인프라를	인프라/NNG+를/JKO
구축하는	구축/NNG+하/XSV+는/ETM
‘투자’의	‘/SS+투자/NNG+’/SS+의/JKG
개념으로	개념/NNG+으로/JKB
인식해야	인식/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.17.5.1
IT 인력을 키워 일자리를 만들어내겠다는 뜻도 내비쳤다.

IT	IT/SL
인력을	인력/NNG+을/JKO
키워	키우/VV+어/EC
일자리를	일자리/NNG+를/JKO
만들어내겠다는	만들/VV+어/EC+내/VX+겠/EP+다는/ETM
