# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.89
metadata : {}


# id : NWRW1800000033.89.1.1
혹한 베이징서 여름 광저우로 8시간이내 도착

혹한	혹한/NNG
베이징서	베이징/NNP+서/JKB
여름	여름/NNG
광저우로	광저우/NNP+로/JKB
8시간이내	8/SN+시간/NNB+이내/NNG
도착	도착/NNG


# id : NWRW1800000033.89.2.1
총 2298km 中고속철 개통

총	총/MMA
2298km	2298/SN+km/SW
中고속철	中/SH+고속철/NNG
개통	개통/NNG


# id : NWRW1800000033.89.3.1
“중국의 비약적 발전을 상징하지요.”

“중국의	“/SS+중국/NNP+의/JKG
비약적	비약/NNG+적/XSN
발전을	발전/NNG+을/JKO
상징하지요.”	상징/NNG+하/XSV+지요/EF+./SF+”/SS


# id : NWRW1800000033.89.4.1
마오쩌둥(毛澤東) 전 주석 탄생 119주년 기념일인 26일 오전 9시 30분 베이징(北京) 서역 14번 플랫폼.

마오쩌둥(毛澤東)	마오쩌둥/NNP+(/SS+毛澤東/SH+)/SS
전	전/MMD
주석	주석/NNG
탄생	탄생/NNG
119주년	119/SN+주년/NNB
기념일인	기념일/NNG+이/VCP+ㄴ/ETM
26일	26/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
30분	30/SN+분/NNB
베이징(北京)	베이징/NNP+(/SS+北京/SH+)/SS
서역	서역/NNP
14번	14/SN+번/NNB
플랫폼.	플랫폼/NNG+./SF


# id : NWRW1800000033.89.4.2
이날 처음으로 전 노선을 개통한 징광(京廣·베이징∼광저우) 고속철도 구간을 운행하는 3편의 열차 중 오전 10시에 출발하는 ‘허셰(和諧)호 G79’에 탑승하는 왕옌난(王彦南) 씨는 자부심에 가득 찬 표정으로 이렇게 말했다.

이날	이날/NNG
처음으로	처음/NNG+으로/JKB
전	전/MMN
노선을	노선/NNG+을/JKO
개통한	개통/NNG+하/XSV+ㄴ/ETM
징광(京廣·베이징∼광저우)	징광/NNP+(/SS+京廣/SH+·/SP+베이징/NNP+∼/SO+광저우/NNP+)/SS
고속철도	고속/NNG+철도/NNG
구간을	구간/NNG+을/JKO
운행하는	운행/NNG+하/XSV+는/ETM
3편의	3/SN+편/NNB+의/JKG
열차	열차/NNG
중	중/NNB
오전	오전/NNG
10시에	10/SN+시/NNB+에/JKB
출발하는	출발/NNG+하/XSV+는/ETM
‘허셰(和諧)호	‘/SS+허셰/NNP+(/SS+和諧/SH+)/SS+호/NA
G79’에	G/SL+79/SN+’/SS+에/JKB
탑승하는	탑승/NNG+하/XSV+는/ETM
왕옌난(王彦南)	왕옌난/NNP+(/SS+王彦南/SH+)/SS
씨는	씨/NNB+는/JX
자부심에	자부심/NNG+에/JKB
가득	가득/MAG
찬	차/VV+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.89.4.3
이날 중국의 방송과 신문, 라디오 등은 “중국 남북이 일일 생활권” “열차를 타고 겨울에서 여름으로” 등으로 특별 보도했다.

이날	이날/NNG
중국의	중국/NNP+의/JKG
방송과	방송/NNG+과/JC
신문,	신문/NNG+,/SP
라디오	라디오/NNG
등은	등/NNB+은/JX
“중국	“/SS+중국/NNP
남북이	남북/NNG+이/JKS
일일	일일/NNG
생활권”	생활/NNG+권/XSN+”/SS
“열차를	“/SS+열차/NNG+를/JKO
타고	타/VV+고/EC
겨울에서	겨울/NNG+에서/JKB
여름으로”	여름/NNG+으로/JKB+”/SS
등으로	등/NNB+으로/JKB
특별	특별/NNG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.89.5.1
징광 고속철도는 우한(武漢)∼광저우(2009년 12월)와 정저우(鄭州)∼우한(올해 9월) 구간에 이날 베이징∼정저우 구간을 순차적으로 개통됐다.

징광	징광/NNP
고속철도는	고속/NNG+철도/NNG+는/JX
우한(武漢)∼광저우(2009년	우한/NNP+(/SS+武漢/SH+)/SS+∼/SO+광저우/NNP+(/SS+2009/SN+년/NNB
12월)와	12/SN+월/NNB+)/SS+와/JC
정저우(鄭州)∼우한(올해	정저우/NNP+(/SS+鄭州/SH+)/SS+∼/SO+우한/NNP+(/SS+올해/NNG
9월)	9/SN+월/NNB+)/SS
구간에	구간/NNG+에/JKB
이날	이날/NNG
베이징∼정저우	베이징/NNP+∼/SO+정저우/NNP
구간을	구간/NNG+을/JKO
순차적으로	순차/NNG+적/XSN+으로/JKB
개통됐다.	개통/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.89.5.2
총 2298km의 징광 고속철도는 단일 구간 세계 최장의 기록도 세웠다.

총	총/MMA
2298km의	2298/SN+km/SW+의/JKG
징광	징광/NNP
고속철도는	고속/NNG+철도/NNG+는/JX
단일	단일/NNG
구간	구간/NNG
세계	세계/NNG
최장의	최장/NNG+의/JKG
기록도	기록/NNG+도/JX
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.89.5.3
이날 징광 고속철도 개통으로 기존에 가장 빠른 특급열차로 20시간 31분 걸리던 베이징∼광저우 구간은 7시간 59분으로 단축됐다.

이날	이날/NNG
징광	징광/NNP
고속철도	고속/NNG+철도/NNG
개통으로	개통/NNG+으로/JKB
기존에	기존/NNG+에/JKB
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
특급열차로	특급/NNG+열차/NNG+로/JKB
20시간	20/SN+시간/NNB
31분	31/SN+분/NNB
걸리던	걸리/VV+던/ETM
베이징∼광저우	베이징/NNP+∼/SO+광저우/NNP
구간은	구간/NNG+은/JX
7시간	7/SN+시간/NNB
59분으로	59/SN+분/NNB+으로/JKB
단축됐다.	단축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.89.5.4
이 고속철도는 2015년까지 선전(深(수,천))을 거쳐 홍콩까지 연장될 예정이다.

이	이/MMD
고속철도는	고속/NNG+철도/NNG+는/JX
2015년까지	2015/SN+년/NNB+까지/JX
