# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.292
metadata : {}


# id : NWRW1800000022.292.1.1
[수도권Ⅱ] 가평에 '잣 생산특구'추진

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
가평에	가평/NNP+에/JKB
'잣	'/SS+잣/NNG
생산특구'추진	생산/NNG+특구/NNG+'/SS+추진/NNG


# id : NWRW1800000022.292.2.1
가평군이 가평 잣의 지속적인 생산기반을 확충하고 잣 가공산업을 육성하기 위해 3개 읍·면 9개 지역을 '잣 생산특구'로 지정하는 방안을 추진 중이라고 밝혔다.

가평군이	가평군/NNP+이/JKS
가평	가평/NNP
잣의	잣/NNG+의/JKG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
생산기반을	생산/NNG+기반/NNG+을/JKO
확충하고	확충/NNG+하/XSV+고/EC
잣	잣/NNG
가공산업을	가공/NNG+산업/NNG+을/JKO
육성하기	육성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
3개	3/SN+개/NNB
읍·면	읍/NNG+·/SP+면/NNG
9개	9/SN+개/NNB
지역을	지역/NNG+을/JKO
'잣	'/SS+잣/NNG
생산특구'로	생산/NNG+특구/NNG+'/SS+로/JKB
지정하는	지정/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진	추진/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.292.3.1
추진 지역은 가평읍 경반·승안·마장리 일대 3648㏊, 설악면 설곡·묵안·엄소리 일대 520㏊, 상면 상동·행현·덕현리 일대 2317㏊ 등 총 6485㏊의 산림이다.

추진	추진/NNG
지역은	지역/NNG+은/JX
가평읍	가평읍/NNP
경반·승안·마장리	경반/NNP+·/SP+승안/NNP+·/SP+마장리/NNP
일대	일대/NNG
3648㏊,	3648/SN+㏊/SW+,/SP
설악면	설악면/NNP
설곡·묵안·엄소리	설곡/NNP+·/SP+묵안/NNP+·/SP+엄소리/NNP
520㏊,	520/SN+㏊/SW+,/SP
상면	상면/NNP
상동·행현·덕현리	상동/NNP+·/SP+행현/NNP+·/SP+덕현리/NNP
2317㏊	2317/SN+㏊/SW
등	등/NNB
총	총/MMA
6485㏊의	6485/SN+㏊/SW+의/JKG
산림이다.	산림/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.292.3.2
이들 지역은 축령산과 칼봉산을 중심으로 20년 이상 된 잣나무가 빽빽이 들어서 가평 잣 생산량의 50% 이상을 차지하고 있다.

이들	이/NP+들/XSN
지역은	지역/NNG+은/JX
축령산과	축령산/NNP+과/JC
칼봉산을	칼봉산/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
20년	20/SN+년/NNB
이상	이상/NNG
된	되/VV+ㄴ/ETM
잣나무가	잣나무/NNG+가/JKS
빽빽이	빽빽이/MAG
들어서	들/VV+어서/EC
가평	가평/NNP
잣	잣/NNG
생산량의	생산량/NNG+의/JKG
50%	50/SN+%/SW
이상을	이상/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.292.4.1
군(郡)은 잣 생산특구 추진에 대한 주민 의견을 수렴하기 위해 지난 21일 '가평 잣 생산특구 계획안'을 공고했다.

군(郡)은	군/NNG+(/SS+郡/SH+)/SS+은/JX
잣	잣/NNG
생산특구	생산/NNG+특구/NNG
추진에	추진/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주민	주민/NNG
의견을	의견/NNG+을/JKO
수렴하기	수렴/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
'가평	'/SS+가평/NNP
계획안'을	계획안/NNG+'/SS+을/JKO
공고했다.	공고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.292.4.2
그리고 다음달 10일 주민공청회를 열고 의회와 협의를 거쳐 10월 재정경제부에 특구 지정을 신청할 계획이다.

그리고	그리고/MAJ
다음달	다음/NNG+달/NNG
10일	10/SN+일/NNB
주민공청회를	주민/NNG+공청회/NNG+를/JKO
열고	열/VV+고/EC
의회와	의회/NNG+와/JC
협의를	협의/NNG+를/JKO
거쳐	거치/VV+어/EC
10월	10/SN+월/NNB
재정경제부에	재정/NNG+경제부/NNG+에/JKB
특구	특구/NNG
지정을	지정/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.292.4.3
특구로 지정되면 획일적으로 적용되는 각종 규제를 지역 특성에 맞게 완화 또는 강화해 특구 지역 내에서 선택적으로 특례를 적용받아 잣 생산 활성화를 기대할 수 있다.

특구로	특구/NNG+로/JKB
지정되면	지정/NNG+되/XSV+면/EC
획일적으로	획일적/NNG+으로/JKB
적용되는	적용/NNG+되/XSV+는/ETM
각종	각종/NNG
규제를	규제/NNG+를/JKO
지역	지역/NNG
특성에	특성/NNG+에/JKB
맞게	맞/VV+게/EC
완화	완화/NNG
또는	또는/MAG
