# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.92
metadata : {}


# id : NWRW1800000053.92.1.1
용감해진 오스카, 트럼프에게 ‘한 방’ 먹였다

용감해진	용감하/VA+아/EC+지/VX+ㄴ/ETM
오스카,	오스카/NNP+,/SP
트럼프에게	트럼프/NNP+에게/JKB
‘한	‘/SS+한/MMN
방’	방/NNB+’/SS
먹였다	먹이/VV+었/EP+다/EF


# id : NWRW1800000053.92.2.1
제89회 아카데미상 시상식

제89회	제/XPN+89/SN+회/NNB
아카데미상	아카데미/NNG+상/NNG
시상식	시상식/NNG


# id : NWRW1800000053.92.3.1
올해 아카데미 시상식은 ‘과감한 선택’이 돋보였다.

올해	올해/NNG
아카데미	아카데미/NNG
시상식은	시상식/NNG+은/JX
‘과감한	‘/SS+과감하/VA+ㄴ/ETM
선택’이	선택/NNG+’/SS+이/JKS
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.4.1
27일 오전(한국 시간) 열린 제89회 아카데미 시상식의 작품상은 흑인 아이의 성장기를 다룬 흑인 감독 배리 젱킨스(41)의 ‘문라이트’에 돌아갔다.

27일	27/SN+일/NNB
오전(한국	오전/NNG+(/SS+한국/NNP
시간)	시간/NNG+)/SS
열린	열리/VV+ㄴ/ETM
제89회	제/XPN+89/SN+회/NNB
아카데미	아카데미/NNG
시상식의	시상식/NNG+의/JKG
작품상은	작품상/NNG+은/JX
흑인	흑인/NNG
아이의	아이/NNG+의/JKG
성장기를	성장기/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
감독	감독/NNG
배리	배리/NNP
젱킨스(41)의	젱킨스/NNP+(/SS+41/SN+)/SS+의/JKG
‘문라이트’에	‘/SS+문라이트/NNG+’/SS+에/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.4.2
감독상은 ‘라라랜드’의 데이미언 셔젤 감독(32)이 수상하면서 역대 최연소 감독상 수상자로 기록됐다.

감독상은	감독상/NNG+은/JX
‘라라랜드’의	‘/SS+라라랜드/NNP+’/SS+의/JKG
데이미언	데이미언/NNP
셔젤	셔젤/NNP
감독(32)이	감독/NNG+(/SS+32/SN+)/SS+이/JKS
수상하면서	수상/NNG+하/XSV+면서/EC
역대	역대/NNG
최연소	최/XPN+연소/NNG
감독상	감독상/NNG
수상자로	수상자/NNG+로/JKB
기록됐다.	기록/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.4.3
남녀 조연상도 모두 흑인 배우에게 돌아가는 등 아카데미 최초, 최연소 기록이 여럿 나왔다.

남녀	남녀/NNG
조연상도	조연상/NNG+도/JX
모두	모두/MAG
흑인	흑인/NNG
배우에게	배우/NNG+에게/JKB
돌아가는	돌아가/VV+는/ETM
등	등/NNB
아카데미	아카데미/NNG
최초,	최초/NNG+,/SP
최연소	최/XPN+연소/NNG
기록이	기록/NNG+이/JKS
여럿	여럿/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.92.5.1
○ 역대 가장 정치적인 시상식

○	○/SW
역대	역대/NNG
가장	가장/MAG
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
시상식	시상식/NNG


# id : NWRW1800000053.92.6.1
스타들의 ‘트럼프 저격’ 발언은 이전 다른 시상식들에 비해 적었지만, 수상작과 수상자 면면에서 ‘반(反)트럼프’의 메시지가 강하게 느껴졌다.

스타들의	스타/NNG+들/XSN+의/JKG
‘트럼프	‘/SS+트럼프/NNP
저격’	저격/NNG+’/SS
발언은	발언/NNG+은/JX
이전	이전/NNG
다른	다른/MMD
시상식들에	시상식/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
적었지만,	적/VA+었/EP+지만/EC+,/SP
수상작과	수상작/NNG+과/JC
수상자	수상자/NNG
면면에서	면면/NNG+에서/JKB
‘반(反)트럼프’의	‘/SS+반/XPN+(/SS+反/SH+)/SS+트럼프/NNP+’/SS+의/JKG
메시지가	메시지/NNG+가/JKS
강하게	강하/VA+게/EC
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.92.7.1
흑인 아이가 청년으로 커가며 겪는 정체성 혼란을 다룬 ‘문라이트’가 작품상을 수상한 것이 대표적이다.

흑인	흑인/NNG
아이가	아이/NNG+가/JKS
청년으로	청년/NNG+으로/JKB
커가며	크/VA+어/EC+가/VX+며/EC
겪는	겪/VV+는/ETM
정체성	정체/NNG+성/XSN
혼란을	혼란/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
‘문라이트’가	‘/SS+문라이트/NNG+’/SS+가/JKS
작품상을	작품상/NNG+을/JKO
수상한	수상/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000053.92.7.2
배우 브래드 피트가 제작자로 참여한 흑인 동성애자가 주인공인 이 영화는 반트럼프 정서가 높아진 미국 사회에 큰 반향을 일으켰다.

배우	배우/NNG
브래드	브래드/NNP
피트가	피트/NNP+가/JKS
제작자로	제작자/NNG+로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
흑인	흑인/NNG
동성애자가	동성애자/NNG+가/JKS
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
이	이/MMD
영화는	영화/NNG+는/JX
반트럼프	반/XPN+트럼프/NNP
정서가	정서/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
미국	미국/NNP
사회에	사회/NNG+에/JKB
큰	크/VA+ㄴ/ETM
반향을	반향/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.7.3
작품에 출연한 흑인 배우 마허샬라 알리(43)는 무슬림 배우로선 최초로 남우조연상을 거머쥐었다.

작품에	작품/NNG+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
흑인	흑인/NNG
배우	배우/NNG
마허샬라	마허샬라/NNP
알리(43)는	알리/NNP+(/SS+43/SN+)/SS+는/JX
무슬림	무슬림/NNG
배우로선	배우/NNG+로서/JKB+ㄴ/JX
최초로	최초/NNG+로/JKB
남우조연상을	남우/NNG+조연상/NNG+을/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.8.1
이날 미국 로스앤젤레스 할리우드 돌비극장에서 열린 시상식에서 사회를 맡은 코미디언 지미 키멀은 오프닝에서부터 트럼프 대통령을 꼬집었다.

이날	이날/NNG
미국	미국/NNP
로스앤젤레스	로스앤젤레스/NNP
할리우드	할리우드/NNP
돌비극장에서	돌비극장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
시상식에서	시상식/NNG+에서/JKB
사회를	사회/NNG+를/JKO
맡은	맡/VV+은/ETM
코미디언	코미디언/NNG
지미	지미/NNP
키멀은	키멀/NNP+은/JX
오프닝에서부터	오프닝/NNG+에서부터/JKB
트럼프	트럼프/NNP
대통령을	대통령/NNG+을/JKO
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.8.2
“지난해 오스카상이 인종차별적으로 보였지만 올해는 그게 사라졌다.

“지난해	“/SS+지난해/NNG
오스카상이	오스카/NNP+상/NNG+이/JKS
인종차별적으로	인종/NNG+차별/NNG+적/XSN+으로/JKB
보였지만	보이/VV+었/EP+지만/EC
올해는	올해/NNG+는/JX
그게	그거/NP+이/JKS
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.92.8.3
(아카데미가 ‘차별 반대’ 목소리를 내게 한) 트럼프 대통령께 감사 드린다”고 비꼬았다.

(아카데미가	(/SS+아카데미/NNG+가/JKS
‘차별	‘/SS+차별/NNG
반대’	반대/NNG+’/SS
목소리를	목소리/NNG+를/JKO
내게	내/VV+게/EC
