# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.306
metadata : {}


# id : NWRW1800000037.306.1.1
[오늘과 내일/이진녕]거짓말의 늪에 빠진 대화록

[오늘과	[/SS+오늘/NNG+과/JC
내일/이진녕]거짓말의	내일/NNG+//SP+이진녕/NNP+]/SS+거짓말/NNG+의/JKG
늪에	늪/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
대화록	대화록/NNG


# id : NWRW1800000037.306.2.1
노무현 전 대통령은 김정일과의 정상회담 대화록을 왜 국가기록원으로 보내지 않았을까.

노무현	노무현/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
김정일과의	김정일/NNP+과/JKB+의/JKG
정상회담	정상/NNG+회담/NNG
대화록을	대화록/NNG+을/JKO
왜	왜/MAG
국가기록원으로	국가/NNG+기록원/NNG+으로/JKB
보내지	보내/VV+지/EC
않았을까.	않/VX+았/EP+을까/EF+./SF


# id : NWRW1800000037.306.2.2
친노(친노무현)와 민주당 사람들은 그것을 노 전 대통령의 선의(善意)로 포장한다.

친노(친노무현)와	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS+와/JC
민주당	민주당/NNP
사람들은	사람/NNG+들/XSN+은/JX
그것을	그것/NP+을/JKO
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
선의(善意)로	선의/NNG+(/SS+善意/SH+)/SS+로/JKB
포장한다.	포장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.306.2.3
대화록을 국가기록원에 보내면 국가정보원이 갖고 있는 대화록도 대통령 지정 기록물 취급을 받아 그것마저 후임 대통령들이 최소 15년, 최대 30년간 볼 수 없게 되기에 그런 상황을 막아주기 위한 배려였다고 말한다.

대화록을	대화록/NNG+을/JKO
국가기록원에	국가/NNG+기록원/NNG+에/JKB
보내면	보내/VV+면/EC
국가정보원이	국가/NNG+정보원/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
대화록도	대화록/NNG+도/JX
대통령	대통령/NNG
지정	지정/NNG
기록물	기록물/NNG
취급을	취급/NNG+을/JKO
받아	받/VV+아/EC
그것마저	그것/NP+마저/JX
후임	후임/NNG
대통령들이	대통령/NNG+들/XSN+이/JKS
최소	최소/NNG
15년,	15/SN+년/NNB+,/SP
최대	최대/NNG
30년간	30/SN+년/NNB+간/XSN
볼	보/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
되기에	되/VV+기/ETN+에/JKB
그런	그런/MMD
상황을	상황/NNG+을/JKO
막아주기	막/VV+아/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
배려였다고	배려/NNG+이/VCP+었/EP+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.306.3.1
그럴싸하다.

그럴싸하다.	그럴싸하/VA+다/EF+./SF


# id : NWRW1800000037.306.3.2
그러나 이 주장은 터무니없다.

그러나	그러나/MAJ
이	이/MMD
주장은	주장/NNG+은/JX
터무니없다.	터무니없/VA+다/EF+./SF


# id : NWRW1800000037.306.3.3
