# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.286
metadata : {}


# id : NWRW1800000036.286.1.1
빅초이, 기아 떠나나

빅초이,	빅초이/NNP+,/SP
기아	기아/NNP
떠나나	떠나/VV+나/EF


# id : NWRW1800000036.286.2.1
[한겨레] 감기 이유 팀훈련 계속 불참…구단 “합류 설득중”

[한겨레]	[/SS+한겨레/NNP+]/SS
감기	감기/NNG
이유	이유/NNG
팀훈련	팀/NNG+훈련/NNG
계속	계속/MAG
불참…구단	불참/NNG+…/SE+구단/NNG
“합류	“/SS+합류/NNG
설득중”	설득/NNG+중/NNB+”/SS


# id : NWRW1800000036.286.3.1
‘빅초이’가 심상찮다.

‘빅초이’가	‘/SS+빅초이/NNP+’/SS+가/JKS
심상찮다.	심상하/VA+지/EC+않/VX+다/EF+./SF


# id : NWRW1800000036.286.4.1
최희섭(33·KIA·사진)은 12일에도 팀훈련에 불참했다.

최희섭(33·KIA·사진)은	최희섭/NNP+(/SS+33/SN+·/SP+KIA/SL+·/SP+사진/NNG+)/SS+은/JX
12일에도	12/SN+일/NNB+에/JKB+도/JX
팀훈련에	팀/NNG+훈련/NNG+에/JKB
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.286.4.2
새해 첫 훈련 시작일(8일)에 선동열 감독을 잠깐 만나 “감기몸살이 심하다”고 양해를 구하고 병원으로 간 뒤 광주구장에 다시 모습을 나타내지 않고 있다.

새해	새해/NNG
첫	첫/MMN
훈련	훈련/NNG
시작일(8일)에	시작일/NNG+(/SS+8/SN+일/NNB+)/SS+에/JKB
선동열	선동열/NNP
감독을	감독/NNG+을/JKO
잠깐	잠깐/MAG
만나	만나/VV+아/EC
“감기몸살이	“/SS+감기/NNG+몸살/NNG+이/JKS
심하다”고	심하/VA+다/EF+”/SS+고/JKQ
양해를	양해/NNG+를/JKO
구하고	구하/VV+고/EC
병원으로	병원/NNG+으로/JKB
간	가/VV+ㄴ/ETM
뒤	뒤/NNG
광주구장에	광주구장/NNP+에/JKB
다시	다시/MAG
모습을	모습/NNG+을/JKO
나타내지	나타내/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.286.4.3
6일 열린 선수단 워크숍에도 불참한 터.

6일	6/SN+일/NNB
열린	열리/VV+ㄴ/ETM
선수단	선수단/NNG
워크숍에도	워크숍/NNG+에/JKB+도/JX
불참한	불참/NNG+하/XSV+ㄴ/ETM
터.	터/NNB+./SF


# id : NWRW1800000036.286.4.4
표면적인 이유는 지독한 감기몸살로 인한 컨디션 저하지만 마음의 상처가 더 커 보인다.

표면적인	표면/NNG+적/XSN+이/VCP+ㄴ/ETM
이유는	이유/NNG+는/JX
지독한	지독하/VA+ㄴ/ETM
감기몸살로	감기/NNG+몸살/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
컨디션	컨디션/NNG
저하지만	저하/NNG+이/VCP+지만/EC
마음의	마음/NNG+의/JKG
상처가	상처/NNG+가/JKS
더	더/MAG
커	크/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.286.5.1
한국인 첫 메이저리그 타자였던 최희섭은 2006년 말 많은 기대 속에 국내 야구로 돌아왔다.

한국인	한국인/NNG
첫	첫/MMN
메이저리그	메이저리그/NNG
타자였던	타자/NNG+이/VCP+었/EP+던/ETM
최희섭은	최희섭/NNP+은/JX
2006년	2006/SN+년/NNB
말	말/NNG
많은	많/VA+은/ETM
기대	기대/NNG
속에	속/NNG+에/JKB
국내	국내/NNG
야구로	야구/NNG+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.286.5.2
2009년에는 김상현과 ‘CK포’를 결성해 기아의 한국시리즈 우승을 이끌기도 했다.

2009년에는	2009/SN+년/NNB+에/JKB+는/JX
김상현과	김상현/NNP+과/JKB
‘CK포’를	‘/SS+CK/SL+포/NNG+’/SS+를/JKO
결성해	결성/NNG+하/XSV+아/EC
기아의	기아/NNP+의/JKG
한국시리즈	한국/NNP+시리즈/NNG
우승을	우승/NNG+을/JKO
이끌기도	이끌/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.286.6.1
하지만 지난 시즌에는 허리 통증과 발가락 미세 골절 등으로 70경기밖에 소화하지 못했다.

