# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.357
metadata : {}


# id : NWRW1800000030.357.1.1
[호남] 전북, 지자체서 취약계층 심부름 맡기로

[호남]	[/SS+호남/NNP+]/SS
전북,	전북/NNP+,/SP
지자체서	지자체/NNG+서/JKB
취약계층	취약/NNG+계층/NNG
심부름	심부름/NNG
맡기로	맡/VV+기/ETN+로/JKB


# id : NWRW1800000030.357.2.1
•전주 등 5개 시군 2월부터 1577-1966로 '토털서비스'

•전주	•/SW+전주/NNP
등	등/NNB
5개	5/SN+개/NNB
시군	시군/NNG
2월부터	2/SN+월/NNB+부터/JX
1577-1966로	1577/SN+-/SO+1966/SN+로/JKB
'토털서비스'	'/SS+토털/NNG+서비스/NNG+'/SS


# id : NWRW1800000030.357.3.1
홀로 사는 노인이나 장애인 등 처지가 어려울수록 절실한 게 심부름 서비스.

홀로	홀로/MAG
사는	살/VV+는/ETM
노인이나	노인/NNG+이나/JC
장애인	장애인/NNG
등	등/NNB
처지가	처지/NNG+가/JKS
어려울수록	어렵/VA+ㄹ수록/EC
절실한	절실하/VA+ㄴ/ETM
게	거/NNB+이/JKS
심부름	심부름/NNG
서비스.	서비스/NNG+./SF


# id : NWRW1800000030.357.3.2
전북도가 내달 1일 전주·익산·정읍·김제시와 진안군 등 5곳에 이들을 위한 무료 심부름센터를 연다.

전북도가	전북도/NNP+가/JKS
내달	내달/NNG
1일	1/SN+일/NNB
전주·익산·정읍·김제시와	전주/NNP+·/SP+익산/NNP+·/SP+정읍/NNP+·/SP+김제시/NNP+와/JC
진안군	진안군/NNP
등	등/NNB
5곳에	5/SN+곳/NNG+에/JKB
이들을	이/NP+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
무료	무료/NNG
심부름센터를	심부름센터/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.357.3.3
지자체가 개설하는 첫 '맞춤형 토털서비스센터'로 전화(1577-1966) 한 통화면 심부름뿐 아니라 생활에 필요한 여러 서비스를 제공한다고 도는 밝혔다.

지자체가	지자체/NNG+가/JKS
개설하는	개설/NNG+하/XSV+는/ETM
첫	첫/MMN
'맞춤형	'/SS+맞춤/NNG+형/XSN
토털서비스센터'로	토털/NNG+서비스/NNG+센터/NNG+'/SS+로/JKB
전화(1577-1966)	전화/NNG+(/SS+1577/SN+-/SO+1966/SN+)/SS
한	한/MMN
통화면	통화/NNG+이/VCP+면/EC
심부름뿐	심부름/NNG+뿐/JX
아니라	아니/VCN+라/EC
생활에	생활/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
여러	여러/MMN
서비스를	서비스/NNG+를/JKO
제공한다고	제공/NNG+하/XSV+ㄴ다고/EC
도는	도/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.357.4.1
센터는 기초생활수급자, 그리고 차상위계층 가운데 독거노인과 장애인·소년소녀가장·한부모·조손(祖孫)가족이 이용할 수 있다.

센터는	센터/NNG+는/JX
기초생활수급자,	기초/NNG+생활/NNG+수급자/NNG+,/SP
그리고	그리고/MAJ
차상위계층	차상위/NNG+계층/NNG
가운데	가운데/NNG
독거노인과	독거노인/NNG+과/JC
장애인·소년소녀가장·한부모·조손(祖孫)가족이	장애인/NNG+·/SP+소년/NNG+소녀/NNG+가장/NNG+·/SP+한/MMN+부모/NNG+·/SP+조손/NNG+(/SS+祖孫/SH+)/SS+가족/NNG+이/JKS
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.357.4.2
시·군 사회복지협의회가 운영을 맡으면서 심부름꾼으로 사회복지사 3명씩을 공채했다.

시·군	시·군/NNG
사회복지협의회가	사회/NNG+복지/NNG+협의회/NNG+가/JKS
운영을	운영/NNG+을/JKO
맡으면서	맡/VV+으면서/EC
심부름꾼으로	심부름/NNG+꾼/XSN+으로/JKB
사회복지사	사회/NNG+복지사/NNG
3명씩을	3/SN+명/NNB+씩/XSN+을/JKO
공채했다.	공채/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.357.4.3
센터마다 올해 도(30%) 및 시군(70%) 예산에서 인건비 및 운영비로 6000만원을 배정했고 모자란 예산은 지역사회 사회복지협의회가 기부금 등으로 충당한다.

센터마다	센터/NNG+마다/JX
올해	올해/NNG
도(30%)	도/NNG+(/SS+30/SN+%/SW+)/SS
및	및/MAG
시군(70%)	시군/NNG+(/SS+70/SN+%/SW+)/SS
예산에서	예산/NNG+에서/JKB
인건비	인건비/NNG
운영비로	운영비/NNG+로/JKB
6000만원을	6000/SN+만/NR+원/NNB+을/JKO
배정했고	배정/NNG+하/XSV+았/EP+고/EC
모자란	모자라/VV+ㄴ/ETM
예산은	예산/NNG+은/JX
지역사회	지역/NNG+사회/NNG
사회복지협의회가	사회/NNG+복지/NNG+협의회/NNG+가/JKS
기부금	기부금/NNG
등으로	등/NNB+으로/JKB
충당한다.	충당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.357.5.1
센터들은 운영비를 절감키 위해 사회복지협의회와 한 사무실을 쓰면서 전화와 전산망, 책걸상도 공동 활용한다.

센터들은	센터/NNG+들/XSN+은/JX
운영비를	운영비/NNG+를/JKO
절감키	절감/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
사회복지협의회와	사회/NNG+복지/NNG+협의회/NNG+와/JC
한	한/MMN
사무실을	사무실/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
전화와	전화/NNG+와/JC
전산망,	전산망/NNG+,/SP
책걸상도	책걸상/NNG+도/JX
공동	공동/NNG
활용한다.	활용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.357.5.2
진안군의 경우 지난 25일 진안읍 군하리 월랑아파트 상가에 센터를 열었다.

진안군의	진안군/NNP+의/JKG
경우	경우/NNG
지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
진안읍	진안읍/NNP
군하리	군하리/NNP
월랑아파트	월랑아파트/NNP
상가에	상가/NNG+에/JKB
센터를	센터/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.357.5.3
송상모 진안군 사회복지협의회장은 "북부 용담면에 복지사 1인을 상주케 하는 등 넓은 지역을 세 권역으로 나눠 1인씩 전담케 했다"며 "산골 마을을 돌기 위해 스쿠터 2대도 곧 장만할 예정"이라고 했다.

송상모	송상모/NNP
진안군	진안군/NNP
사회복지협의회장은	사회복지협의회장/NNG+은/JX
"북부	"/SS+북부/NNG
용담면에	용담면/NNP+에/JKB
복지사	복지사/NNG
1인을	1/SN+인/NNG+을/JKO
상주케	상주/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
등	등/NNB
넓은	넓/VA+은/ETM
지역을	지역/NNG+을/JKO
세	세/MMN
권역으로	권역/NNG+으로/JKB
나눠	나누/VV+어/EC
1인씩	1/SN+인/NNG+씩/XSN
전담케	전담/NNG+하/XSV+게/EC
했다"며	하/VX+았/EP+다/EF+"/SS+며/EC
"산골	"/SS+산골/NNG
마을을	마을/NNG+을/JKO
돌기	돌/VV+기/ETN
위해	위하/VV+아/EC
스쿠터	스쿠터/NNG
2대도	2/SN+대/NNB+도/JX
곧	곧/MAG
장만할	장만/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.357.6.1
사회복지사들은 '찾아가는 돌보미'로서 심부름을 해주면서 취약계층이 겪는 여러 어려움들도 보살핀다.

사회복지사들은	사회/NNG+복지사/NNG+들/XSN+은/JX
'찾아가는	'/SS+찾아가/VV+는/ETM
돌보미'로서	돌보미/NNG+'/SS+로서/JKB
심부름을	심부름/NNG+을/JKO
해주면서	하/VV+아/EC+주/VX+면서/EC
취약계층이	취약/NNG+계층/NNG+이/JKS
겪는	겪/VV+는/ETM
여러	여러/MMN
어려움들도	어려움/NNG+들/XSN+도/JX
보살핀다.	보살피/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.357.6.2
심부름 사전 예약을 받으면서 취약계층 DB도 구축, 유기적이고 능률적인 서비스를 펼치려 한다.

심부름	심부름/NNG
사전	사전/NNG
예약을	예약/NNG+을/JKO
받으면서	받/VV+으면서/EC
취약계층	취약/NNG+계층/NNG
DB도	DB/SL+도/JX
구축,	구축/NNG+,/SP
유기적이고	유기/NNG+적/XSN+이/VCP+고/EC
능률적인	능률/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
펼치려	펼치/VV+려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.357.6.3
도 송근섭 복지일자리담당은 "사회복지협의회를 중심으로 시군 봉사네트워크가 모두 가동돼 복지의 빈틈을 채워주면서 대청소나 집수리 등에 봉사 일손이나 기술 인력도 보낸다"고 말했다.

도	도/NNG
송근섭	송근섭/NNP
복지일자리담당은	복지/NNG+일자리/NNG+담당/NNG+은/JX
"사회복지협의회를	"/SS+사회/NNG+복지/NNG+협의회/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
시군	시군/NNG
봉사네트워크가	봉사/NNG+네트워크/NNG+가/JKS
모두	모두/MAG
가동돼	가동/NNG+되/XSV+어/EC
복지의	복지/NNG+의/JKG
빈틈을	빈틈/NNG+을/JKO
채워주면서	채우/VV+어/EC+주/VX+면서/EC
대청소나	대/XPN+청소/NNG+나/JC
집수리	집수리/NNG
등에	등/NNB+에/JKB
봉사	봉사/NNG
일손이나	일손/NNG+이나/JC
기술	기술/NNG
인력도	인력/NNG+도/JX
보낸다"고	보내/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.357.7.1
이 사업은 지난해 전북도청 '일자리 아이디어 공모'에서 '최우수작품'으로 선정됐다.

이	이/MMD
사업은	사업/NNG+은/JX
지난해	지난해/NNG
전북도청	전북도청/NNP
'일자리	'/SS+일자리/NNG
아이디어	아이디어/NNG
공모'에서	공모/NNG+'/SS+에서/JKB
'최우수작품'으로	'/SS+최/XPN+우수/NNG+작품/NNG+'/SS+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.357.7.2
도는 공모에 의해 시범 센터를 확정했다.

도는	도/NNG+는/JX
공모에	공모/NNG+에/JKB
의해	의하/VV+아/EC
시범	시범/NNG
센터를	센터/NNG+를/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.357.7.3
진안군은 센터를 준비해오다가 도 시책과 맞아떨어져 군 가운데 유일하게 선정됐다.

진안군은	진안군/NNP+은/JX
센터를	센터/NNG+를/JKO
준비해오다가	준비/NNG+하/XSV+아/EC+오/VX+다가/EC
도	도/NNG
시책과	시책/NNG+과/JKB
맞아떨어져	맞아떨어지/VV+어/EC
군	군/NNG
가운데	가운데/NNG
유일하게	유일/NNG+하/XSA+게/EC
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.357.7.4
군산시도 5개 시·군과 함께 공모에 선정됐고, 추경에서 예산을 확보해 센터를 열 계획이다.

군산시도	군산시/NNP+도/JX
5개	5/SN+개/NNB
시·군과	시·군/NNG+과/JKB
함께	함께/MAG
공모에	공모/NNG+에/JKB
선정됐고,	선정/NNG+되/XSV+었/EP+고/EC+,/SP
추경에서	추경/NNG+에서/JKB
예산을	예산/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
센터를	센터/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.357.8.1
도는 센터 운영 모델 프로그램을 세우면서 이 서비스를 내년 이후 14개 전 시군으로 확대할 방침이다.

도는	도/NNG+는/JX
센터	센터/NNG
운영	운영/NNG
모델	모델/NNG
프로그램을	프로그램/NNG+을/JKO
세우면서	세우/VV+면서/EC
이	이/MMD
서비스를	서비스/NNG+를/JKO
내년	내년/NNG
이후	이후/NNG
14개	14/SN+개/NNB
전	전/MMN
시군으로	시군/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


