# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.252
metadata : {}


# id : NWRW1800000036.252.1.1
세 아들 데리고 가출한 엄마, 베개로…

세	세/MMN
아들	아들/NNG
데리고	데리/VV+고/EC
가출한	가출/NNG+하/XSV+ㄴ/ETM
엄마,	엄마/NNG+,/SP
베개로…	베개/NNG+로/JKB+…/SE


# id : NWRW1800000036.252.2.1
[한겨레] 살해혐의 구속…주검 이불 덮은채 침대에 나란히 누워있어

[한겨레]	[/SS+한겨레/NNP+]/SS
살해혐의	살해/NNG+혐의/NNG
구속…주검	구속/NNG+…/SE+주검/NNG
이불	이불/NNG
덮은채	덮/VV+은/ETM+채/NNB
침대에	침대/NNG+에/JKB
나란히	나란히/MAG
누워있어	눕/VV+어/EC+있/VX+어/EF


# id : NWRW1800000036.252.3.1
돈을 자주 빌려 쓴다는 이유로 남편과 다툰 30대 여성이 어린 아들 3명을 데리고 가출한 뒤 아들들을 모두 살해한 일이 벌어졌다.

돈을	돈/NNG+을/JKO
자주	자주/MAG
빌려	빌리/VV+어/EC
쓴다는	쓰/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
남편과	남편/NNG+과/JKB
다툰	다투/VV+ㄴ/ETM
30대	30/SN+대/NNB
여성이	여성/NNG+이/JKS
어린	어리/VA+ㄴ/ETM
아들	아들/NNG
3명을	3/SN+명/NNB+을/JKO
데리고	데리/VV+고/EC
가출한	가출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
아들들을	아들/NNG+들/XSN+을/JKO
모두	모두/MAG
살해한	살해/NNG+하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.252.4.1
경기도 안양동안경찰서는 김아무개(38)씨를 살인 혐의로 긴급체포해 조사중이라고 10일 밝혔다.

경기도	경기도/NNP
안양동안경찰서는	안양동안경찰서/NNP+는/JX
김아무개(38)씨를	김/NNP+아무개/NP+(/SS+38/SN+)/SS+씨/NNB+를/JKO
살인	살인/NNG
혐의로	혐의/NNG+로/JKB
긴급체포해	긴급/NNG+체포/NNG+하/XSV+아/EC
조사중이라고	조사/NNG+중/NNB+이/VCP+라고/EC
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.252.4.2
김씨는 지난 6일 오후 안양시 동안구 관양동 모텔에서 자신의 3살, 5살, 8살 난 아들 3명을 각각 베개로 눌러 살해한 혐의를 받고 있다.

김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
오후	오후/NNG
안양시	안양시/NNP
동안구	동안구/NNP
관양동	관양동/NNP
모텔에서	모텔/NNG+에서/JKB
자신의	자신/NNG+의/JKG
3살,	3/SN+살/NNB+,/SP
5살,	5/SN+살/NNB+,/SP
8살	8/SN+살/NNB
난	나/VV+ㄴ/ETM
아들	아들/NNG
3명을	3/SN+명/NNB+을/JKO
각각	각각/MAG
베개로	베개/NNG+로/JKB
눌러	누르/VV+어/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.252.5.1
지난 5일 낮 12시께 아이들을 데리고 서울 관악구 집을 나선 김씨는 가출 하루 만에 아이들을 살해한 뒤 나흘 동안 모텔에서 투숙하고 있다가 10일 오후 1시20분께 경찰에 붙잡혔다.

지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
낮	낮/NNG
12시께	12/SN+시/NNB+께/XSN
아이들을	아이/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
서울	서울/NNP
관악구	관악구/NNP
집을	집/NNG+을/JKO
나선	나서/VV+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
가출	가출/NNG
하루	하루/NNG
만에	만/NNB+에/JKB
살해한	살해/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
나흘	나흘/NNG
동안	동안/NNG
모텔에서	모텔/NNG+에서/JKB
투숙하고	투숙/NNG+하/XSV+고/EC
있다가	있/VX+다가/EC
10일	10/SN+일/NNB
오후	오후/NNG
1시20분께	1/SN+시/NNB+20/SN+분/NNB+께/XSN
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.252.6.1
발견 당시 숨진 아들 3명은 객실 침대에 이불을 덮은 채 나란히 누워 있었고, 엄마 김씨는 쪼그리고 앉아 멍하니 숨진 아이들을 지켜보고 있었다고 경찰은 전했다.

발견	발견/NNG
당시	당시/NNG
숨진	숨지/VV+ㄴ/ETM
아들	아들/NNG
