# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.405
metadata : {}


# id : NWRW1800000054.405.1.1
北은 도발 수위 높여가는데… "대화로 풀자"는 메시지 반복

北은	北/SH+은/JX
도발	도발/NNG
수위	수위/NNG
높여가는데…	높이/VV+어/EC+가/VX+는데/EC+…/SE
"대화로	"/SS+대화/NNG+로/JKB
풀자"는	풀/VV+자/EF+"/SS+는/ETM
메시지	메시지/NNG
반복	반복/NNG


# id : NWRW1800000054.405.2.1
南北관계와 안보… 文대통령, 베를린 구상 이어 광복절 축사까지 '對北 해법' 불변

南北관계와	南北/SH+관계/NNG+와/JC
안보…	안보/NNG+…/SE
文대통령,	文/SH+대통령/NNG+,/SP
베를린	베를린/NNP
구상	구상/NNG
이어	잇/VV+어/EC
광복절	광복절/NNG
축사까지	축사/NNG+까지/JX
'對北	'/SS+對北/SH
해법'	해법/NNG+'/SS
불변	불변/NNG


# id : NWRW1800000054.405.3.1
문재인 대통령은 15일 광복절 경축사에서 북한 문제와 관련한 기존의 대화 제안을 반복하며 새로운 해법이나 제안은 내놓지 않았다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
광복절	광복절/NNG
경축사에서	경축사/NNG+에서/JKB
북한	북한/NNP
문제와	문제/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
기존의	기존/NNG+의/JKG
대화	대화/NNG
제안을	제안/NNG+을/JKO
반복하며	반복/NNG+하/XSV+며/EC
새로운	새롭/VA+ㄴ/ETM
해법이나	해법/NNG+이나/JC
제안은	제안/NNG+은/JX
내놓지	내놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.405.3.2
'전쟁 반대'라는 구호는 있었지만 북핵 문제가 대화로 해결되지 않을 경우에 대한 해법 제시는 없었다.

'전쟁	'/SS+전쟁/NNG
반대'라는	반대/NNG+'/SS+이/VCP+라는/ETM
구호는	구호/NNG+는/JX
있었지만	있/VA+었/EP+지만/EC
북핵	북핵/NNG
문제가	문제/NNG+가/JKS
대화로	대화/NNG+로/JKB
해결되지	해결/NNG+되/XSV+지/EC
않을	않/VX+을/ETM
경우에	경우/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해법	해법/NNG
제시는	제시/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.405.3.3
최근 몇 달간 북한이 대륙간탄도미사일(ICBM)을 2차례 발사하는 등 한반도 정세는 급격히 악화됐지만, 문 대통령의 대북 정책은 여전히 '6·15 선언 17주년 축사', '7월 베를린 구상'에 머물러 있다는 지적이 나온다.

최근	최근/NNG
몇	몇/NR
달간	달/NNB+간/XSN
북한이	북한/NNP+이/JKS
대륙간탄도미사일(ICBM)을	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS+을/JKO
2차례	2/SN+차례/NNG
발사하는	발사/NNG+하/XSV+는/ETM
등	등/NNB
한반도	한반도/NNP
정세는	정세/NNG+는/JX
급격히	급격히/MAG
악화됐지만,	악화/NNG+되/XSV+었/EP+지만/EC+,/SP
문	문/NNP
대통령의	대통령/NNG+의/JKG
대북	대북/NNG
정책은	정책/NNG+은/JX
여전히	여전히/MAG
'6·15	'/SS+6/SN+·/SP+15/SN
선언	선언/NNG
17주년	17/SN+주년/NNB
축사',	축사/NNG+'/SS+,/SP
'7월	'/SS+7/SN+월/NNB
베를린	베를린/NNP
구상'에	구상/NNG+'/SS+에/JKB
머물러	머무르/VV+어/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.405.4.1
문 대통령이 이번 경축사에서 두드러지게 강조한 것은 '평화'와 '전쟁 반대'다.

문	문/NNP
대통령이	대통령/NNG+이/JKS
이번	이번/NNG
경축사에서	경축사/NNG+에서/JKB
두드러지게	두드러지/VV+게/EC
강조한	강조/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
'평화'와	'/SS+평화/NNG+'/SS+와/JC
'전쟁	'/SS+전쟁/NNG
반대'다.	반대/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.405.4.2
문 대통령은 "한반도에서 또다시 전쟁은 안 된다"며 "한반도에서의 군사행동은 대한민국만이 결정할 수 있고, 누구도 대한민국의 동의 없이 군사행동을 결정할 수 없다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
"한반도에서	"/SS+한반도/NNP+에서/JKB
또다시	또다시/MAG
전쟁은	전쟁/NNG+은/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"한반도에서의	"/SS+한반도/NNP+에서/JKB+의/JKG
군사행동은	군사/NNG+행동/NNG+은/JX
대한민국만이	대한민국/NNP+만/JX+이/JKS
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
누구도	누구/NP+도/JX
대한민국의	대한민국/NNP+의/JKG
동의	동의/NNG
없이	없이/MAG
군사행동을	군사/NNG+행동/NNG+을/JKO
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.4.3
"우리와 미국 정부의 입장이 다르지 않다"며 여러 차례 한·미 동맹을 강조했지만, 우회적으로 미국의 무력 행동 시사에 대한 우려와 반대를 표명한 것으로 해석됐다.

"우리와	"/SS+우리/NP+와/JC
미국	미국/NNP
정부의	정부/NNG+의/JKG
입장이	입장/NNG+이/JKS
다르지	다르/VA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
여러	여러/MMN
차례	차례/NNG
한·미	한·미/NNP
동맹을	동맹/NNG+을/JKO
강조했지만,	강조/NNG+하/XSV+았/EP+지만/EC+,/SP
우회적으로	우회/NNG+적/XSN+으로/JKB
미국의	미국/NNP+의/JKG
무력	무력/NNG
행동	행동/NNG
시사에	시사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려와	우려/NNG+와/JC
반대를	반대/NNG+를/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.405.4.4
문 대통령은 지난 7일 트럼프 대통령과의 통화에서도 "전쟁은 안 된다"고 했지만, 광복절 경축사에서는 한발 더 나가 "우리 동의 없이 누구도 군사행동을 결정할 수 없다"며 '선제타격' 주장과 분명하게 거리를 뒀다.

문	문/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
트럼프	트럼프/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
통화에서도	통화/NNG+에서/JKB+도/JX
"전쟁은	"/SS+전쟁/NNG+은/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
광복절	광복절/NNG
경축사에서는	경축사/NNG+에서/JKB+는/JX
한발	한발/MAG
더	더/MAG
나가	나가/VV+아/EC
"우리	"/SS+우리/NP
동의	동의/NNG
없이	없이/MAG
누구도	누구/NP+도/JX
군사행동을	군사/NNG+행동/NNG+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"며	없/VA+다/EF+"/SS+며/EC
'선제타격'	'/SS+선제/NNG+타격/NNG+'/SS
주장과	주장/NNG+과/JKB
분명하게	분명/MAG+하/XSA+게/EC
거리를	거리/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.405.5.1
하지만 대화 해법이 실패해 북이 핵보유국이 될 경우 최대 피해자가 될 국가의 대통령으로서 2차, 3차 대안은 제시하지 않았다.

하지만	하지만/MAJ
대화	대화/NNG
해법이	해법/NNG+이/JKS
실패해	실패/NNG+하/XSV+아/EC
북이	북/NNP+이/JKS
핵보유국이	핵보유국/NNG+이/JKC
될	되/VV+ㄹ/ETM
경우	경우/NNG
최대	최대/NNG
피해자가	피해자/NNG+가/JKC
국가의	국가/NNG+의/JKG
대통령으로서	대통령/NNG+으로서/JKB
2차,	2/SN+차/NNB+,/SP
3차	3/SN+차/NNB
대안은	대안/NNG+은/JX
제시하지	제시/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.405.5.2
전직 고위 외교관은 "문 대통령은 이전 대통령과 달리 핵무기와 운반수단(ICBM)을 동시에 쥔 북한과 마주하고 있다"며 "그렇기 때문에 '대화 실패' 이후의 대북정책에 대한 그림도 마련하고 이를 국민에게 밝힐 책임이 있다"고 했다.

전직	전직/NNG
고위	고위/NNG
외교관은	외교관/NNG+은/JX
"문	"/SS+문/NNP
대통령은	대통령/NNG+은/JX
이전	이전/NNG
대통령과	대통령/NNG+과/JKB
달리	달리/MAG
핵무기와	핵무기/NNG+와/JC
운반수단(ICBM)을	운반/NNG+수단/NNG+(/SS+ICBM/SL+)/SS+을/JKO
동시에	동시/NNG+에/JKB
쥔	쥐/VV+ㄴ/ETM
북한과	북한/NNP+과/JKB
마주하고	마주/MAG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그렇기	"/SS+그렇/VA+기/ETN
때문에	때문/NNB+에/JKB
'대화	'/SS+대화/NNG
실패'	실패/NNG+'/SS
이후의	이후/NNG+의/JKG
대북정책에	대북/NNG+정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
그림도	그림/NNG+도/JX
마련하고	마련/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
국민에게	국민/NNG+에게/JKB
밝힐	밝히/VV+ㄹ/ETM
책임이	책임/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.6.1
다른 내용은 기존의 문 대통령 입장과 달라진 것이 없다.

다른	다른/MMD
내용은	내용/NNG+은/JX
기존의	기존/NNG+의/JKG
문	문/NNP
대통령	대통령/NNG
입장과	입장/NNG+과/JKB
달라진	달라지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.405.6.2
문 대통령은 이날 북한에는 "이대로 간다면 북한에게는 국제적 고립과 어두운 미래가 있을 뿐"이라며 "북한에 대한 제재와 압박을 더욱 높여나가지 않을 수 없다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
북한에는	북한/NNP+에/JKB+는/JX
"이대로	"/SS+이대로/MAG
간다면	가/VV+ㄴ다면/EC
북한에게는	북한/NNP+에게/JKB+는/JX
국제적	국제/NNG+적/XSN
고립과	고립/NNG+과/JC
어두운	어둡/VA+ㄴ/ETM
미래가	미래/NNG+가/JKS
있을	있/VA+을/ETM
뿐"이라며	뿐/NNB+"/SS+이/VCP+라며/EC
"북한에	"/SS+북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
제재와	제재/NNG+와/JC
압박을	압박/NNG+을/JKO
더욱	더욱/MAG
높여나가지	높이/VV+어/EC+나가/VX+지/EC
않을	않/VX+을/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.6.3
과거에도 "북한은 핵개발을 포기하고 국제사회와 협력할 수 있는 길을 찾아야 한다(6·15 기념사)", "북한은 핵과 미사일 개발을 포기하고 국제사회와 협력할 수 있는 길을 찾아야 한다(7월 베를린 구상)"고 했었다.

과거에도	과거/NNG+에/JKB+도/JX
"북한은	"/SS+북한/NNP+은/JX
핵개발을	핵/NNG+개발/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
국제사회와	국제/NNG+사회/NNG+와/JKB
협력할	협력/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길을	길/NNG+을/JKO
찾아야	찾/VV+아야/EC
한다(6·15	하/VX+ㄴ다/EF+(/SS+6/SN+·/SP+15/SN
기념사)",	기념사/NNG+)/SS+"/SS+,/SP
핵과	핵/NNG+과/JC
미사일	미사일/NNG
개발을	개발/NNG+을/JKO
한다(7월	하/VX+ㄴ다/EF+(/SS+7/SN+월/NNB
베를린	베를린/NNP
구상)"고	구상/NNG+)/SS+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.405.7.1
'제재와 대화 병행론'도 그대로다.

'제재와	'/SS+제재/NNG+와/JC
대화	대화/NNG
병행론'도	병행/NNG+론/XSN+'/SS+도/JX
그대로다.	그대로/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.405.7.2
문 대통령은 이날 "제재와 대화는 선후(先後)의 문제가 아니다. 북한에 제재와 압박의 목적도 북한을 대화로 이끌어 내기 위한 것"이라고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
"제재와	"/SS+제재/NNG+와/JC
대화는	대화/NNG+는/JX
선후(先後)의	선후/NNG+(/SS+先後/SH+)/SS+의/JKG
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF
북한에	북한/NNP+에/JKB
제재와	제재/NNG+와/JC
압박의	압박/NNG+의/JKG
목적도	목적/NNG+도/JX
북한을	북한/NNP+을/JKO
대화로	대화/NNG+로/JKB
이끌어	이끌/VV+어/EC
내기	내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.7.3
"한반도 문제는 우리가 주도적으로 해결해야 한다"며 '운전석론'도 다시 강조했다.

"한반도	"/SS+한반도/NNP
문제는	문제/NNG+는/JX
우리가	우리/NP+가/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
해결해야	해결/NNG+하/XSV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
'운전석론'도	'/SS+운전석/NNG+론/XSN+'/SS+도/JX
다시	다시/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.7.4
문 대통령은 독일 연설에서 "우리가 운전석에 앉아 한반도 문제를 이끌겠다고 주장해왔고, 비로소 그 여건이 조성됐다"고 했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
독일	독일/NNP
연설에서	연설/NNG+에서/JKB
"우리가	"/SS+우리/NP+가/JKS
운전석에	운전석/NNG+에/JKB
앉아	앉/VV+아/EC
한반도	한반도/NNP
문제를	문제/NNG+를/JKO
이끌겠다고	이끌/VV+겠/EP+다고/EC
주장해왔고,	주장/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
비로소	비로소/MAG
그	그/MMD
여건이	여건/NNG+이/JKS
조성됐다"고	조성/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.7.5
하지만 귀국 후 국무회의에서는 "한반도의 문제에서 현실적으로 우리에게 해결할 힘이 없다"며 '현실론'을 내비쳤다.

하지만	하지만/MAJ
귀국	귀국/NNG
후	후/NNG
국무회의에서는	국무/NNG+회의/NNG+에서/JKB+는/JX
"한반도의	"/SS+한반도/NNP+의/JKG
문제에서	문제/NNG+에서/JKB
현실적으로	현실/NNG+적/XSN+으로/JKB
우리에게	우리/NP+에게/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
힘이	힘/NNG+이/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
'현실론'을	'/SS+현실/NNG+론/XSN+'/SS+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.405.7.6
트럼프 대통령과의 통화에서도 '북핵 문제는 국제사회가, 인도적 문제는 남북대화로 풀겠다'는 입장도 밝혔지만, 이날은 다시 '운전석론'으로 돌아왔다.

트럼프	트럼프/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
통화에서도	통화/NNG+에서/JKB+도/JX
'북핵	'/SS+북핵/NNG
문제는	문제/NNG+는/JX
국제사회가,	국제/NNG+사회/NNG+가/JKS+,/SP
인도적	인도/NNG+적/XSN
남북대화로	남북/NNP+대화/NNG+로/JKB
풀겠다'는	풀/VV+겠/EP+다/EF+'/SS+는/ETM
입장도	입장/NNG+도/JX
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
이날은	이날/NNG+은/JX
다시	다시/MAG
'운전석론'으로	'/SS+운전석/NNG+론/XSN+'/SS+으로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.405.8.1
문 대통령은 이날 "북핵 문제 해결은 핵 동결로부터 시작돼야 한다"며 "적어도 북한이 추가적인 핵과 미사일 도발을 중단해야 대화의 여건이 갖춰질 수 있다"고 말했다.

문	문/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
"북핵	"/SS+북핵/NNG
문제	문제/NNG
해결은	해결/NNG+은/JX
핵	핵/NNG
동결로부터	동결/NNG+로부터/JKB
시작돼야	시작/NNG+되/XSV+어야/EC
