# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.181
metadata : {}


# id : NWRW1800000036.181.1.1
“관절염에 걷는 모습 안좋다고”“화장실 휴지 제때 안갈았다고”

“관절염에	“/SS+관절염/NNG+에/JKB
걷는	걷/VV+는/ETM
모습	모습/NNG
안좋다고”“화장실	안/MAG+좋/VA+다고/EC+”/SS+“/SS+화장실/NNG
휴지	휴지/NNG
제때	제때/NNG
안갈았다고”	안/MAG+갈/VV+았/EP+다고/EC+”/SS


# id : NWRW1800000036.181.2.1
[한겨레] 서울고법 용역·구로보건소 비정규직 해고 잇따라

[한겨레]	[/SS+한겨레/NNP+]/SS
서울고법	서울고법/NNP
용역·구로보건소	용역/NNG+·/SP+구로보건소/NNP
비정규직	비/XPN+정규직/NNG
해고	해고/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000036.181.3.1
이명박 대통령이 2일 국정연설에서 “공공부문부터 솔선수범해 일자리 만들기에 혼신의 힘을 쏟겠다”고 밝혔지만, 정작 정부의 의지가 반영되는 공공부문 비정규직들은 새해 벽두부터 잇달아 직장에서 쫓겨나고 있다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
2일	2/SN+일/NNB
국정연설에서	국정/NNG+연설/NNG+에서/JKB
“공공부문부터	“/SS+공공/NNG+부문/NNG+부터/JX
솔선수범해	솔선수범/NNG+하/XSV+아/EC
일자리	일자리/NNG
만들기에	만들/VV+기/ETN+에/JKB
혼신의	혼신/NNG+의/JKG
힘을	힘/NNG+을/JKO
쏟겠다”고	쏟/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
정작	정작/MAG
정부의	정부/NNG+의/JKG
의지가	의지/NNG+가/JKS
반영되는	반영/NNG+되/XSV+는/ETM
공공부문	공공/NNG+부문/NNG
비정규직들은	비/XPN+정규직/NNG+들/XSN+은/JX
새해	새해/NNG
벽두부터	벽두/NNG+부터/JX
잇달아	잇달/VV+아/EC
직장에서	직장/NNG+에서/JKB
쫓겨나고	쫓겨나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.181.4.1
서울고등법원에서 청소 업무를 맡고 있는 하청업체 ㅇ사 직원 70여명 가운데 6명은 지난 12월31일 계약종료 통보를 받았다.

서울고등법원에서	서울고등법원/NNP+에서/JKB
청소	청소/NNG
업무를	업무/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
하청업체	하청/NNG+업체/NNG
ㅇ사	ㅇ/NNG+사/NNG
직원	직원/NNG
70여명	70/SN+여/XSN+명/NNB
가운데	가운데/NNG
6명은	6/SN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
12월31일	12/SN+월/NNB+31/SN+일/NNB
계약종료	계약/NNG+종료/NNG
통보를	통보/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.181.4.2
일자리를 잃은 권아무개(63)씨는 해고 사유가 황당하다며 울먹였다.

일자리를	일자리/NNG+를/JKO
잃은	잃/VV+은/ETM
권아무개(63)씨는	권/NNP+아무개/NP+(/SS+63/SN+)/SS+씨/NNB+는/JX
해고	해고/NNG
사유가	사유/NNG+가/JKS
황당하다며	황당하/VA+다며/EC
울먹였다.	울먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.181.4.3
권씨는 “업체에서 관절 때문에 걸어다니는 모습이 보기에 좋지 않다는 이유로 계약을 못하겠다고 했다”며 “관절이 아파 약간 ‘오다리’가 됐지만 5년 동안 지각이나 결근을 한 번도 해본 적이 없고, 일을 못했다고 지적받은 적도 없다”고 말했다.

권씨는	권/NNP+씨/NNB+는/JX
“업체에서	“/SS+업체/NNG+에서/JKB
관절	관절/NNG
때문에	때문/NNB+에/JKB
걸어다니는	걷/VV+어/EC+다니/VV+는/ETM
모습이	모습/NNG+이/JKS
보기에	보/VV+기/ETN+에/JKB
좋지	좋/VA+지/EC
않다는	않/VX+다는/ETM
이유로	이유/NNG+로/JKB
계약을	계약/NNG+을/JKO
못하겠다고	못/MAG+하/VV+겠/EP+다고/EC
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“관절이	“/SS+관절/NNG+이/JKS
아파	아프/VA+아/EC
약간	약간/MAG
‘오다리’가	‘/SS+오/NNG+다리/NNG+’/SS+가/JKC
됐지만	되/VV+었/EP+지만/EC
5년	5/SN+년/NNB
동안	동안/NNG
지각이나	지각/NNG+이나/JC
결근을	결근/NNG+을/JKO
한	한/MMN
번도	번/NNB+도/JX
해본	하/VV+아/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없고,	없/VA+고/EC+,/SP
일을	일/NNG+을/JKO
