# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.77
metadata : {}


# id : NWRW1800000022.77.1.1
"고맙습니다, 사랑합니다";천주교, 김수환 추기경 유지 담긴 스티커 50만개 배포

"고맙습니다,	"/SS+고맙/VA+습니다/EF+,/SP
사랑합니다";천주교,	사랑/NNG+하/XSV+ㅂ니다/EF+"/SS+;/SW+천주교/NNG+,/SP
김수환	김수환/NNP
추기경	추기경/NNG
유지	유지/NNG
담긴	담기/VV+ㄴ/ETM
스티커	스티커/NNG
50만개	50/SN+만/NR+개/NNB
배포	배포/NNG


# id : NWRW1800000022.77.2.1
고(故) 김수환 추기경의 마지막 메시지인 "감사합니다, 사랑하세요"의 정신을 이어받는 천주교 서울대교구의 '감사와 사랑 운동'이 닻을 올렸다.

고(故)	고/MMA+(/SS+故/SH+)/SS
김수환	김수환/NNP
추기경의	추기경/NNG+의/JKG
마지막	마지막/NNG
메시지인	메시지/NNG+이/VCP+ㄴ/ETM
"감사합니다,	"/SS+감사/NNG+하/XSV+ㅂ니다/EF+,/SP
사랑하세요"의	사랑/NNG+하/XSV+시/EP+어요/EF+"/SS+의/JKG
정신을	정신/NNG+을/JKO
이어받는	이어받/VV+는/ETM
천주교	천주교/NNG
서울대교구의	서울/NNP+대/XPN+교구/NNG+의/JKG
'감사와	'/SS+감사/NNG+와/JC
사랑	사랑/NNG
운동'이	운동/NNG+'/SS+이/JKS
닻을	닻/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.77.3.1
정진석 추기경(서울대교구장)은 9일 오전 서울 명동성당 앞마당에서 자신의 승용차 뒷유리창에 '고맙습니다.

정진석	정진석/NNP
추기경(서울대교구장)은	추기경/NNG+(/SS+서울/NNP+대교구장/NNG+)/SS+은/JX
9일	9/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
명동성당	명동성당/NNP
앞마당에서	앞마당/NNG+에서/JKB
자신의	자신/NNG+의/JKG
승용차	승용차/NNG
뒷유리창에	뒷유리창/NNG+에/JKB
'고맙습니다.	'/SS+고맙/VA+습니다/EF+./SF


# id : NWRW1800000022.77.3.2
사랑합니다' 스티커를 붙였다.

사랑합니다'	사랑/NNG+하/XSV+ㅂ니다/EF+'/SS
스티커를	스티커/NNG+를/JKO
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.77.4.1
서울대교구는 중앙에 김 추기경이 그린 얼굴 그림을 넣고 주변에 '고맙습니다' '사랑합니다'라는 글귀가 적힌 지름 9cm짜리 스티커를 50만개 제작해 각 성당과 전국 교구청을 통해 무료로 배포하기로 했다.

서울대교구는	서울/NNP+대/XPN+교구/NNG+는/JX
중앙에	중앙/NNG+에/JKB
김	김/NNP
추기경이	추기경/NNG+이/JKS
그린	그리/VV+ㄴ/ETM
얼굴	얼굴/NNG
그림을	그림/NNG+을/JKO
넣고	넣/VV+고/EC
주변에	주변/NNG+에/JKB
'고맙습니다'	'/SS+고맙/VA+습니다/EF+'/SS
'사랑합니다'라는	'/SS+사랑/NNG+하/XSV+ㅂ니다/EF+'/SS+이/VCP+라는/ETM
글귀가	글귀/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
지름	지름/NNG
9cm짜리	9/SN+cm/SW+짜리/XSN
스티커를	스티커/NNG+를/JKO
50만개	50/SN+만/NR+개/NNB
제작해	제작/NNG+하/XSV+아/EC
각	각/MMD
성당과	성당/NNG+과/JC
전국	전국/NNG
교구청을	교구청/NNG+을/JKO
통해	통하/VV+아/EC
무료로	무료/NNG+로/JKB
배포하기로	배포/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.77.4.2
스티커 뒷면에는 "매일같이 감사와 사랑을 실천합니다"라는 문구와 함께 다섯 가지 실천사항을 적었다.

스티커	스티커/NNG
뒷면에는	뒷면/NNG+에/JKB+는/JX
"매일같이	"/SS+매일/NNG+같이/JKB
감사와	감사/NNG+와/JC
사랑을	사랑/NNG+을/JKO
실천합니다"라는	실천/NNG+하/XSV+ㅂ니다/EF+"/SS+이/VCP+라는/ETM
문구와	문구/NNG+와/JKB
함께	함께/MAG
다섯	다섯/NR
가지	가지/NNB
실천사항을	실천/NNG+사항/NNG+을/JKO
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.77.5.1
한편 김 추기경이 생전에 설립한 '옹기장학회'가 김 추기경 공식 장학재단으로 확대 개편된다.

한편	한편/MAG
김	김/NNP
추기경이	추기경/NNG+이/JKS
생전에	생전/NNG+에/JKB
설립한	설립/NNG+하/XSV+ㄴ/ETM
'옹기장학회'가	'/SS+옹기장학회/NNP+'/SS+가/JKS
추기경	추기경/NNG
공식	공식/NNG
장학재단으로	장학/NNG+재단/NNG+으로/JKB
확대	확대/NNG
개편된다.	개편/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.77.5.2
또 김 추기경 관련 기념품 제작·판매를 전담하게 된 가톨릭출판사는 수익금을 옹기장학회에 내놓기로 했다.

또	또/MAG
김	김/NNP
추기경	추기경/NNG
관련	관련/NNG
기념품	기념품/NNG
제작·판매를	제작/NNG+·/SP+판매/NNG+를/JKO
전담하게	전담/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
가톨릭출판사는	가톨릭출판사/NNP+는/JX
수익금을	수익금/NNG+을/JKO
옹기장학회에	옹기장학회/NNP+에/JKB
내놓기로	내놓/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


