# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.69
metadata : {}


# id : NWRW1800000053.69.1.1
[봄맞이 국내 관광 가이드]아이부터 어른까지 놀면서 구석기인 삶을 느껴봐요

[봄맞이	[/SS+봄맞이/NNG
국내	국내/NNG
관광	관광/NNG
가이드]아이부터	가이드/NNG+]/SS+아이/NNG+부터/JX
어른까지	어른/NNG+까지/JX
놀면서	놀/VV+면서/EC
구석기인	구석기인/NNG
삶을	삶/NNG+을/JKO
느껴봐요	느끼/VV+어/EC+보/VX+아요/EF


# id : NWRW1800000053.69.2.1
공주 석장리 구석기 축제

공주	공주/NNP
석장리	석장리/NNP
구석기	구석기/NNG
축제	축제/NNG


# id : NWRW1800000053.69.3.1
구석기인의 삶의 모습은 어땠을까?

구석기인의	구석기인/NNG+의/JKG
삶의	삶/NNG+의/JKG
모습은	모습/NNG+은/JX
어땠을까?	어떻/VA+었/EP+을까/EF+?/SF


# id : NWRW1800000053.69.3.2
5월 3∼7일 충남 공주 석장리박물관 일원에서는 ‘공주 석장리 구석기 축제’가 열린다.

5월	5/SN+월/NNB
3∼7일	3/SN+∼/SO+7/SN+일/NNB
충남	충남/NNP
공주	공주/NNP
석장리박물관	석장리박물관/NNP
일원에서는	일원/NNG+에서/JKB+는/JX
‘공주	‘/SS+공주/NNP
석장리	석장리/NNP
구석기	구석기/NNG
축제’가	축제/NNG+’/SS+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.69.3.3
매년 어린이날을 전후로 개최되는 이 축제는 한국에서 처음으로 구석기 연구가 시작된 공주석장리 유적을 알리기 위한 것이다.

매년	매년/MAG
어린이날을	어린이날/NNG+을/JKO
전후로	전후/NNG+로/JKB
개최되는	개최/NNG+되/XSV+는/ETM
이	이/MMD
축제는	축제/NNG+는/JX
한국에서	한국/NNP+에서/JKB
처음으로	처음/NNG+으로/JKB
구석기	구석기/NNG
연구가	연구/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
공주석장리	공주/NNP+석장리/NNP
유적을	유적/NNG+을/JKO
알리기	알리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.69.3.4
축제에 가면 수십만 년 전 금강을 배경으로 살아갔던 구석기인들의 문화를 쉽게 접할 수 있다.

축제에	축제/NNG+에/JKB
가면	가/VV+면/EC
수십만	수십만/NR
년	년/NNB
전	전/NNG
금강을	금강/NNP+을/JKO
배경으로	배경/NNG+으로/JKB
살아갔던	살아가/VV+았/EP+던/ETM
구석기인들의	구석기인/NNG+들/XSN+의/JKG
문화를	문화/NNG+를/JKO
쉽게	쉽/VA+게/EC
접할	접하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.69.4.1
오시덕 공주시장은 “올해 축제는 ‘구석기인의 빛 금강을 비추다’라는 주제로 어린이에서부터 어른에 이르기까지 가족 단위 관광객들이 즐길 수 있는 구석기 체험과 이벤트, 야간 체험을 강화해 축제를 준비하고 있다”고 설명했다.

오시덕	오시덕/NNP
공주시장은	공주시장/NNG+은/JX
“올해	“/SS+올해/NNG
축제는	축제/NNG+는/JX
‘구석기인의	‘/SS+구석기인/NNG+의/JKG
빛	빛/NNG
금강을	금강/NNP+을/JKO
비추다’라는	비추/VV+다/EF+’/SS+라는/ETM
주제로	주제/NNG+로/JKB
