# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.152
metadata : {}


# id : NWRW1800000025.152.1.1
北주민-탈북자 등 인권 개선… 인권위, 중장기 로드맵 추진

北주민-탈북자	北/SH+주민/NNG+-/SO+탈북자/NNG
등	등/NNB
인권	인권/NNG
개선…	개선/NNG+…/SE
인권위,	인권위/NNP+,/SP
중장기	중장기/NNG
로드맵	로드맵/NNG
추진	추진/NNG


# id : NWRW1800000025.152.2.1
북한 주민과 이산가족, 납북자, 국군포로 등 주요 사안별로 북한 인권을 개선하기 위한 로드맵이 구축된다.

북한	북한/NNP
주민과	주민/NNG+과/JC
이산가족,	이산가족/NNG+,/SP
납북자,	납북자/NNG+,/SP
국군포로	국군/NNG+포로/NNG
등	등/NNB
주요	주요/NNG
사안별로	사안/NNG+별/XSN+로/JKB
인권을	인권/NNG+을/JKO
개선하기	개선/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
로드맵이	로드맵/NNG+이/JKS
구축된다.	구축/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.152.3.1
국가인권위원회는 31일 “북한 인권 개선을 위한 정책 활동의 연장선상에서 북한 인권에 대한 제도적 기반을 확립하고 중·장기적으로 실천 계획을 수립하는 내용의 용역을 2010년 위원회 특별사업으로 발주했다”고 밝혔다.

국가인권위원회는	국가인권위원회/NNP+는/JX
31일	31/SN+일/NNB
“북한	“/SS+북한/NNP
인권	인권/NNG
개선을	개선/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
활동의	활동/NNG+의/JKG
연장선상에서	연장선/NNG+상/XSN+에서/JKB
북한	북한/NNP
인권에	인권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제도적	제도/NNG+적/XSN
기반을	기반/NNG+을/JKO
확립하고	확립/NNG+하/XSV+고/EC
중·장기적으로	중·장기/NNG+적/XSN+으로/JKB
실천	실천/NNG
계획을	계획/NNG+을/JKO
수립하는	수립/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
용역을	용역/NNG+을/JKO
2010년	2010/SN+년/NNB
위원회	위원회/NNG
특별사업으로	특별/NNG+사업/NNG+으로/JKB
발주했다”고	발주/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.152.3.2
인권위는 4월 25일 북한 인권 업무를 전담하는 ‘북한인권팀’을 신설하며 북한 인권 문제를 적극적으로 다루겠다는 의지를 표명해왔다.

인권위는	인권위/NNP+는/JX
4월	4/SN+월/NNB
