# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.62
metadata : {}


# id : NWRW1800000022.62.1.1
암참<주한미국상공회의소> 회장 "韓·美 FTA 재협상 필요없어";데이비드 럭 회장 "美의회 비준 위해 힘쓸 것"

암참<주한미국상공회의소>	암참/NNP+</SS+주한미국상공회의소/NNP+>/SS
회장	회장/NNG
"韓·美	"/SS+韓/SH+·/SP+美/SH
FTA	FTA/SL
재협상	재/XPN+협상/NNG
필요없어";데이비드	필요/NNG+없/VA+어/EF+"/SS+;/SW+데이비드/NNP
럭	럭/NNP
"美의회	"/SS+美/SH+의회/NNG
비준	비준/NNG
위해	위하/VV+아/EC
힘쓸	힘쓰/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000022.62.2.1
주한미국상공회의소(AMCHAM) 데이비드 럭(Ruch·57) 회장(미국 유나이티드항공 한국 지사장)은 25일 서울 소공동 롯데호텔에서 취임 후 가진 첫 기자간담회에서 "한·미 자유무역협정(FTA)은 재협상이 필요 없는 매우 공정한 협정이라고 생각한다"고 밝혔다.

주한미국상공회의소(AMCHAM)	주한미국상공회의소/NNP+(/SS+AMCHAM/SL+)/SS
데이비드	데이비드/NNP
럭(Ruch·57)	럭/NNP+(/SS+Ruch/SL+·/SP+57/SN+)/SS
회장(미국	회장/NNG+(/SS+미국/NNP
유나이티드항공	유나이티드항공/NNP
한국	한국/NNP
지사장)은	지사장/NNG+)/SS+은/JX
25일	25/SN+일/NNB
서울	서울/NNP
소공동	소공동/NNP
롯데호텔에서	롯데호텔/NNP+에서/JKB
취임	취임/NNG
후	후/NNG
가진	가지/VV+ㄴ/ETM
첫	첫/MMN
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
"한·미	"/SS+한·미/NNP
자유무역협정(FTA)은	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+은/JX
재협상이	재/XPN+협상/NNG+이/JKS
필요	필요/NNG
없는	없/VA+는/ETM
매우	매우/MAG
공정한	공정/NNG+하/XSA+ㄴ/ETM
협정이라고	협정/NNG+이/VCP+라고/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.62.2.2
그는 미국 일각에서 나오는 재협상 주장을 일축하면서 "한국 국회가 한·미 FTA를 조속히 비준해줬으면 한다"고 당부했다.

그는	그/NP+는/JX
미국	미국/NNP
일각에서	일각/NNG+에서/JKB
나오는	나오/VV+는/ETM
재협상	재/XPN+협상/NNG
주장을	주장/NNG+을/JKO
일축하면서	일축/NNG+하/XSV+면서/EC
"한국	"/SS+한국/NNP
국회가	국회/NNG+가/JKS
한·미	한·미/NNP
FTA를	FTA/SL+를/JKO
조속히	조속히/MAG
비준해줬으면	비준/NNG+하/XSV+아/EC+주/VX+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.3.1
그는 또 주한미국상공회의소 역시 미국 상공회의소와 협력, 미국 의회에서 한·미 FTA가 빠른 시일 내에 비준될 수 있도록 힘쓸 것이라고 강조했다.

그는	그/NP+는/JX
또	또/MAG
주한미국상공회의소	주한미국상공회의소/NNP
역시	역시/MAG
미국	미국/NNP
상공회의소와	상공/NNG+회의소/NNG+와/JKB
협력,	협력/NNG+,/SP
의회에서	의회/NNG+에서/JKB
한·미	한·미/NNP
FTA가	FTA/SL+가/JKS
빠른	빠르/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
비준될	비준/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
힘쓸	힘쓰/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.3.2
그는 "미국의 오바마 새 행정부와 협력해 기회가 닿을 때마다 미국 의회에 한·미 FTA의 중요성을 알리고, 한·미관계에 영향력을 행사하는 미국 정부 주요 인사들과 의회 의원 등을 찾아 다니며 한·미 관계의 중요성을 홍보하고 있다"고 했다.

그는	그/NP+는/JX
"미국의	"/SS+미국/NNP+의/JKG
오바마	오바마/NNP
새	새/MMA
행정부와	행정부/NNG+와/JKB
협력해	협력/NNG+하/XSV+아/EC
기회가	기회/NNG+가/JKS
닿을	닿/VV+을/ETM
때마다	때/NNG+마다/JX
미국	미국/NNP
의회에	의회/NNG+에/JKB
한·미	한·미/NNP
FTA의	FTA/SL+의/JKG
중요성을	중요/NNG+성/XSN+을/JKO
알리고,	알리/VV+고/EC+,/SP
한·미관계에	한·미/NNP+관계/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
정부	정부/NNG
주요	주요/NNG
인사들과	인사/NNG+들/XSN+과/JC
의회	의회/NNG
의원	의원/NNG
등을	등/NNB+을/JKO
찾아	찾/VV+아/EC
다니며	다니/VV+며/EC
관계의	관계/NNG+의/JKG
홍보하고	홍보/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.62.4.1
럭 회장은 한국 내 외국 기업이 겪는 어려움 중 하나로 '낮은 노동 유연성' 문제를 꼽았다.

럭	럭/NNP
회장은	회장/NNG+은/JX
한국	한국/NNP
내	내/NNB
외국	외국/NNG
기업이	기업/NNG+이/JKS
겪는	겪/VV+는/ETM
어려움	어려움/NNG
중	중/NNB
하나로	하나/NR+로/JKB
'낮은	'/SS+낮/VA+은/ETM
노동	노동/NNG
유연성'	유연성/NNG+'/SS
