# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.189
metadata : {}


# id : NWRW1800000044.189.1.1
[단독] 국정원 증거조작 논란 거센데…보안법수사 포상금은 3배 급증

[단독]	[/SS+단독/NNG+]/SS
국정원	국정원/NNG
증거조작	증거/NNG+조작/NNG
논란	논란/NNG
거센데…보안법수사	거세/VA+ㄴ데/EF+…/SE+보안법/NNG+수사/NNG
포상금은	포상금/NNG+은/JX
3배	3/SN+배/NNG
급증	급증/NNG


# id : NWRW1800000044.189.2.1
[한겨레] 작년 2억5900만원…건수도 ‘갑절’

[한겨레]	[/SS+한겨레/NNP+]/SS
작년	작년/NNG
2억5900만원…건수도	2/SN+억/NR+5900/SN+만/NR+원/NNB+…/SE+건수/NNG+도/JX
‘갑절’	‘/SS+갑절/NNG+’/SS


# id : NWRW1800000044.189.3.1
수사·정보기관 성과주의 탓 분석

수사·정보기관	수사/NNG+·/SP+정보기관/NNG
성과주의	성과주의/NNG
탓	탓/NNG
분석	분석/NNG


# id : NWRW1800000044.189.4.1
국가정보원이 국가기관 공문서까지 활용해 ‘간첩사건’ 증거를 조작한 지난해에 간첩 등 국가보안법 위반 사범을 인지·체포한 수사·정보기관 공무원에게 지급된 상금 총액이 전년에 견줘 3배 이상 증가한 것으로 드러났다.

국가정보원이	국가/NNG+정보원/NNG+이/JKS
국가기관	국가/NNG+기관/NNG
공문서까지	공문서/NNG+까지/JX
활용해	활용/NNG+하/XSV+아/EC
‘간첩사건’	‘/SS+간첩/NNG+사건/NNG+’/SS
증거를	증거/NNG+를/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
지난해에	지난해/NNG+에/JKB
간첩	간첩/NNG
등	등/NNB
국가보안법	국가/NNG+보안법/NNG
위반	위반/NNG
사범을	사범/NNG+을/JKO
인지·체포한	인지/NNG+·/SP+체포/NNG+하/XSV+ㄴ/ETM
수사·정보기관	수사/NNG+·/SP+정보기관/NNG
공무원에게	공무원/NNG+에게/JKB
지급된	지급/NNG+되/XSV+ㄴ/ETM
상금	상금/NNG
총액이	총액/NNG+이/JKS
전년에	전년/NNG+에/JKB
견줘	견주/VV+어/EC
3배	3/SN+배/NNG
이상	이상/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.189.4.2
이는 최근 5년 사이 최고 액수다.

이는	이/NP+는/JX
최근	최근/MAG
5년	5/SN+년/NNB
사이	사이/NNG
최고	최고/NNG
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.189.5.1
