# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.44
metadata : {}


# id : NWRW1800000030.44.1.1
"연구 성과 아닌 미래 가치 평가해 상 줍니다"

"연구	"/SS+연구/NNG
성과	성과/NNG
아닌	아니/VCN+ㄴ/ETM
미래	미래/NNG
가치	가치/NNG
평가해	평가/NNG+하/XSV+아/EC
상	상/NNG
줍니다"	주/VV+ㅂ니다/EF+"/SS


# id : NWRW1800000030.44.2.1
?美 맥아더재단 '올해의 천재'상, 비밀위원이 직접 수상자 찾아…

?美	?/SF+美/SH
맥아더재단	맥아더/NNP+재단/NNG
'올해의	'/SS+올해/NNG+의/JKG
천재'상,	천재/NNG+'/SS+상/NNG+,/SP
비밀위원이	비밀/NNG+위원/NNG+이/JKS
직접	직접/MAG
수상자	수상자/NNG
찾아…	찾/VV+아/EF+…/SE


# id : NWRW1800000030.44.3.1
미국 맥아더재단이 인간의 삶을 개선할 만한 창의적 연구자와 예술가에게 수여하는 '올해의 천재' 2011년 수상자 22명을 20일 발표했다.

미국	미국/NNP
맥아더재단이	맥아더/NNP+재단/NNG+이/JKS
인간의	인간/NNG+의/JKG
삶을	삶/NNG+을/JKO
개선할	개선/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
창의적	창의/NNG+적/XSN
연구자와	연구자/NNG+와/JC
예술가에게	예술가/NNG+에게/JKB
수여하는	수여/NNG+하/XSV+는/ETM
'올해의	'/SS+올해/NNG+의/JKG
천재'	천재/NNG+'/SS
2011년	2011/SN+년/NNB
수상자	수상자/NNG
22명을	22/SN+명/NNB+을/JKO
20일	20/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.44.3.2
이미 달성한 성과물이 아닌, 연구의 미래 가치를 평가해 선정하는 이 상 수상자는 상금으로 50만달러(약 5억7000만원)를 받게 된다.

이미	이미/MAG
달성한	달성/NNG+하/XSV+ㄴ/ETM
성과물이	성과물/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
연구의	연구/NNG+의/JKG
미래	미래/NNG
가치를	가치/NNG+를/JKO
평가해	평가/NNG+하/XSV+아/EC
선정하는	선정/NNG+하/XSV+는/ETM
이	이/MMD
상	상/NNG
수상자는	수상자/NNG+는/JX
상금으로	상금/NNG+으로/JKB
50만달러(약	50/SN+만/NR+달러/NNB+(/SS+약/MMA
5억7000만원)를	5/SN+억/NR+7000/SN+만/NR+원/NNB+)/SS+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.44.4.1
올해 최연소 수상자인 워싱턴대 컴퓨터과학과 슈웨탁 파텔(29) 교수의 연구는 '인간은 왜 점점 더 바빠질까'라는 질문에서 시작됐다.

올해	올해/NNG
최연소	최/XPN+연소/NNG
수상자인	수상자/NNG+이/VCP+ㄴ/ETM
워싱턴대	워싱턴대/NNP
컴퓨터과학과	컴퓨터/NNG+과학/NNG+과/NNG
슈웨탁	슈웨탁/NNP
파텔(29)	파텔/NNP+(/SS+29/SN+)/SS
교수의	교수/NNG+의/JKG
연구는	연구/NNG+는/JX
