# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.401
metadata : {}


# id : NWRW1800000038.401.1.1
'增稅없는 복지' 미련 남은 與… '4% 성장' 요행만 바라고 있다

'增稅없는	'/SS+增稅/SH+없/VA+는/ETM
복지'	복지/NNG+'/SS
미련	미련/NNG
남은	남/VV+은/ETM
與…	與/SH+…/SE
'4%	'/SS+4/SN+%/SW
성장'	성장/NNG+'/SS
요행만	요행/NNG+만/JX
바라고	바라/VV+고/EC
있다	있/VX+다/EF


# id : NWRW1800000038.401.2.1
불확실한 내년 성장률 전망 내세워 "稅收 확보 가능" 주장

불확실한	불확실/NNG+하/XSA+ㄴ/ETM
내년	내년/NNG
성장률	성장/NNG+률/XSN
전망	전망/NNG
내세워	내세우/VV+어/EC
"稅收	"/SS+稅收/SH
확보	확보/NNG
가능"	가능/NNG+"/SS
주장	주장/NNG


# id : NWRW1800000038.401.3.1
여권(與圈)이 세제 개편안 파동 이후에도 '증세(增稅) 없는 복지'라는 원칙을 고수하고 있는 가운데 청와대와 새누리당 고위 관계자들은 13일에 이어 14일에도 일제히 "내년에 경제성장률이 4%대로 올라가면 자연스럽게 세수(稅收)가 늘어날 것"이라고 말했다.

여권(與圈)이	여권/NNG+(/SS+與圈/SH+)/SS+이/JKS
세제	세제/NNG
개편안	개편안/NNG
파동	파동/NNG
이후에도	이후/NNG+에/JKB+도/JX
'증세(增稅)	'/SS+증세/NNG+(/SS+增稅/SH+)/SS
없는	없/VA+는/ETM
복지'라는	복지/NNG+'/SS+이/VCP+라는/ETM
원칙을	원칙/NNG+을/JKO
고수하고	고수/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
청와대와	청와대/NNP+와/JC
새누리당	새누리당/NNP
고위	고위/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
13일에	13/SN+일/NNB+에/JKB
이어	잇/VV+어/EC
14일에도	14/SN+일/NNB+에/JKB+도/JX
일제히	일제히/MAG
"내년에	"/SS+내년/NNG+에/JKB
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
4%대로	4/SN+%/SW+대/XSN+로/JKB
올라가면	올라가/VV+면/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
세수(稅收)가	세수/NNG+(/SS+稅收/SH+)/SS+가/JKS
늘어날	늘어나/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.401.3.2
지금 단계에서 복지 공약 축소나 증세는 있을 수 없다며 그 근거로 제시하는 논리 중 하나다.

지금	지금/NNG
단계에서	단계/NNG+에서/JKB
복지	복지/NNG
공약	공약/NNG
축소나	축소/NNG+나/JC
증세는	증세/NNG+는/JX
있을	있/VA+을/ETM
수	수/NNB
없다며	없/VA+다며/EC
그	그/MMD
근거로	근거/NNG+로/JKB
제시하는	제시/NNG+하/XSV+는/ETM
논리	논리/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000038.401.3.3
그러나 여당 내에서도 "낙관적 경제 성장 전망에만 기대하는 건 도박 아니냐"는 비판이 일고 있다.

그러나	그러나/MAJ
여당	여당/NNG
내에서도	내/NNB+에서/JKB+도/JX
"낙관적	"/SS+낙관/NNG+적/XSN
경제	경제/NNG
성장	성장/NNG
