# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.132
metadata : {}


# id : NWRW1800000052.132.1.1
“처음으로 부모님이 티켓을 달라고 하네요”

“처음으로	“/SS+처음/NNG+으로/JKB
부모님이	부모/NNG+님/XSN+이/JKS
티켓을	티켓/NNG+을/JKO
달라고	달/VV+라고/EC
하네요”	하/VV+네/EF+요/JX+”/SS


# id : NWRW1800000052.132.2.1
한국에서 첫 공연 하는 한인2세 밴드 런리버노스 이메일 인터뷰

한국에서	한국/NNP+에서/JKB
첫	첫/MMN
공연	공연/NNG
하는	하/VV+는/ETM
한인2세	한인/NNG+2/SN+세/NNB
밴드	밴드/NNG
런리버노스	런리버노스/NNP
이메일	이메일/NNG
인터뷰	인터뷰/NNG


# id : NWRW1800000052.132.3.1
“‘교포밴드’보다는 미국 록을 하는 한국인 밴드로 봐주셨으면”

“‘교포밴드’보다는	“/SS+‘/SS+교포/NNG+밴드/NNG+’/SS+보다/JKB+는/JX
미국	미국/NNP
록을	록/NNG+을/JKO
하는	하/VV+는/ETM
한국인	한국인/NNG
밴드로	밴드/NNG+로/JKB
봐주셨으면”	봐주/VV+시/EP+었/EP+으면/EC+”/SS


# id : NWRW1800000052.132.4.1
록밴드 런리버노스가 한국을 찾는다.

록밴드	록/NNG+밴드/NNG
런리버노스가	런리버노스/NNP+가/JKS
한국을	한국/NNP+을/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000052.132.4.2
이들에겐 ‘한국’이라는 말이 특별한다.

이들에겐	이/NP+들/XSN+에게/JKB+ㄴ/JX
‘한국’이라는	‘/SS+한국/NNP+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
특별한다.	특별/NNG+하/XSA+ㄴ다/EF+./SF


# id : NWRW1800000052.132.4.3
런리버노스는 기타와 보컬을 맡고 있는 리더 알렉스 황, 기타 다니엘 채, 바이올린 제니퍼 임, 베이스 조 전, 키보드 샐리 강, 그리고 드럼 존 정 등 한인2세 6명으로 구성된 록밴드다.

런리버노스는	런리버노스/NNP+는/JX
기타와	기타/NNG+와/JC
보컬을	보컬/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
리더	리더/NNG
알렉스	알렉스/NNP
황,	황/NNP+,/SP
기타	기타/NNG
다니엘	다니엘/NNP
채,	채/NNP+,/SP
바이올린	바이올린/NNG
제니퍼	제니퍼/NNP
임,	임/NNP+,/SP
베이스	베이스/NNG
조	조/NNP
전,	전/NNP+,/SP
키보드	키보드/NNG
샐리	샐리/NNP
강,	강/NNP+,/SP
그리고	그리고/MAJ
드럼	드럼/NNG
존	존/NNP
정	정/NNP
등	등/NNB
한인2세	한인/NNG+2/SN+세/NNB
6명으로	6/SN+명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
록밴드다.	록/NNG+밴드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.132.5.1
데뷔곡이자 출세곡이랄 수 있는 ‘몬스터 콜링 홈’(Monster calling home)은 낯선 곳에서 고군분투하는 아버지를 그렸다.

데뷔곡이자	데뷔/NNG+곡/NNG+이/VCP+자/EC
출세곡이랄	출세/NNG+곡/NNG+이/VCP+랄/ETM
수	수/NNB
있는	있/VA+는/ETM
‘몬스터	‘/SS+몬스터/NNP
콜링	콜링/NNP
홈’(Monster	홈/NNP+’/SS+(/SS+Monster/SL
calling	calling/SL
home)은	home/SL+)/SS+은/JX
낯선	낯설/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
고군분투하는	고군분투/NNG+하/XSV+는/ETM
아버지를	아버지/NNG+를/JKO
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.5.2
가사에는 알아듣지 못하는 말을 하는 낯설은 아들(바로 밴드 멤버 자신)에 대해서도 읊는다.

가사에는	가사/NNG+에/JKB+는/JX
알아듣지	알아듣/VV+지/EC
못하는	못하/VX+는/ETM
말을	말/NNG+을/JKO
하는	하/VV+는/ETM
낯설은	낯설/VA+은/ETM
아들(바로	아들/NNG+(/SS+바로/MAG
밴드	밴드/NNG
멤버	멤버/NNG
자신)에	자신/NNG+)/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
읊는다.	읊/VV+는다/EF+./SF


# id : NWRW1800000052.132.5.3
몇 가지 드라마틱한 사건을 거치며 런리버노스 밴드는 티브이쇼에 출연하고 메이저와 계약하며 일약 신데렐라가 되었고 2014년 동명의 셀프타이틀 앨범을 발표했다.

몇	몇/NR
가지	가지/NNB
드라마틱한	드라마틱/NNG+하/XSA+ㄴ/ETM
사건을	사건/NNG+을/JKO
거치며	거치/VV+며/EC
런리버노스	런리버노스/NNP
밴드는	밴드/NNG+는/JX
티브이쇼에	티브이/NNG+쇼/NNG+에/JKB
출연하고	출연/NNG+하/XSV+고/EC
메이저와	메이저/NNG+와/JKB
계약하며	계약/NNG+하/XSV+며/EC
일약	일약/MAG
신데렐라가	신데렐라/NNP+가/JKC
되었고	되/VV+었/EP+고/EC
2014년	2014/SN+년/NNB
동명의	동명/NNG+의/JKG
셀프타이틀	셀프타이틀/NNG
앨범을	앨범/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.132.5.4
올 2월 2집 앨범 <드링킹 프롬 어 솔트 폰드>(Drinking From a Salt Pond)를 냈다.

올	올/NNG
2월	2/SN+월/NNB
2집	2/SN+집/NNB
앨범	앨범/NNG
<드링킹	</SS+드링킹/NNP
프롬	프롬/NNP
어	어/NNP
솔트	솔트/NNP
폰드>(Drinking	폰드/NNP+>/SS+(/SS+Drinking/SL
From	From/SL
a	a/SL
Salt	Salt/SL
Pond)를	Pond/SL+)/SS+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.5.5
8월21일 펜타포트록페스티벌 무대를 앞둔 이들과 이메일 인터뷰를 나눴다.

8월21일	8/SN+월/NNB+21/SN+일/NNB
펜타포트록페스티벌	펜타포트록페스티벌/NNG
무대를	무대/NNG+를/JKO
앞둔	앞두/VV+ㄴ/ETM
이들과	이/NNB+들/XSN+과/JKB
이메일	이메일/NNG
인터뷰를	인터뷰/NNG+를/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.5.6
멤버들은 한국말을 조금씩 한다고 알려져 있다.

멤버들은	멤버/NNG+들/XSN+은/JX
한국말을	한국말/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
한다고	하/VV+ㄴ다고/EC
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.132.5.7
인터뷰는 영어로 이루어졌다.

인터뷰는	인터뷰/NNG+는/JX
영어로	영어/NNP+로/JKB
이루어졌다.	이루어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.132.6.1
알렉스 황이 작곡을 전담하다가 2집에서는 모든 멤버가 작곡에 참여했다.

알렉스	알렉스/NNP
황이	황/NNP+이/JKS
작곡을	작곡/NNG+을/JKO
전담하다가	전담/NNG+하/XSV+다가/EC
