# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.58
metadata : {}


# id : NWRW1800000022.58.1.1
[브리핑] 수뢰 장영달 前의원 법정구속

[브리핑]	[/SS+브리핑/NNG+]/SS
수뢰	수뢰/NNG
장영달	장영달/NNP
前의원	前/SH+의원/NNG
법정구속	법정/NNG+구속/NNG


# id : NWRW1800000022.58.2.1
서울남부지법 형사1단독 윤승은 판사는 19일 국회의원 시절 인사 청탁과 함께 700만원을 받은 혐의 등으로 기소된 장영달(61) 전 통합민주당 의원에 대해 징역 4월을 선고하고, 장 전 의원을 법정 구속했다.

서울남부지법	서울남부지법/NNP
형사1단독	형사/NNG+1/SN+단독/NNG
윤승은	윤승은/NNP
판사는	판사/NNG+는/JX
19일	19/SN+일/NNB
국회의원	국회/NNG+의원/NNG
시절	시절/NNG
인사	인사/NNG
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
700만원을	700/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
장영달(61)	장영달/NNP+(/SS+61/SN+)/SS
전	전/MMD
통합민주당	통합민주당/NNP
의원에	의원/NNG+에/JKB
대해	대하/VV+아/EC
징역	징역/NNG
4월을	4/SN+월/NNB+을/JKO
선고하고,	선고/NNG+하/XSV+고/EC+,/SP
장	장/NNP
의원을	의원/NNG+을/JKO
법정	법정/NNG
구속했다.	구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.58.3.1
장 전 의원은 지난 2004년 11월 국회 의원회관 내 자신의 사무실에서 고교 후배인 김모(57)씨로부터 "지인인 강모 한국도로공사 과장이 부장으로 승진하도록 도와달라"는 부탁과 함께 두 차례에 걸쳐 현금과 수표 등 700만원을 받은 혐의로 불구속 기소됐었다.

장	장/NNP
전	전/MMD
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
11월	11/SN+월/NNB
국회	국회/NNG
의원회관	의원/NNG+회관/NNG
내	내/NNB
자신의	자신/NNG+의/JKG
사무실에서	사무실/NNG+에서/JKB
고교	고교/NNG
후배인	후배/NNG+이/VCP+ㄴ/ETM
김모(57)씨로부터	김/NNP+모/NP+(/SS+57/SN+)/SS+씨/NNB+로부터/JKB
"지인인	"/SS+지인/NNG+이/VCP+ㄴ/ETM
강모	강/NNP+모/NP
한국도로공사	한국도로공사/NNP
과장이	과장/NNG+이/JKS
부장으로	부장/NNG+으로/JKB
승진하도록	승진/NNG+하/XSV+도록/EC
도와달라"는	돕/VV+아/EC+달/VX+라/EF+"/SS+는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
현금과	현금/NNG+과/JC
수표	수표/NNG
등	등/NNB
700만원을	700/SN+만/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소됐었다.	기소/NNG+되/XSV+었었/EP+다/EF+./SF


# id : NWRW1800000022.58.3.2
재판부는 장 전 의원이 인사 청탁자 김씨를 무고한 혐의에 대해서도 징역 8월의 실형을 선고했다.

재판부는	재판부/NNG+는/JX
장	장/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
인사	인사/NNG
청탁자	청탁자/NNG
김씨를	김/NNP+씨/NNB+를/JKO
무고한	무고하/VA+ㄴ/ETM
혐의에	혐의/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
징역	징역/NNG
8월의	8/SN+월/NNB+의/JKG
실형을	실형/NNG+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


