# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.99
metadata : {}


# id : NWRW1800000026.99.1.1
[대구·경북] "공짜로 유명 강사 수업 들어요";대구 달성군, '인재양성스쿨' 운영

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
"공짜로	"/SS+공짜/NNG+로/JKB
유명	유명/NNG
강사	강사/NNG
수업	수업/NNG
들어요";대구	듣/VV+어요/EF+"/SS+;/SW+대구/NNP
달성군,	달성군/NNP+,/SP
'인재양성스쿨'	'/SS+인재/NNG+양성/NNG+스쿨/NNG+'/SS
운영	운영/NNG


# id : NWRW1800000026.99.2.1
대구 달성군은 지난 20일 논공읍 달성청소년센터에서 '달성인재양성스쿨' 개강식을 갖고 본격적인 운영에 들어갔다.

대구	대구/NNP
달성군은	달성군/NNP+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
논공읍	논공읍/NNP
달성청소년센터에서	달성청소년센터/NNP+에서/JKB
'달성인재양성스쿨'	'/SS+달성/NNP+인재/NNG+양성/NNG+스쿨/NNG+'/SS
개강식을	개강식/NNG+을/JKO
갖고	갖/VV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
운영에	운영/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.99.3.1
지역 우수고교생들이 수도권 학원에서 활동하는 과목별 유명 강사들의 강의를 받을 수 있도록 해 명문대에 진학할 수 있도록 도와주고 학부모들의 사교육비 부담도 덜어주기 위해 마련된 것이다.

지역	지역/NNG
우수고교생들이	우수/NNG+고교/NNG+생/XSN+들/XSN+이/JKS
수도권	수도/NNG+권/XSN
학원에서	학원/NNG+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
과목별	과목/NNG+별/XSN
유명	유명/NNG
강사들의	강사/NNG+들/XSN+의/JKG
강의를	강의/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VV+아/EC
명문대에	명문대/NNG+에/JKB
진학할	진학/NNG+하/XSV+ㄹ/ETM
도와주고	도와주/VV+고/EC
학부모들의	학부모/NNG+들/XSN+의/JKG
사교육비	사교육비/NNG
부담도	부담/NNG+도/JX
덜어주기	덜/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
마련된	마련/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.99.3.2
내년 1월까지 이어지는 이번 교육과정엔 모두 2억4000만원의 예산이 투입된다.

내년	내년/NNG
1월까지	1/SN+월/NNB+까지/JX
이어지는	이어지/VV+는/ETM
이번	이번/NNG
교육과정엔	교육/NNG+과정/NNG+에/JKB+ㄴ/JX
모두	모두/MAG
2억4000만원의	2/SN+억/NR+4000/SN+만/NR+원/NNB+의/JKG
예산이	예산/NNG+이/JKS
투입된다.	투입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.99.4.1
달성군은 지난 13일 관내 고등학교장들로부터 추천받은 고1∼3학년 학생들을 대상으로 선발시험을 실시, 수업에 참가할 108명의 학생을 선발했다.

달성군은	달성군/NNP+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
관내	관내/NNG
고등학교장들로부터	고등/NNG+학교장/NNG+들/XSN+로부터/JKB
추천받은	추천/NNG+받/XSV+은/ETM
고1∼3학년	고/NNG+1/SN+∼/SO+3/SN+학년/NNG
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
선발시험을	선발/NNG+시험/NNG+을/JKO
실시,	실시/NNG+,/SP
수업에	수업/NNG+에/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
108명의	108/SN+명/NNB+의/JKG
학생을	학생/NNG+을/JKO
선발했다.	선발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.99.4.2
이들 학생들은 매주 토·일요일 주 2회에 걸쳐 언어·수리·외국어영역 등 3과목에 대한 맞춤식 교육을 받게 된다.

이들	이/NP+들/XSN
학생들은	학생/NNG+들/XSN+은/JX
매주	매주/MAG
토·일요일	토/NNG+·/SP+일요일/NNG
주	주/NNG
2회에	2/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
언어·수리·외국어영역	언어/NNG+·/SP+수리/NNG+·/SP+외국어/NNG+영역/NNG
등	등/NNB
3과목에	3/SN+과목/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
맞춤식	맞춤식/NNG
교육을	교육/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.99.4.3
방학기간 중에는 논·구술 특강, 개별성적평가, 입시설명회 등의 프로그램들도 진행될 예정이다.

방학기간	방학/NNG+기간/NNG
중에는	중/NNB+에/JKB+는/JX
논·구술	논·구술/NNG
특강,	특강/NNG+,/SP
개별성적평가,	개별/NNG+성적/NNG+평가/NNG+,/SP
입시설명회	입시/NNG+설명회/NNG
등의	등/NNB+의/JKG
프로그램들도	프로그램/NNG+들/XSN+도/JX
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.99.5.1
달성군은 올해 교육명문도시로의 발돋움을 위해 각종 장학금 및 교육경비지원 명목으로 74억원의 예산을 투입할 계획이다.

달성군은	달성군/NNP+은/JX
올해	올해/NNG
교육명문도시로의	교육/NNG+명문/NNG+도시/NNG+로/JKB+의/JKG
발돋움을	발돋움/NNG+을/JKO
위해	위하/VV+아/EC
각종	각종/NNG
장학금	장학금/NNG
및	및/MAG
교육경비지원	교육/NNG+경비/NNG+지원/NNG
명목으로	명목/NNG+으로/JKB
74억원의	74/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
투입할	투입/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.99.6.1
달성군측은 "지역교육경쟁력 향상을 위해 관련예산을 꾸준히 늘려나갈 계획"이라고 밝혔다.

달성군측은	달성군/NNP+측/NNB+은/JX
"지역교육경쟁력	"/SS+지역/NNG+교육/NNG+경쟁력/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+아/EC
관련예산을	관련/NNG+예산/NNG+을/JKO
꾸준히	꾸준히/MAG
늘려나갈	늘리/VV+어/EC+나가/VX+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


