# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.271
metadata : {}


# id : NWRW1800000036.271.1.1
최필립, 지난해 12월부터 부산일보 지분매각 추진한듯

최필립,	최필립/NNP+,/SP
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
부산일보	부산일보/NNP
지분매각	지분/NNG+매각/NNG
추진한듯	추진/NNG+하/XSV+ㄴ/ETM+듯/NNB


# id : NWRW1800000036.271.2.1
[한겨레] “임원회의서 매각 얘기 꺼내”

[한겨레]	[/SS+한겨레/NNP+]/SS
“임원회의서	“/SS+임원/NNG+회의/NNG+서/JKB
매각	매각/NNG
얘기	얘기/NNG
꺼내”	꺼내/VV+어/EF+”/SS


# id : NWRW1800000036.271.3.1
노사 관계자들 잇따라 밝혀

노사	노사/NNG
관계자들	관계자/NNG+들/XSN
잇따라	잇따르/VV+아/EC
밝혀	밝히/VV+어/EF


# id : NWRW1800000036.271.4.1
<부산일보>의 주식 100%를 소유하고 있는 정수장학회의 최필립 이사장이 지난해 12월부터 부산일보 주식 매각을 추진한 정황이 드러났다.

<부산일보>의	</SS+부산일보/NNP+>/SS+의/JKG
주식	주식/NNG
100%를	100/SN+%/SW+를/JKO
소유하고	소유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
정수장학회의	정수장학회/NNP+의/JKG
최필립	최필립/NNP
이사장이	이사장/NNG+이/JKS
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
부산일보	부산일보/NNP
매각을	매각/NNG+을/JKO
추진한	추진/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.5.1
17일 부산일보 노사의 말을 종합하면, 최 이사장은 지난해 12월6일 부산일보사를 방문해 부산일보 임원진과 함께 ‘김종렬 전 사장이 신문 발행 중단 등의 책임을 지겠다며 사퇴한 것’과 관련해 대책을 논의하는 자리에서 정수장학회의 지분을 매각하겠다는 의사를 밝혔다.

17일	17/SN+일/NNB
부산일보	부산일보/NNP
노사의	노사/NNG+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
최	최/NNP
이사장은	이사장/NNG+은/JX
지난해	지난해/NNG
12월6일	12/SN+월/NNB+6/SN+일/NNB
부산일보사를	부산일보사/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
임원진과	임원진/NNG+과/JKB
함께	함께/MAG
‘김종렬	‘/SS+김종렬/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
신문	신문/NNG
발행	발행/NNG
중단	중단/NNG
등의	등/NNB+의/JKG
책임을	책임/NNG+을/JKO
지겠다며	지/VV+겠/EP+다며/EC
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
것’과	것/NNB+’/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
대책을	대책/NNG+을/JKO
논의하는	논의/NNG+하/XSV+는/ETM
자리에서	자리/NNG+에서/JKB
정수장학회의	정수장학회/NNP+의/JKG
지분을	지분/NNG+을/JKO
매각하겠다는	매각/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.271.6.1
부산일보 관계자는 이날 <한겨레>와의 통화에서 “최 이사장이 이날 임원회의에서 처음으로 매각 얘기를 꺼냈다”며 “그때는 지나가는 말인 줄 알았는데, <한겨레> 보도와 조성제 부산상공회의소 회장이 최 이사장을 만나 매각을 논의한 것을 보니 헛말이 아니었다”고 말했다.

부산일보	부산일보/NNP
관계자는	관계자/NNG+는/JX
이날	이날/NNG
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“최	“/SS+최/NNP
이사장이	이사장/NNG+이/JKS
임원회의에서	임원/NNG+회의/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
매각	매각/NNG
얘기를	얘기/NNG+를/JKO
꺼냈다”며	꺼내/VV+었/EP+다/EF+”/SS+며/EC
“그때는	“/SS+그때/NNG+는/JX
지나가는	지나가/VV+는/ETM
말인	말/NNG+이/VCP+ㄴ/ETM
줄	줄/NNB
알았는데,	알/VV+았/EP+는데/EC+,/SP
<한겨레>	</SS+한겨레/NNP+>/SS
보도와	보도/NNG+와/JC
조성제	조성제/NNP
부산상공회의소	부산상공회의소/NNP
회장이	회장/NNG+이/JKS
최	최/NNP
이사장을	이사장/NNG+을/JKO
만나	만나/VV+아/EC
매각을	매각/NNG+을/JKO
논의한	논의/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
보니	보/VV+니/EC
헛말이	헛/XPN+말/NNG+이/JKC
아니었다”고	아니/VCN+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.271.6.2
노조 관계자도 “최 이사장이 지난해 12월부터 회사 임원들과 만난 자리에서 여러 차례 매각 얘기를 꺼냈다”고 말했다.

