# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.186
metadata : {}


# id : NWRW1800000049.186.1.1
옥시, 형사처벌 피하려 새 법인 설립 의혹

옥시,	옥시/NNP+,/SP
형사처벌	형사/NNG+처벌/NNG
피하려	피하/VV+려/EC
새	새/MMA
법인	법인/NNG
설립	설립/NNG
의혹	의혹/NNG


# id : NWRW1800000049.186.2.1
가습기 살균제 사망 논란 일자… 기존법인 청산 ‘공소기각’ 노린듯 자사 직원 아파트서 유해성 측정… 동물 독성 실험도 농도 낮춰 ‘편법’

가습기	가습기/NNG
살균제	살균제/NNG
사망	사망/NNG
논란	논란/NNG
일자…	일/VV+자/EC+…/SE
기존법인	기존/NNG+법인/NNG
청산	청산/NNG
‘공소기각’	‘/SS+공소/NNG+기각/NNG+’/SS
노린듯	노리/VV+ㄴ/ETM+듯/NNB
자사	자사/NNG
직원	직원/NNG
아파트서	아파트/NNG+서/JKB
유해성	유해/NNG+성/XSN
측정…	측정/NNG+…/SE
동물	동물/NNG
독성	독성/NNG
실험도	실험/NNG+도/JX
농도	농도/NNG
낮춰	낮추/VV+어/EC
‘편법’	‘/SS+편법/NNG+’/SS


# id : NWRW1800000049.186.3.1
‘가습기 살균제 사망 사건’으로 검찰 수사를 받고 있는 살균제 제조판매업체 옥시레킷벤키저가 법적 책임을 피하기 위해 기존 법인을 청산하고 새 법인을 설립한 정황이 드러났다.

‘가습기	‘/SS+가습기/NNG
살균제	살균제/NNG
사망	사망/NNG
사건’으로	사건/NNG+’/SS+으로/JKB
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
제조판매업체	제조/NNG+판매업체/NNG
옥시레킷벤키저가	옥시레킷벤키저/NNP+가/JKS
법적	법/NNG+적/XSN
책임을	책임/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
기존	기존/NNG
법인을	법인/NNG+을/JKO
청산하고	청산/NNG+하/XSV+고/EC
새	새/MMA
설립한	설립/NNG+하/XSV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.186.4.1
서울중앙지검 특별수사팀(팀장 이철희 형사2부장)은 옥시 관계자를 조만간 소환해 법인 고의 청산 여부 등을 집중 조사할 방침이다.

서울중앙지검	서울중앙지검/NNP
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
이철희	이철희/NNP
형사2부장)은	형사/NNG+2/SN+부장/NNG+)/SS+은/JX
옥시	옥시/NNP
관계자를	관계자/NNG+를/JKO
조만간	조만간/MAG
소환해	소환/NNG+하/XSV+아/EC
법인	법인/NNG
고의	고의/NNG
청산	청산/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
집중	집중/NNG
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.186.4.2
검찰 등에 따르면 옥시는 2011년 12월 회사 형태를 주식회사에서 유한회사로 변경했다.

검찰	검찰/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
옥시는	옥시/NNP+는/JX
2011년	2011/SN+년/NNB
12월	12/SN+월/NNB
회사	회사/NNG
