# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.289
metadata : {}


# id : NWRW1800000029.289.1.1
우즈 연습경기서 한 라운드 10언더… 모처럼 ‘황제 샷’

우즈	우즈/NNP
연습경기서	연습/NNG+경기/NNG+서/JKB
한	한/MMN
라운드	라운드/NNG
10언더…	10/SN+언더/NNG+…/SE
모처럼	모처럼/MAG
‘황제	‘/SS+황제/NNG
샷’	샷/NNG+’/SS


# id : NWRW1800000029.289.2.1
타이거 우즈(36·미국·사진)가 모처럼 ‘골프 황제’다운 모습을 보였다.

타이거	타이거/NNP
우즈(36·미국·사진)가	우즈/NNP+(/SS+36/SN+·/SP+미국/NNP+·/SP+사진/NNG+)/SS+가/JKS
모처럼	모처럼/MAG
‘골프	‘/SS+골프/NNG
황제’다운	황제/NNG+’/SS+답/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.289.2.2
한 라운드에서 무려 10언더파를 몰아쳤다.

한	한/MMN
라운드에서	라운드/NNG+에서/JKB
무려	무려/MAG
10언더파를	10/SN+언더/NNG+파/NNG+를/JKO
몰아쳤다.	몰아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.289.2.3
비록 연습경기였지만 2009년 성추행 사건 이후 추락을 거듭하던 우즈로선 이를 반전의 계기로 만들 수 있을지 주목된다.

비록	비록/MAG
연습경기였지만	연습/NNG+경기/NNG+이/VCP+었/EP+지만/EC
2009년	2009/SN+년/NNB
성추행	성추행/NNG
사건	사건/NNG
이후	이후/NNG
추락을	추락/NNG+을/JKO
거듭하던	거듭/MAG+하/XSV+던/ETM
우즈로선	우즈/NNP+로서/JKB+ㄴ/JX
이를	이/NP+를/JKO
반전의	반전/NNG+의/JKG
계기로	계기/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.289.3.1
2일 NBC스포츠와 야후스포츠 등 미국 언론에 따르면 우즈는 지난달 30일 미국 플로리다 주 주피터의 메달리스트GC(파72)에서 열린 연습라운드에서 10언더파 62타의 맹타를 휘둘렀다.

2일	2/SN+일/NNB
NBC스포츠와	NBC스포츠/NNP+와/JC
야후스포츠	야후스포츠/NNP
등	등/NNB
미국	미국/NNP
언론에	언론/NNG+에/JKB
따르면	따르/VV+면/EC
우즈는	우즈/NNP+는/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
플로리다	플로리다/NNP
주	주/NNG
주피터의	주피터/NNP+의/JKG
메달리스트GC(파72)에서	메달리스트GC/NNP+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
연습라운드에서	연습/NNG+라운드/NNG+에서/JKB
10언더파	10/SN+언더/NNG+파/NNG
62타의	62/SN+타/NNG+의/JKG
맹타를	맹타/NNG+를/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.289.3.2
64타이던 코스레코드를 2타나 앞당겼다.

64타이던	64/SN+타/NNG+이/VCP+던/ETM
코스레코드를	코스레코드/NNG+를/JKO
2타나	2/SN+타/NNG+나/JX
앞당겼다.	앞당기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.289.4.1
우즈는 평소 연습을 했던 아일워스GC 대신 메달리스트GC로 자리를 옮겨 전반에 3개의 버디를 낚더니 후반 9개 홀에서는 버디를 7개나 기록했다.

우즈는	우즈/NNP+는/JX
평소	평소/NNG
연습을	연습/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
아일워스GC	아일워스GC/NNP
대신	대신/NNG
메달리스트GC로	메달리스트GC/NNP+로/JKB
자리를	자리/NNG+를/JKO
옮겨	옮기/VV+어/EC
전반에	전반/NNG+에/JKB
3개의	3/SN+개/NNB+의/JKG
버디를	버디/NNG+를/JKO
낚더니	낚/VV+더니/EC
후반	후반/NNG
9개	9/SN+개/NNB
홀에서는	홀/NNG+에서/JKB+는/JX
7개나	7/SN+개/NNB+나/JX
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.289.4.2
결국 보기 하나 없이 10개의 버디로 코스레코드를 완성했다.

결국	결국/MAG
보기	보기/NNG
하나	하나/NR
없이	없이/MAG
10개의	10/SN+개/NNB+의/JKG
버디로	버디/NNG+로/JKB
코스레코드를	코스레코드/NNG+를/JKO
