# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.402
metadata : {}


# id : NWRW1800000021.402.1.1
[인천/부천]섬마을 소녀가장 “4개 대학 붙었어요”

[인천/부천]섬마을	[/SS+인천/NNP+//SP+부천/NNP+]/SS+섬마을/NNG
소녀가장	소녀/NNG+가장/NNG
“4개	“/SS+4/SN+개/NNB
대학	대학/NNG
붙었어요”	붙/VV+었/EP+어요/EF+”/SS


# id : NWRW1800000021.402.2.1
인천 강화군의 외딴 섬인 교동도에 살고 있는 소녀가장이 온갖 역경을 이겨내고 4곳의 주요 대학에 동시에 합격해 화제다.

인천	인천/NNP
강화군의	강화군/NNP+의/JKG
외딴	외딴/MMA
섬인	섬/NNG+이/VCP+ㄴ/ETM
교동도에	교동도/NNP+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
소녀가장이	소녀/NNG+가장/NNG+이/JKS
온갖	온갖/MMN
역경을	역경/NNG+을/JKO
이겨내고	이기/VV+어/EC+내/VX+고/EC
4곳의	4/SN+곳/NNG+의/JKG
주요	주요/NNG
대학에	대학/NNG+에/JKB
동시에	동시/NNG+에/JKB
합격해	합격/NNG+하/XSV+아/EC
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.402.2.2
16일 인천시교육청에 따르면 교동고 3학년 장효선 양(18)은 고려대 국어국문학과, 인하대 동양어문학부, 명지대 법학과, 건국대 영어영문학과에 동시에 합격하는 영예를 안았다.

16일	16/SN+일/NNB
인천시교육청에	인천시교육청/NNP+에/JKB
따르면	따르/VV+면/EC
교동고	교동고/NNP
3학년	3/SN+학년/NNG
장효선	장효선/NNP
양(18)은	양/NNB+(/SS+18/SN+)/SS+은/JX
고려대	고려대/NNP
국어국문학과,	국어/NNG+국문학과/NNG+,/SP
인하대	인하대/NNP
동양어문학부,	동양/NNG+어문학부/NNG+,/SP
명지대	명지대/NNP
법학과,	법학과/NNG+,/SP
건국대	건국대/NNP
영어영문학과에	영어/NNP+영문학과/NNG+에/JKB
동시에	동시/NNG+에/JKB
합격하는	합격/NNG+하/XSV+는/ETM
영예를	영예/NNG+를/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.2.3
장 양은 강원도에서 초등학교 4학년 재학 중 어머니가 투병으로 세상을 떠난 뒤 아버지와도 연락이 끊겨 할머니(85)가 살고 있는 교동고로 전학했다.

장	장/NNP
양은	양/NNB+은/JX
강원도에서	강원도/NNP+에서/JKB
초등학교	초등학교/NNG
4학년	4/SN+학년/NNG
재학	재학/NNG
중	중/NNB
어머니가	어머니/NNG+가/JKS
투병으로	투병/NNG+으로/JKB
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
뒤	뒤/NNG
아버지와도	아버지/NNG+와/JKB+도/JX
연락이	연락/NNG+이/JKS
끊겨	끊기/VV+어/EC
할머니(85)가	할머니/NNG+(/SS+85/SN+)/SS+가/JKS
살고	살/VV+고/EC
있는	있/VX+는/ETM
교동고로	교동고/NNP+로/JKB
전학했다.	전학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.402.2.4
장 양은 현재 할머니를 돌보며 고1 쌍둥이 여동생들을 뒷바라지하고 있는 실질적인 소녀가장이다.

장	장/NNP
양은	양/NNB+은/JX
현재	현재/MAG
할머니를	할머니/NNG+를/JKO
돌보며	돌보/VV+며/EC
고1	고/NNG+1/SN
쌍둥이	쌍둥이/NNG
여동생들을	여동생/NNG+들/XSN+을/JKO
뒷바라지하고	뒷바라지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
소녀가장이다.	소녀/NNG+가장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.402.2.5
할머니는 일정한 수입이 없어 기초생활수급자로 지정돼 정부에서 지원해 주는 생활비로 생계를 이어가고 있다.

할머니는	할머니/NNG+는/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
수입이	수입/NNG+이/JKS
없어	없/VA+어/EC
기초생활수급자로	기초/NNG+생활/NNG+수급자/NNG+로/JKB
지정돼	지정/NNG+되/XSV+어/EC
정부에서	정부/NNG+에서/JKB
지원해	지원/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
생활비로	생활비/NNG+로/JKB
생계를	생계/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.402.3.1
장 양은 이런 자신의 처지와 가족의 생활을 글로 써 시 교육청이 지난달 주최한 ‘효행실천사례발표대회’에서 최우수상을 받기도 했다.

장	장/NNP
양은	양/NNB+은/JX
이런	이런/MMD
자신의	자신/NNG+의/JKG
처지와	처지/NNG+와/JC
가족의	가족/NNG+의/JKG
생활을	생활/NNG+을/JKO
글로	글/NNG+로/JKB
