# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.121
metadata : {}


# id : NWRW1800000040.121.1.1
뮤지컬들 ‘수난시대’

뮤지컬들	뮤지컬/NNG+들/XSN
‘수난시대’	‘/SS+수난/NNG+시대/NNG+’/SS


# id : NWRW1800000040.121.2.1
제작비 부족에…공연장 분쟁에…

제작비	제작비/NNG
부족에…공연장	부족/NNG+에/JKB+…/SE+공연장/NNG
분쟁에…	분쟁/NNG+에/JKB+…/SE


# id : NWRW1800000040.121.3.1
개막을 앞둔 화제의 뮤지컬들이 취소되거나 공연 무산 위기를 겪는 일이 잇따랐다.

개막을	개막/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
화제의	화제/NNG+의/JKG
뮤지컬들이	뮤지컬/NNG+들/XSN+이/JKS
취소되거나	취소/NNG+되/XSV+거나/EC
공연	공연/NNG
무산	무산/NNG
위기를	위기/NNG+를/JKO
겪는	겪/VV+는/ETM
일이	일/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.121.4.1
김려령 작가의 소설을 뮤지컬로 만든 <완득이>는 10일부터 공연을 시작하기로 했으나 1일 돌연 공연 자체를 취소했다.

김려령	김려령/NNP
작가의	작가/NNG+의/JKG
소설을	소설/NNG+을/JKO
뮤지컬로	뮤지컬/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
<완득이>는	</SS+완득이/NNP+>/SS+는/JX
10일부터	10/SN+일/NNB+부터/JX
공연을	공연/NNG+을/JKO
시작하기로	시작/NNG+하/XSV+기/ETN+로/JKB
했으나	하/VV+았/EP+으나/EC
1일	1/SN+일/NNB
돌연	돌연/MAG
공연	공연/NNG
자체를	자체/NNG+를/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.121.4.2
<완득이>는 <명성황후> 등으로 유명한 윤호진 연출가의 작품으로, 지난해 12월부터 지난달 23일까지 공연한 뒤 10일부터 홍익대학교 대학로 아트센터에서 재공연에 들어갈 예정이었다.

<완득이>는	</SS+완득이/NNP+>/SS+는/JX
<명성황후>	</SS+명성황후/NNP+>/SS
등으로	등/NNB+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
윤호진	윤호진/NNP
연출가의	연출가/NNG+의/JKG
작품으로,	작품/NNG+으로/JKB+,/SP
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
지난달	지난달/NNG
23일까지	23/SN+일/NNB+까지/JX
공연한	공연/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
10일부터	10/SN+일/NNB+부터/JX
홍익대학교	홍익대학교/NNP
대학로	대학로/NNP
아트센터에서	아트센터/NNG+에서/JKB
재공연에	재/XPN+공연/NNG+에/JKB
들어갈	들어가/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.121.4.3
제작사인 에이콤 관계자는 “경제적 사정 때문에 어쩔 수 없이 취소하게 되었고, 언제 다시 공연을 하게 될지는 미지수”라고 밝혔다.

제작사인	제작사/NNG+이/VCP+ㄴ/ETM
에이콤	에이콤/NNP
관계자는	관계자/NNG+는/JX
“경제적	“/SS+경제/NNG+적/XSN
사정	사정/NNG
때문에	때문/NNB+에/JKB
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
취소하게	취소/NNG+하/XSV+게/EC
되었고,	되/VV+었/EP+고/EC+,/SP
언제	언제/MAG
다시	다시/MAG
공연을	공연/NNG+을/JKO
하게	하/VV+게/EC
될지는	되/VV+ㄹ지/EF+는/JX
미지수”라고	미지수/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.121.4.4
<완득이>는 현재 예매 관객들에게 환불 조처를 하고 있지만, 공연을 불과 1주일여 앞두고 갑자기 취소한 것은 관객들을 우롱한 것이란 비판을 듣게 됐다.

<완득이>는	</SS+완득이/NNP+>/SS+는/JX
현재	현재/MAG
예매	예매/NNG
관객들에게	관객/NNG+들/XSN+에게/JKB
환불	환불/NNG
조처를	조처/NNG+를/JKO
하고	하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
공연을	공연/NNG+을/JKO
불과	불과/MAG
1주일여	1/SN+주일/NNB+여/XSN
앞두고	앞두/VV+고/EC
갑자기	갑자기/MAG
취소한	취소/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
관객들을	관객/NNG+들/XSN+을/JKO
우롱한	우롱/NNG+하/XSV+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
비판을	비판/NNG+을/JKO
듣게	듣/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.121.5.1
가수 고 김광석의 노래로 만들어 4일부터 서울 대학로 뮤지컬센터 대극장에서 초연하는 창작 뮤지컬 <그날들>은 공연을 코앞에 두고 공연장 건축주 문제로 공연 자체가 ‘볼모’가 되는 난관을 겪었다.

가수	가수/NNG
고	고/MMA
김광석의	김광석/NNP+의/JKG
노래로	노래/NNG+로/JKB
만들어	만들/VV+어/EC
4일부터	4/SN+일/NNB+부터/JX
서울	서울/NNP
대학로	대학로/NNP
뮤지컬센터	뮤지컬/NNG+센터/NNG
대극장에서	대/XPN+극장/NNG+에서/JKB
초연하는	초연/NNG+하/XSV+는/ETM
창작	창작/NNG
뮤지컬	뮤지컬/NNG
<그날들>은	</SS+그날들/NNP+>/SS+은/JX
공연을	공연/NNG+을/JKO
코앞에	코앞/NNG+에/JKB
두고	두/VV+고/EC
공연장	공연장/NNG
건축주	건축주/NNG
문제로	문제/NNG+로/JKB
공연	공연/NNG
자체가	자체/NNG+가/JKS
‘볼모’가	‘/SS+볼모/NNG+’/SS+가/JKC
되는	되/VV+는/ETM
난관을	난관/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.121.5.2
극장 건물주인 애니웍스가 시공사인 대우조선해양건설에 공사 대금 일부를 지급하지 않아 대우조선해양이 건물 유치권을 행사했고, 이 바람에 배우와 스태프들의 공연장 출입이 전면 통제되어 막바지 연습에 큰 차질을 빚게 된 것이다.

극장	극장/NNG
건물주인	건물주/NNG+이/VCP+ㄴ/ETM
애니웍스가	애니웍스/NNP+가/JKS
시공사인	시공사/NNG+이/VCP+ㄴ/ETM
대우조선해양건설에	대우조선해양건설/NNP+에/JKB
공사	공사/NNG
대금	대금/NNG
일부를	일부/NNG+를/JKO
지급하지	지급/NNG+하/XSV+지/EC
않아	않/VX+아/EC
대우조선해양이	대우조선해양/NNP+이/JKS
건물	건물/NNG
유치권을	유치/NNG+권/XSN+을/JKO
행사했고,	행사/NNG+하/XSV+았/EP+고/EC+,/SP
이	이/MMD
바람에	바람/NNB+에/JKB
배우와	배우/NNG+와/JC
스태프들의	스태프/NNG+들/XSN+의/JKG
공연장	공연장/NNG
출입이	출입/NNG+이/JKS
전면	전면/NNG
통제되어	통제/NNG+되/XSV+어/EC
막바지	막바지/NNG
연습에	연습/NNG+에/JKB
큰	크/VA+ㄴ/ETM
차질을	차질/NNG+을/JKO
빚게	빚/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.121.5.3
이 공연은 유준상, 오만석 등이 출연하고 뮤지컬 <김종욱 찾기>의 연출가 장유정의 복귀작으로 일찌감치 화제를 모았던 올해 기대작이다.

이	이/MMD
공연은	공연/NNG+은/JX
유준상,	유준상/NNP+,/SP
오만석	오만석/NNP
등이	등/NNB+이/JKS
출연하고	출연/NNG+하/XSV+고/EC
뮤지컬	뮤지컬/NNG
<김종욱	</SS+김종욱/NNP
찾기>의	찾/VV+기/ETN+>/SS+의/JKG
연출가	연출가/NNG
장유정의	장유정/NNP+의/JKG
복귀작으로	복귀작/NNG+으로/JKB
일찌감치	일찌감치/MAG
화제를	화제/NNG+를/JKO
모았던	모으/VV+았/EP+던/ETM
올해	올해/NNG
기대작이다.	기대작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.121.6.1
<그날들> 제작진은 “건물주와 정상적으로 대관 계약을 하고 준비해 왔는데 공연에 대해 유치권을 행사하는 것을 납득할 수 없다”며 1일 대우조선해양건설을 상대로 공연방해금지 가처분 신청을 냈다.

<그날들>	</SS+그날들/NNP+>/SS
제작진은	제작진/NNG+은/JX
“건물주와	“/SS+건물주/NNG+와/JKB
정상적으로	정상/NNG+적/XSN+으로/JKB
대관	대관/NNG
계약을	계약/NNG+을/JKO
하고	하/VV+고/EC
준비해	준비/NNG+하/XSV+아/EC
왔는데	오/VX+았/EP+는데/EC
공연에	공연/NNG+에/JKB
대해	대하/VV+아/EC
유치권을	유치/NNG+권/XSN+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
1일	1/SN+일/NNB
대우조선해양건설을	대우조선해양건설/NNP+을/JKO
상대로	상대/NNG+로/JKB
공연방해금지	공연/NNG+방해/NNG+금지/NNG
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.121.6.2
2일 법원이 가처분 신청을 받아들여 공연 준비를 다시 할 수 있게 되었지만 제작진은 출입이 통제된 극장 안에서 이틀 넘게 버티며 연습을 이어가는 어려움을 겪어야 했다.

2일	2/SN+일/NNB
법원이	법원/NNG+이/JKS
가처분	가/XPN+처분/NNG
신청을	신청/NNG+을/JKO
받아들여	받아들이/VV+어/EC
공연	공연/NNG
준비를	준비/NNG+를/JKO
다시	다시/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되었지만	되/VV+었/EP+지만/EC
제작진은	제작진/NNG+은/JX
출입이	출입/NNG+이/JKS
통제된	통제/NNG+되/XSV+ㄴ/ETM
극장	극장/NNG
안에서	안/NNG+에서/JKB
이틀	이틀/NNG
넘게	넘/VV+게/EC
버티며	버티/VV+며/EC
연습을	연습/NNG+을/JKO
이어가는	잇/VV+어/EC+가/VX+는/ETM
어려움을	어려움/NNG+을/JKO
겪어야	겪/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.121.6.3
1일부터 유치권이 행사되면서 한번 공연장 바깥으로 나오면 다시 들어갈 수 없다 보니 장유정 연출가와 주요 스태프 10여명이 31일부터 공연장 안에 남아 작품 준비를 계속했다.

1일부터	1/SN+일/NNB+부터/JX
유치권이	유치/NNG+권/XSN+이/JKS
행사되면서	행사/NNG+되/XSV+면서/EC
한번	한번/MAG
공연장	공연장/NNG
바깥으로	바깥/NNG+으로/JKB
나오면	나오/VV+면/EC
다시	다시/MAG
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EF
보니	보/VX+니/EC
장유정	장유정/NNP
연출가와	연출가/NNG+와/JC
주요	주요/NNG
스태프	스태프/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
31일부터	31/SN+일/NNB+부터/JX
안에	안/NNG+에/JKB
남아	남/VV+아/EC
작품	작품/NNG
준비를	준비/NNG+를/JKO
계속했다.	계속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.121.6.4
<그날들> 제작진은 “외부와의 출입이 차단된 상태이기 때문에 음식과 생필품 전달조차도 여의치 않았다”며 “기업의 이익 논리 사이에 많은 대중의 관심이 집중되고 있는 공연이 볼모가 되는 이런 일은 앞으로 없어야 할 것”이라고 말했다.

<그날들>	</SS+그날들/NNP+>/SS
제작진은	제작진/NNG+은/JX
“외부와의	“/SS+외부/NNG+와/JKB+의/JKG
출입이	출입/NNG+이/JKS
차단된	차단/NNG+되/XSV+ㄴ/ETM
상태이기	상태/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
음식과	음식/NNG+과/JC
생필품	생필품/NNG
