# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.370
metadata : {}


# id : NWRW1800000021.370.1.1
[제주]김태영 국방장관 제주 방문… ‘해군기지 연내 착공’ 당부

[제주]김태영	[/SS+제주/NNP+]/SS+김태영/NNP
국방장관	국방/NNG+장관/NNG
제주	제주/NNP
방문…	방문/NNG+…/SE
‘해군기지	‘/SS+해군/NNG+기지/NNG
연내	연내/NNG
착공’	착공/NNG+’/SS
당부	당부/NNG


# id : NWRW1800000021.370.2.1
김태영 국방부 장관은 14일 제주도와 제주도의회를 방문해 서귀포시 대천동(강정마을)에 건설 예정인 제주해군기지(민군복합형 관광미항)의 원만한 해결을 당부했다.

김태영	김태영/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
14일	14/SN+일/NNB
제주도와	제주도/NNP+와/JC
제주도의회를	제주도의회/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
서귀포시	서귀포시/NNP
대천동(강정마을)에	대천동/NNP+(/SS+강정마을/NNP+)/SS+에/JKB
건설	건설/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
제주해군기지(민군복합형	제주해군기지/NNP+(/SS+민군/NNG+복합/NNG+형/XSN
관광미항)의	관광/NNG+미항/NNG+)/SS+의/JKG
원만한	원만하/VA+ㄴ/ETM
해결을	해결/NNG+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.370.2.2
김 장관은 이날 기자간담회에서 “연내에 착공하도록 노력하겠지만 절차상 하자가 있거나 주민 합의가 제대로 이뤄지지 않으면 내년으로 미룰 수밖에 없다”며 “원칙대로 해결하겠다”고 밝혔다.

김	김/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“연내에	“/SS+연내/NNG+에/JKB
착공하도록	착공/NNG+하/XSV+도록/EC
노력하겠지만	노력/NNG+하/XSV+겠/EP+지만/EC
절차상	절차/NNG+상/XSN
하자가	하자/NNG+가/JKS
있거나	있/VA+거나/EC
주민	주민/NNG
합의가	합의/NNG+가/JKS
제대로	제대로/MAG
이뤄지지	이뤄지/VV+지/EC
않으면	않/VX+으면/EC
내년으로	내년/NNG+으로/JKB
미룰	미루/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“원칙대로	“/SS+원칙/NNG+대로/JX
해결하겠다”고	해결/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.370.2.3
김 장관은 강정마을 주민 등이 국방부 장관을 상대로 서울행정법원에 낸 ‘국방·군사시설사업 실시계획 승인처분 무효확인’ 소송과 관련해 “제주도와 국가, 또 모두에게 바람직한 쪽으로 가는 것이 좋다”고 말했다.

김	김/NNP
장관은	장관/NNG+은/JX
강정마을	강정마을/NNP
주민	주민/NNG
등이	등/NNB+이/JKS
국방부	국방부/NNG
장관을	장관/NNG+을/JKO
상대로	상대/NNG+로/JKB
서울행정법원에	서울행정법원/NNP+에/JKB
낸	내/VV+ㄴ/ETM
‘국방·군사시설사업	‘/SS+국방/NNG+·/SP+군사/NNG+시설/NNG+사업/NNG
실시계획	실시/NNG+계획/NNG
승인처분	승인/NNG+처분/NNG
무효확인’	무효/NNG+확인/NNG+’/SS
소송과	소송/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“제주도와	“/SS+제주도/NNP+와/JC
국가,	국가/NNG+,/SP
또	또/MAG
모두에게	모두/NNG+에게/JKB
바람직한	바람직하/VA+ㄴ/ETM
쪽으로	쪽/NNB+으로/JKB
가는	가/VV+는/ETM
것이	것/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


