# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.328
metadata : {}


# id : NWRW1800000040.328.1.1
[유레카] 난중일기 / 백기철

[유레카]	[/SS+유레카/NNG+]/SS
난중일기	난중일기/NNP
/	//SP
백기철	백기철/NNP


# id : NWRW1800000040.328.2.1
“북쪽에 갔을 때도 고락을 같이하고/ 남쪽에 와서도 생사를 함께하는구나/ 오늘 밤 달빛 아래 한잔 술을 나누고 나면/ 내일은 이별을 아쉬워하겠구나.”

“북쪽에	“/SS+북쪽/NNG+에/JKB
갔을	가/VV+았/EP+을/ETM
때도	때/NNG+도/JX
고락을	고락/NNG+을/JKO
같이하고/	같이/MAG+하/XSV+고/EC+//SP
남쪽에	남쪽/NNG+에/JKB
와서도	오/VV+아서/EC+도/JX
생사를	생사/NNG+를/JKO
함께하는구나/	함께/MAG+하/XSV+는구나/EF+//SP
오늘	오늘/NNG
밤	밤/NNG
달빛	달빛/NNG
아래	아래/NNG
한잔	한잔/NNG
술을	술/NNG+을/JKO
나누고	나누/VV+고/EC
나면/	나/VX+면/EC+//SP
내일은	내일/NNG+은/JX
이별을	이별/NNG+을/JKO
아쉬워하겠구나.”	아쉬워하/VV+겠/EP+구나/EF+./SF+”/SS


# id : NWRW1800000040.328.3.1
이순신이 삼도 수군통제사 시절 <난중일기>에 적은 글이다.

이순신이	이순신/NNP+이/JKS
삼도	삼도/NNG
수군통제사	수군통제사/NNG
시절	시절/NNG
<난중일기>에	</SS+난중일기/NNP+>/SS+에/JKB
적은	적/VV+은/ETM
글이다.	글/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.328.3.2
생사고락을 함께한 부하를 떠나보내는 마음이 애절하다.

생사고락을	생사고락/NNG+을/JKO
함께한	함께/MAG+하/XSV+ㄴ/ETM
부하를	부하/NNG+를/JKO
떠나보내는	떠나보내/VV+는/ETM
마음이	마음/NNG+이/JKS
애절하다.	애절하/VA+다/EF+./SF


# id : NWRW1800000040.328.3.3
최근 유네스코 세계기록유산 등재가 사실상 확정된 난중일기는 조선의 선비이자 무장인 인간 이순신의 참모습을 볼 수 있다는 점에서 흥미롭다.

최근	최근/MAG
유네스코	유네스코/NNP
세계기록유산	세계/NNG+기록/NNG+유산/NNG
등재가	등재/NNG+가/JKS
사실상	사실상/MAG
확정된	확정/NNG+되/XSV+ㄴ/ETM
난중일기는	난중일기/NNP+는/JX
조선의	조선/NNP+의/JKG
선비이자	선비/NNG+이/VCP+자/EC
무장인	무장/NNG+이/VCP+ㄴ/ETM
인간	인간/NNG
이순신의	이순신/NNP+의/JKG
참모습을	참모습/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000040.328.3.4
난중일기는 충무공이 전라좌수사로 부임한 1592년 1월부터 노량해전에서 전사하기 직전인 1598년 11월까지 7년에 걸친 기록이다.

난중일기는	난중일기/NNP+는/JX
충무공이	충무공/NNP+이/JKS
전라좌수사로	전라/NNP+좌수사/NNG+로/JKB
부임한	부임/NNG+하/XSV+ㄴ/ETM
1592년	1592/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
노량해전에서	노량/NNP+해전/NNG+에서/JKB
전사하기	전사/NNG+하/XSV+기/ETN
직전인	직전/NNG+이/VCP+ㄴ/ETM
1598년	1598/SN+년/NNB
11월까지	11/SN+월/NNB+까지/JX
7년에	7/SN+년/NNB+에/JKB
