# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.44
metadata : {}


# id : NWRW1800000045.44.1.1
[뉴스 분석]여론 업은 부자증세… 오바마 승부수, 巨野의 벽 넘을까

[뉴스	[/SS+뉴스/NNG
분석]여론	분석/NNG+]/SS+여론/NNG
업은	업/VV+은/ETM
부자증세…	부자/NNG+증세/NNG+…/SE
오바마	오바마/NNP
승부수,	승부수/NNG+,/SP
巨野의	巨野/SH+의/JKG
벽	벽/NNG
넘을까	넘/VV+을까/EF


# id : NWRW1800000045.44.2.1
2년전엔 부자증세 합의안 이끌어내… 이번엔 공화 장악 의회통과 힘들듯 서민들은 호의적… 타협 가능성도

2년전엔	2/SN+년/NNB+전/NNG+에/JKB+ㄴ/JX
부자증세	부자/NNG+증세/NNG
합의안	합의안/NNG
이끌어내…	이끌/VV+어/EC+내/VX+어/EC+…/SE
이번엔	이번/NNG+에/JKB+ㄴ/JX
공화	공화/NNP
장악	장악/NNG
의회통과	의회/NNG+통과/NNG
힘들듯	힘들/VA+ㄹ/ETM+듯/NNB
서민들은	서민/NNG+들/XSN+은/JX
호의적…	호의/NNG+적/XSN+…/SE
타협	타협/NNG
가능성도	가능/NNG+성/XSN+도/JX


# id : NWRW1800000045.44.3.1
버락 오바마 미국 대통령이 20일 신년 국정연설에서 내건 총 3200억 달러(약 345조 원) 규모의 ‘부자 증세’는 과연 실현될 수 있을까.

버락	버락/NNP
오바마	오바마/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
20일	20/SN+일/NNB
신년	신년/NNG
국정연설에서	국정/NNG+연설/NNG+에서/JKB
내건	내걸/VV+ㄴ/ETM
총	총/MMA
3200억	3200/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
345조	345/SN+조/NR
원)	원/NNB+)/SS
규모의	규모/NNG+의/JKG
‘부자	‘/SS+부자/NNG
증세’는	증세/NNG+’/SS+는/JX
과연	과연/MAG
실현될	실현/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000045.44.3.2
그동안 오바마 대통령은 2009년 취임 후 지속적으로 부자 증세를 추진해오면서 공화당과 일진일퇴를 거듭해왔다.

그동안	그동안/NNG
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
2009년	2009/SN+년/NNB
취임	취임/NNG
후	후/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
부자	부자/NNG
증세를	증세/NNG+를/JKO
추진해오면서	추진/NNG+하/XSV+아/EC+오/VX+면서/EC
공화당과	공화당/NNP+과/JKB
일진일퇴를	일진일퇴/NNG+를/JKO
거듭해왔다.	거듭/MAG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.44.3.3
지금까지 성적은 ‘1승 1패’다.

지금까지	지금/NNG+까지/JX
성적은	성적/NNG+은/JX
‘1승	‘/SS+1/SN+승/NNB
1패’다.	1/SN+패/NNB+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000045.44.4.1
두 번째 대선을 앞둔 2012년 4월 이른바 ‘버핏세’ 도입 법안을 추진했으나 상원에서 부결됐다.

두	두/MMN
번째	번/NNB+째/XSN
대선을	대선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
2012년	2012/SN+년/NNB
4월	4/SN+월/NNB
이른바	이른바/MAG
‘버핏세’	‘/SS+버핏세/NNG+’/SS
도입	도입/NNG
법안을	법안/NNG+을/JKO
추진했으나	추진/NNG+하/XSV+았/EP+으나/EC
상원에서	상원/NNG+에서/JKB
부결됐다.	부결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.44.4.2
버핏세는 워런 버핏 버크셔해서웨이 회장 겸 최고경영자(CEO)가 고소득층이 세금을 덜 내는 구조를 고쳐야 한다고 지적한 데서 착안한 것으로, 연소득 100만 달러(약 10억8000만 원) 이상 부자들의 소득세율을 17%대에서 30%로 높이는 내용의 부자 과세법안이다.

버핏세는	버핏세/NNG+는/JX
워런	워런/NNP
버핏	버핏/NNP
버크셔해서웨이	버크셔해서웨이/NNP
회장	회장/NNG
겸	겸/NNB
최고경영자(CEO)가	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS+가/JKS
고소득층이	고/XPN+소득/NNG+층/XSN+이/JKS
세금을	세금/NNG+을/JKO
덜	덜/MAG
내는	내/VV+는/ETM
구조를	구조/NNG+를/JKO
고쳐야	고치/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
지적한	지적/NNG+하/XSV+ㄴ/ETM
데서	데/NNB+서/JKB
착안한	착안/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
