# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.282
metadata : {}


# id : NWRW1800000040.282.1.1
‘80억원의 사나이’ 추신수

‘80억원의	‘/SS+80/SN+억/NR+원/NNB+의/JKG
사나이’	사나이/NNG+’/SS
추신수	추신수/NNP


# id : NWRW1800000040.282.2.1
자유계약선수(FA)가 되기 직전 ‘추추 트레인’의 가치는 80억원이었다.

자유계약선수(FA)가	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+가/JKC
되기	되/VV+기/ETN
직전	직전/NNG
‘추추	‘/SS+추추/NNP
트레인’의	트레인/NNG+’/SS+의/JKG
가치는	가치/NNG+는/JX
80억원이었다.	80/SN+억/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.282.3.1
미국프로야구 메이저리그 공식 누리집 <엠엘비닷컴>(MLB.COM)은 12일(한국시각) “신시내티 레즈 추신수(31)가 연봉조정 청문회에 가기 직전 1년간 737만5000달러(80억7000만원)에 계약했다”고 보도했다.

미국프로야구	미국/NNP+프로/NNG+야구/NNG
메이저리그	메이저리그/NNG
공식	공식/NNG
누리집	누리집/NNG
<엠엘비닷컴>(MLB.COM)은	</SS+엠엘비닷컴/NNP+>/SS+(/SS+MLB/SL+./SP+COM/SL+)/SS+은/JX
12일(한국시각)	12/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
“신시내티	“/SS+신시내티/NNP
레즈	레즈/NNP
추신수(31)가	추신수/NNP+(/SS+31/SN+)/SS+가/JKS
연봉조정	연봉/NNG+조정/NNG
청문회에	청문회/NNG+에/JKB
가기	가/VV+기/ETN
직전	직전/NNG
1년간	1/SN+년/NNB+간/XSN
737만5000달러(80억7000만원)에	737/SN+만/NR+5000/SN+달러/NNB+(/SS+80/SN+억/NR+7000/SN+만/NR+원/NNB+)/SS+에/JKB
계약했다”고	계약/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.282.3.2
737만5000달러는 지난해 연봉(490만달러)보다 50.5%가 오른 액수다.

737만5000달러는	737/SN+만/NR+5000/SN+달러/NNB+는/JX
지난해	지난해/NNG
연봉(490만달러)보다	연봉/NNG+(/SS+490/SN+만/NR+달러/NNB+)/SS+보다/JKB
50.5%가	50/SN+./SP+5/SN+%/SW+가/JKS
오른	오르/VV+ㄴ/ETM
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.282.3.3
원래 신시내티는 675만달러를 제시했고, 추신수는 800만달러를 요구해 연봉조정을 막 거칠 참이었다.

원래	원래/MAG
신시내티는	신시내티/NNP+는/JX
675만달러를	675/SN+만/NR+달러/NNB+를/JKO
제시했고,	제시/NNG+하/XSV+았/EP+고/EC+,/SP
추신수는	추신수/NNP+는/JX
800만달러를	800/SN+만/NR+달러/NNB+를/JKO
요구해	요구/NNG+하/XSV+아/EC
연봉조정을	연봉/NNG+조정/NNG+을/JKO
막	막/MAG
거칠	거치/VV+ㄹ/ETM
참이었다.	참/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.282.3.4
양측이 반반씩 양보해 절충해 낸 액수가 737만5000달러였다.

양측이	양측/NNG+이/JKS
반반씩	반반/NNG+씩/XSN
양보해	양보/NNG+하/XSV+아/EC
절충해	절충/NNG+하/XSV+아/EC
낸	내/VX+ㄴ/ETM
액수가	액수/NNG+가/JKS
737만5000달러였다.	737/SN+만/NR+5000/SN+달러/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.282.4.1
추신수의 올해 연봉은 단기계약으로는 역대 한국인 메이저리거 2위에 해당한다.

추신수의	추신수/NNP+의/JKG
올해	올해/NNG
연봉은	연봉/NNG+은/JX
단기계약으로는	단기/NNG+계약/NNG+으로/JKB+는/JX
역대	역대/NNG
한국인	한국인/NNG
메이저리거	메이저리거/NNG
2위에	2/SN+위/NNB+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.282.4.2
2001년 박찬호는 자유계약선수가 되기 직전 소속팀 엘에이(LA) 다저스로부터 990만달러를 받은 바 있다.

2001년	2001/SN+년/NNB
박찬호는	박찬호/NNP+는/JX
자유계약선수가	자유/NNG+계약/NNG+선수/NNG+가/JKC
되기	되/VV+기/ETN
직전	직전/NNG
소속팀	소속/NNG+팀/NNG
엘에이(LA)	엘에이/NNP+(/SS+LA/SL+)/SS
다저스로부터	다저스/NNP+로부터/JKB
990만달러를	990/SN+만/NR+달러/NNB+를/JKO
받은	받/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.282.4.3
당시 박찬호의 에이전트도 추신수와 같은 스캇 보라스였다.

당시	당시/NNG
박찬호의	박찬호/NNP+의/JKG
에이전트도	에이전트/NNG+도/JX
추신수와	추신수/NNP+와/JKB
같은	같/VA+은/ETM
스캇	스캇/NNP
보라스였다.	보라스/NNP+이/VCP+었/EP+다/EF+./SF


