# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.379
metadata : {}


# id : NWRW1800000045.379.1.1
朴대통령 “평화통일, 中과 논의 곧 시작”

朴대통령	朴/SH+대통령/NNG
“평화통일,	“/SS+평화/NNG+통일/NNG+,/SP
中과	中/SH+과/JKB
논의	논의/NNG
곧	곧/MAG
시작”	시작/NNG+”/SS


# id : NWRW1800000045.379.2.1
訪中 귀국길 기내 간담회서 밝혀 “시진핑과 한반도 논의때 中과의 협력 방안에 중점” 상하이 臨政청사 재개관식선 “애국정신 살려 통일로”

訪中	訪中/SH
귀국길	귀국길/NNG
기내	기내/NNG
간담회서	간담회/NNG+서/JKB
밝혀	밝히/VV+어/EC
“시진핑과	“/SS+시진핑/NNP+과/JKB
한반도	한반도/NNP
논의때	논의/NNG+때/NNG
中과의	中/SH+과/JKB+의/JKG
협력	협력/NNG
방안에	방안/NNG+에/JKB
중점”	중점/NNG+”/SS
상하이	상하이/NNP
臨政청사	臨政/SH+청사/NNG
재개관식선	재/XPN+개관식/NNG+서/JKB+ㄴ/JX
“애국정신	“/SS+애국정신/NNG
살려	살리/VV+어/EC
통일로”	통일/NNG+로/JKB+”/SS


# id : NWRW1800000045.379.3.1
박근혜 대통령은 4일 “앞으로 한반도의 평화통일을 위해 중국과 같이 협력해 나가기로 했다”며 “가능한 한 조속한 시일 내에 한반도 평화통일을 어떻게 이루어 나갈 것인가에 대해 다양한 논의가 시작될 것”이라고 밝혔다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
4일	4/SN+일/NNB
“앞으로	“/SS+앞/NNG+으로/JKB
한반도의	한반도/NNP+의/JKG
평화통일을	평화/NNG+통일/NNG+을/JKO
위해	위하/VV+아/EC
중국과	중국/NNP+과/JKB
같이	같이/MAG
협력해	협력/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
“가능한	“/SS+가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
조속한	조속하/VA+ㄴ/ETM
시일	시일/NNG
내에	내/NNB+에/JKB
한반도	한반도/NNP
어떻게	어떻/VA+게/EC
이루어	이루/VV+어/EC
나갈	나가/VX+ㄹ/ETM
것인가에	것/NNB+이/VCP+ㄴ가/EF+에/JKB
대해	대하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
논의가	논의/NNG+가/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
