# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.43
metadata : {}


# id : NWRW1800000046.43.1.1
"가장 골치아픈 직업"… 첫 女性 유엔 총장 나오나

"가장	"/SS+가장/MAG
골치아픈	골치/NNG+아프/VA+ㄴ/ETM
직업"…	직업/NNG+"/SS+…/SE
첫	첫/MMN
女性	女性/SH
유엔	유엔/NNP
총장	총장/NNG
나오나	나오/VV+나/EF


# id : NWRW1800000046.43.2.1
193개 회원국에 총장후보 추천 요청… 선출 절차 돌입

193개	193/SN+개/NNB
회원국에	회원국/NNG+에/JKB
총장후보	총장/NNG+후보/NNG
추천	추천/NNG
요청…	요청/NNG+…/SE
선출	선출/NNG
절차	절차/NNG
돌입	돌입/NNG


# id : NWRW1800000046.43.3.1
'증명된 리더십과 관리 능력, 국제 관계 분야의 폭넓은 경험, 강한 외교력과 의사소통, 다국어 능력을 보유한 후보자들을 초청한다.'

'증명된	'/SS+증명/NNG+되/XSV+ㄴ/ETM
리더십과	리더십/NNG+과/JC
관리	관리/NNG
능력,	능력/NNG+,/SP
국제	국제/NNG
관계	관계/NNG
분야의	분야/NNG+의/JKG
폭넓은	폭넓/VA+은/ETM
경험,	경험/NNG+,/SP
강한	강하/VA+ㄴ/ETM
외교력과	외교력/NNG+과/JC
의사소통,	의사소통/NNG+,/SP
다국어	다국어/NNG
능력을	능력/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
후보자들을	후보자/NNG+들/XSN+을/JKO
초청한다.'	초청/NNG+하/XSV+ㄴ다/EF+./SF+'/SS


# id : NWRW1800000046.43.4.1
'세계 대통령' '지구촌 CEO(최고경영자)' '최고위 외교관' 등으로 불리는 차기 유엔(UN) 사무총장 선출 절차가 15일(현지 시각) 공식 시작됐다.

'세계	'/SS+세계/NNG
대통령'	대통령/NNG+'/SS
'지구촌	'/SS+지구촌/NNG
CEO(최고경영자)'	CEO/SL+(/SS+최고/NNG+경영자/NNG+)/SS+'/SS
'최고위	'/SS+최/XPN+고위/NNG
외교관'	외교관/NNG+'/SS
등으로	등/NNB+으로/JKB
불리는	불리/VV+는/ETM
차기	차기/NNG
유엔(UN)	유엔/NNP+(/SS+UN/SL+)/SS
사무총장	사무총장/NNG
선출	선출/NNG
절차가	절차/NNG+가/JKS
15일(현지	15/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
공식	공식/NNG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.43.4.2
유엔은 이날 서맨사 파워 안전보장이사회 의장과 모겐스 뤼케토프트 유엔총회 의장 공동 명의의 서한을 193개 회원국에 보내 후보를 추천해달라고 했다.

유엔은	유엔/NNP+은/JX
이날	이날/NNG
서맨사	서맨사/NNP
파워	파워/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
의장과	의장/NNG+과/JC
모겐스	모겐스/NNP
뤼케토프트	뤼케토프트/NNP
유엔총회	유엔/NNP+총회/NNG
의장	의장/NNG
공동	공동/NNG
명의의	명의/NNG+의/JKG
서한을	서한/NNG+을/JKO
193개	193/SN+개/NNB
회원국에	회원국/NNG+에/JKB
보내	보내/VV+어/EC
후보를	후보/NNG+를/JKO
추천해달라고	추천/NNG+하/XSV+아/EC+달/VX+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.43.4.3
2007년 1월 5년 임기의 유엔 사무총장으로 취임해 연임(連任)에 성공한 반기문 총장은 내년 말로 10년 임기를 끝내게 된다.

2007년	2007/SN+년/NNB
1월	1/SN+월/NNB
5년	5/SN+년/NNB
임기의	임기/NNG+의/JKG
유엔	유엔/NNP
사무총장으로	사무총장/NNG+으로/JKB
취임해	취임/NNG+하/XSV+아/EC
연임(連任)에	연임/NNG+(/SS+連任/SH+)/SS+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
반기문	반기문/NNP
총장은	총장/NNG+은/JX
내년	내년/NNG
말로	말/NNB+로/JKB
10년	10/SN+년/NNB
임기를	임기/NNG+를/JKO
끝내게	끝내/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.43.5.1
지금까지 유엔 사무총장 선출은 사실상 안전보장이사회 5개 상임이사국이 모여 낙점하고 총회의 형식적 절차만 거치는 '밀실 선출' 방식이었다.

지금까지	지금/NNG+까지/JX
유엔	유엔/NNP
사무총장	사무총장/NNG
선출은	선출/NNG+은/JX
사실상	사실/NNG+상/XSN
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
5개	5/SN+개/NNB
상임이사국이	상임/NNG+이사국/NNG+이/JKS
모여	모이/VV+어/EC
낙점하고	낙점/NNG+하/XSV+고/EC
총회의	총회/NNG+의/JKG
형식적	형식/NNG+적/XSN
절차만	절차/NNG+만/JX
거치는	거치/VV+는/ETM
'밀실	'/SS+밀실/NNG
선출'	선출/NNG+'/SS
방식이었다.	방식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.43.5.2
그러나 지난 9월 전 회원국이 사무총장 후보를 추천하고 도전할 수 있도록 하는 결의안이 총회에서 채택돼 총장 선출 절차가 투명화됐다.

그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
전	전/MMN
회원국이	회원국/NNG+이/JKS
사무총장	사무총장/NNG
후보를	후보/NNG+를/JKO
추천하고	추천/NNG+하/XSV+고/EC
도전할	도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VV+는/ETM
결의안이	결의안/NNG+이/JKS
총회에서	총회/NNG+에서/JKB
채택돼	채택/NNG+되/XSV+어/EC
총장	총장/NNG
선출	선출/NNG
절차가	절차/NNG+가/JKS
투명화됐다.	투명/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.43.5.3
서한에 선출 일정이 명시돼 있지는 않지만 내년 3월 중순 무렵까지 회원국들이 후보를 추천하면 3월 말 또는 4월 초 청문회가 열리고 7월쯤 안보리가 최종 후보 1명을 선정해 총회에 통보할 것으로 보인다.

서한에	서한/NNG+에/JKB
선출	선출/NNG
일정이	일정/NNG+이/JKS
명시돼	명시/NNG+되/XSV+어/EC
있지는	있/VX+지/EC+는/JX
않지만	않/VX+지만/EC
내년	내년/NNG
3월	3/SN+월/NNB
중순	중순/NNG
무렵까지	무렵/NNB+까지/JX
회원국들이	회원국/NNG+들/XSN+이/JKS
후보를	후보/NNG+를/JKO
추천하면	추천/NNG+하/XSV+면/EC
말	말/NNB
또는	또는/MAG
4월	4/SN+월/NNB
초	초/NNB
청문회가	청문회/NNG+가/JKS
열리고	열리/VV+고/EC
7월쯤	7/SN+월/NNB+쯤/XSN
안보리가	안보리/NNG+가/JKS
최종	최종/NNG
후보	후보/NNG
1명을	1/SN+명/NNB+을/JKO
선정해	선정/NNG+하/XSV+아/EC
총회에	총회/NNG+에/JKB
통보할	통보/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.43.6.1
이번엔 여성 사무총장이 처음으로 탄생할 가능성이 상당히 높다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
여성	여성/NNG
사무총장이	사무총장/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
탄생할	탄생/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
상당히	상당히/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000046.43.6.2
유엔은 창설 후 70년 동안 사무총장 8명이 모두 남성이었고, 유엔 헌장에는 사무총장이 'He'로 지칭됐다.

유엔은	유엔/NNP+은/JX
창설	창설/NNG
후	후/NNG
70년	70/SN+년/NNB
동안	동안/NNG
사무총장	사무총장/NNG
8명이	8/SN+명/NNB+이/JKS
모두	모두/MAG
남성이었고,	남성/NNG+이/VCP+었/EP+고/EC+,/SP
유엔	유엔/NNP
헌장에는	헌장/NNG+에/JKB+는/JX
사무총장이	사무총장/NNG+이/JKS
'He'로	'/SS+He/SL+'/SS+로/JKB
지칭됐다.	지칭/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.43.6.3
그러나 유엔은 양성(兩性)평등을 강조하며 각종 인사에서도 남녀 균형을 강조하고 있다.

그러나	그러나/MAJ
유엔은	유엔/NNP+은/JX
양성(兩性)평등을	양성/NNG+(/SS+兩性/SH+)/SS+평등/NNG+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
각종	각종/NNG
인사에서도	인사/NNG+에서/JKB+도/JX
남녀	남녀/NNG
균형을	균형/NNG+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.43.6.4
이번 후보 추천 권유 서한에도 '여성과 남성에 대한 동등한 기회를 보장해야 한다는 필요성에 따라 남성은 물론 여성 후보도 고려할 것을 권장한다'는 내용이 포함돼 있다.

이번	이번/NNG
후보	후보/NNG
추천	추천/NNG
권유	권유/NNG
서한에도	서한/NNG+에/JKB+도/JX
'여성과	'/SS+여성/NNG+과/JC
남성에	남성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
동등한	동등/NNG+하/XSA+ㄴ/ETM
기회를	기회/NNG+를/JKO
보장해야	보장/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
필요성에	필요/NNG+성/XSN+에/JKB
따라	따르/VV+아/EC
남성은	남성/NNG+은/JX
물론	물론/MAG
여성	여성/NNG
후보도	후보/NNG+도/JX
고려할	고려/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
권장한다'는	권장/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
내용이	내용/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.43.7.1
