# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.199
metadata : {}


# id : NWRW1800000022.199.1.1
[불어라 녹색바람_그린 스쿨] (2) 무주 푸른꿈고교;자전거페달 돌려 '교실 등' 켜요

[불어라	[/SS+불/VV+어라/EF
녹색바람_그린	녹색/NNG+바람/NNG+_/SW+그린/NNG
스쿨]	스쿨/NNG+]/SS
(2)	(/SS+2/SN+)/SS
무주	무주/NNP
푸른꿈고교;자전거페달	푸른꿈고교/NNP+;/SW+자전거/NNG+페달/NNG
돌려	돌리/VV+어/EC
'교실	'/SS+교실/NNG
등'	등/NNG+'/SS
켜요	켜/VV+어요/EF


# id : NWRW1800000022.199.2.1
지난달 29일 밤 10시30분 전북 무주군 푸른꿈고등학교.

지난달	지난달/NNG
29일	29/SN+일/NNB
밤	밤/NNG
10시30분	10/SN+시/NNB+30/SN+분/NNB
전북	전북/NNP
무주군	무주군/NNP
푸른꿈고등학교.	푸른꿈고등학교/NNP+./SF


# id : NWRW1800000022.199.2.2
전기 배터리에서 경고음이 울리더니 갑자기 등이 꺼지고 영상 스크린이 멈췄다.

전기	전기/NNG
배터리에서	배터리/NNG+에서/JKB
경고음이	경고음/NNG+이/JKS
울리더니	울리/VV+더니/EC
갑자기	갑자기/MAG
등이	등/NNG+이/JKS
꺼지고	꺼지/VV+고/EC
영상	영상/NNG
스크린이	스크린/NNG+이/JKS
멈췄다.	멈추/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.199.2.3
프로젝터로 영화를 보던 이 학교 3학년 송탁(18)군 등 학생 네 명이 우르르 문밖으로 나가 자전거 페달을 힘차게 밟았다.

프로젝터로	프로젝터/NNG+로/JKB
영화를	영화/NNG+를/JKO
보던	보/VV+던/ETM
이	이/MMD
학교	학교/NNG
3학년	3/SN+학년/NNG
송탁(18)군	송탁/NNP+(/SS+18/SN+)/SS+군/NNB
등	등/NNB
학생	학생/NNG
네	네/MMN
명이	명/NNB+이/JKS
우르르	우르르/MAG
문밖으로	문밖/NNG+으로/JKB
나가	나가/VV+아/EC
자전거	자전거/NNG
페달을	페달/NNG+을/JKO
힘차게	힘차/VA+게/EC
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.199.2.4
뒷바퀴에 발전기가 달린 자전거가 배터리에 전력을 공급하자 프로젝터에 다시 불이 들어왔다.

뒷바퀴에	뒷바퀴/NNG+에/JKB
발전기가	발전기/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
자전거가	자전거/NNG+가/JKS
배터리에	배터리/NNG+에/JKB
전력을	전력/NNG+을/JKO
공급하자	공급/NNG+하/XSV+자/EC
프로젝터에	프로젝터/NNG+에/JKB
다시	다시/MAG
불이	불/NNG+이/JKS
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.199.3.1
이 학교 지붕엔 교사들이 나무를 깎아 만든 풍력 날개와 태양광 전지판도 설치돼 있다.

이	이/MMD
학교	학교/NNG
지붕엔	지붕/NNG+에/JKB+ㄴ/JX
교사들이	교사/NNG+들/XSN+이/JKS
나무를	나무/NNG+를/JKO
깎아	깎/VV+아/EC
만든	만들/VV+ㄴ/ETM
풍력	풍력/NNG
날개와	날개/NNG+와/JC
태양광	태양광/NNG
전지판도	전지판/NNG+도/JX
설치돼	설치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.199.3.2
송군은 "이 세 개의 발전기로 저녁마다 실내등과 컴퓨터를 켜고, 때때로 영화도 본다"고 했다.

송군은	송/NNP+군/NNB+은/JX
"이	"/SS+이/MMD
세	세/MMN
개의	개/NNB+의/JKG
발전기로	발전기/NNG+로/JKB
저녁마다	저녁/NNG+마다/JX
실내등과	실내등/NNG+과/JC
컴퓨터를	컴퓨터/NNG+를/JKO
켜고,	켜/VV+고/EC+,/SP
때때로	때때로/MAG
영화도	영화/NNG+도/JX
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.199.4.1
대안학교인 푸른꿈고교는 '자연 에너지 학교'로 불린다.

대안학교인	대안/NNG+학교/NNG+이/VCP+ㄴ/ETM
푸른꿈고교는	푸른꿈고교/NNP+는/JX
'자연	'/SS+자연/NNG
에너지	에너지/NNG
학교'로	학교/NNG+'/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.199.4.2
2학년 2학기부터는 과학 시간엔 '에너지'만 가르친다.

2학년	2/SN+학년/NNG
2학기부터는	2/SN+학기/NNG+부터/JX+는/JX
과학	과학/NNG
시간엔	시간/NNG+에/JKB+ㄴ/JX
'에너지'만	'/SS+에너지/NNG+'/SS+만/JX
가르친다.	가르치/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.199.4.3
에너지 생성 원리와 역사, 에너지를 둘러싼 사회이슈 등 이론을 배운 뒤 에너지를 직접 만드는 법을 배운다.

에너지	에너지/NNG
생성	생성/NNG
원리와	원리/NNG+와/JC
