# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.422
metadata : {}


# id : NWRW1800000036.422.1.1
“단일화 경선효과 사라져 다행” “파국 직전에 극적 봉합돼 당혹”

“단일화	“/SS+단일/NNG+화/XSN
경선효과	경선/NNG+효과/NNG
사라져	사라지/VV+어/EC
다행”	다행/NNG+”/SS
“파국	“/SS+파국/NNG
직전에	직전/NNG+에/JKB
극적	극/NNG+적/XSN
봉합돼	봉합/NNG+되/XSV+어/EC
당혹”	당혹/NNG+”/SS


# id : NWRW1800000036.422.2.1
[한겨레] 안철수 사퇴|새누리당 엇갈린 반응

[한겨레]	[/SS+한겨레/NNP+]/SS
안철수	안철수/NNP
사퇴|새누리당	사퇴/NNG+|/SW+새누리당/NNP
엇갈린	엇갈리/VV+ㄴ/ETM
반응	반응/NNG


# id : NWRW1800000036.422.3.1
새누리당은 23일 안철수 무소속 대선 후보가 문재인 민주통합당 후보 지지를 선언하며 후보직을 사퇴한 것을 놓고 엇갈린 반응을 내놨다.

새누리당은	새누리당/NNP+은/JX
23일	23/SN+일/NNB
안철수	안철수/NNP
무소속	무/XPN+소속/NNG
대선	대선/NNG
후보가	후보/NNG+가/JKS
문재인	문재인/NNP
민주통합당	민주통합당/NNP
후보	후보/NNG
지지를	지지/NNG+를/JKO
선언하며	선언/NNG+하/XSV+며/EC
후보직을	후보직/NNG+을/JKO
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
놓고	놓/VV+고/EC
엇갈린	엇갈리/VV+ㄴ/ETM
반응을	반응/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.4.1
이날 안 후보의 사퇴 직후, 긴급회의를 열고 대변인 논평을 3차례에 걸쳐 조금씩 수정한 것에서도 새누리당의 당황스러움이 전해진다.

이날	이날/NNG
안	안/NNP
후보의	후보/NNG+의/JKG
사퇴	사퇴/NNG
직후,	직후/NNG+,/SP
긴급회의를	긴급회의/NNG+를/JKO
열고	열/VV+고/EC
대변인	대변인/NNG
논평을	논평/NNG+을/JKO
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
조금씩	조금/NNG+씩/XSN
수정한	수정/NNG+하/XSV+ㄴ/ETM
것에서도	것/NNB+에서/JKB+도/JX
새누리당의	새누리당/NNP+의/JKG
당황스러움이	당황/NNG+스럽/XSA+ㅁ/ETN+이/JKS
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.422.4.2
안형환 대변인은 최종 논평에서 “정치쇄신에 대한 안철수식 실험 노력이 좌절됐다”면서 새삼 안 후보를 추어올렸다.

안형환	안형환/NNP
대변인은	대변인/NNG+은/JX
최종	최종/NNG
논평에서	논평/NNG+에서/JKB
“정치쇄신에	“/SS+정치/NNG+쇄신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안철수식	안철수식/NNG
실험	실험/NNG
노력이	노력/NNG+이/JKS
좌절됐다”면서	좌절/NNG+되/XSV+었/EP+다/EF+”/SS+면서/EC
새삼	새삼/MAG
안	안/NNP
후보를	후보/NNG+를/JKO
추어올렸다.	추어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.422.5.1
박근혜 후보 선거대책위원회 핵심 인사들은 안 후보의 일방적 사퇴로 단일화 효과가 크지 않을 것으로 내다봤다.

박근혜	박근혜/NNP
후보	후보/NNG
선거대책위원회	선거/NNG+대책/NNG+위원회/NNG
핵심	핵심/NNG
인사들은	인사/NNG+들/XSN+은/JX
안	안/NNP
후보의	후보/NNG+의/JKG
일방적	일방/NNG+적/XSN
사퇴로	사퇴/NNG+로/JKB
단일화	단일/NNG+화/XSN
효과가	효과/NNG+가/JKS
크지	크/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.5.2
권영진 종합상황실 부실장은 “안 후보의 사퇴는 국민 뜻에 따른 사퇴가 아니라 (문재인 후보 쪽의 압박에 의한) 강요된 사퇴다.

권영진	권영진/NNP
종합상황실	종합/NNG+상황실/NNG
부실장은	부실장/NNG+은/JX
“안	“/SS+안/NNP
후보의	후보/NNG+의/JKG
사퇴는	사퇴/NNG+는/JX
국민	국민/NNG
뜻에	뜻/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
사퇴가	사퇴/NNG+가/JKC
아니라	아니/VCN+라/EC
(문재인	(/SS+문재인/NNP
후보	후보/NNG
쪽의	쪽/NNB+의/JKG
압박에	압박/NNG+에/JKB
의한)	의하/VV+ㄴ/ETM+)/SS
강요된	강요/NNG+되/XSV+ㄴ/ETM
사퇴다.	사퇴/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.422.5.3
국민 뜻을 묻지도 않고 사퇴하니 황당할 뿐 아니라 단일화 효과도 없을 것”이라고 말했다.

국민	국민/NNG
뜻을	뜻/NNG+을/JKO
묻지도	묻/VV+지/EC+도/JX
않고	않/VX+고/EC
사퇴하니	사퇴/NNG+하/XSV+니/EC
황당할	황당하/VA+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
단일화	단일/NNG+화/XSN
효과도	효과/NNG+도/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.5.4
또다른 선대위 관계자는 “어차피 세력이 없는 안 후보보다는 문 후보가 될 것이라 예상했다.

또다른	또/MAG+다른/MMD
선대위	선대위/NNG
관계자는	관계자/NNG+는/JX
“어차피	“/SS+어차피/MAG
세력이	세력/NNG+이/JKS
없는	없/VA+는/ETM
안	안/NNP
후보보다는	후보/NNG+보다/JKB+는/JX
문	문/NNP
후보가	후보/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.5.5
결국 노무현 대통령의 비서실장이었던 ‘폐족’ 문 후보와 박 후보와의 싸움이 돼 구도가 간명해졌다”고 말했다.

결국	결국/MAG
노무현	노무현/NNP
대통령의	대통령/NNG+의/JKG
비서실장이었던	비서실장/NNG+이/VCP+었/EP+던/ETM
‘폐족’	‘/SS+폐족/NNG+’/SS
문	문/NNP
후보와	후보/NNG+와/JC
박	박/NNP
후보와의	후보/NNG+와/JKB+의/JKG
싸움이	싸움/NNG+이/JKC
돼	되/VV+어/EC
구도가	구도/NNG+가/JKS
간명해졌다”고	간명하/VA+아/EC+지/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.5.6
일부에선 “안 후보의 행동이 도저히 이해가 안 된다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
“안	“/SS+안/NNP
후보의	후보/NNG+의/JKG
행동이	행동/NNG+이/JKS
도저히	도저히/MAG
이해가	이해/NNG+가/JKS
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.422.5.7
정치를 장난으로 하느냐”는 반응도 나왔다.

정치를	정치/NNG+를/JKO
장난으로	장난/NNG+으로/JKB
하느냐”는	하/VV+느냐/EF+”/SS+는/ETM
반응도	반응/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.422.6.1
여론조사를 거치지 않고 양보한 점과 여론조사를 통한 극적인 단일화 ‘꽃가루 효과’가 사라진 것 가운데 어느 쪽이 새누리당에 유리할지를 놓고도 계산이 분주했다.

여론조사를	여론/NNG+조사/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
양보한	양보/NNG+하/XSV+ㄴ/ETM
점과	점/NNG+과/JC
통한	통하/VV+ㄴ/ETM
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
단일화	단일/NNG+화/XSN
‘꽃가루	‘/SS+꽃가루/NNG
효과’가	효과/NNG+’/SS+가/JKS
사라진	사라지/VV+ㄴ/ETM
것	것/NNB
가운데	가운데/NNG
어느	어느/MMD
쪽이	쪽/NNB+이/JKS
새누리당에	새누리당/NNP+에/JKB
유리할지를	유리/NNG+하/XSA+ㄹ지/EC+를/JKO
놓고도	놓/VV+고도/EC
계산이	계산/NNG+이/JKS
분주했다.	분주/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000036.422.6.2
한 선대위 간부는 “여론조사 경선 등 단일화 쇼가 사라져 버린 셈이다.

한	한/MMN
선대위	선대위/NNG
간부는	간부/NNG+는/JX
“여론조사	“/SS+여론/NNG+조사/NNG
경선	경선/NNG
등	등/NNB
단일화	단일/NNG+화/XSN
쇼가	쇼/NNG+가/JKS
